,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1954-03-17,26-040,SYR,BOS,1,,,1,,,,,,1,1,1.000,,,,,,,,4,3,,
1,2,2,1954-03-18,26-041,SYR,NYK,7,,,,,,,,,,,,,,,,,,,,,,
2,3,3,1954-03-21,26-044,SYR,NYK,4,,,1,,,,,,,,,,,,,,,,3,2,,
3,4,4,1954-03-22,26-045,SYR,BOS,13,,,1,,,,,,1,2,.500,,,,,,,,2,3,,
4,5,5,1954-03-25,26-048,SYR,BOS,15,,,2,,,,,,1,3,.333,,,,,,,,2,5,,
5,6,6,1954-03-27,26-050,SYR,BOS,7,,,1,,,,,,,,,,,,,,,,1,2,,
6,7,7,1954-03-31,26-054,SYR,MNL,-11,,,0,2,.000,,,,0,0,,,,,,,,,0,0,,
7,8,8,1954-04-03,26-057,SYR,MNL,2,,,0,0,,,,,0,0,,,,,,,,,1,0,,
8,9,9,1954-04-04,26-058,SYR,MNL,-14,,,0,1,.000,,,,0,0,,,,,,,,,1,0,,
9,10,10,1954-04-08,26-062,SYR,MNL,11,,,0,1,.000,,,,2,5,.400,,,,,,,,1,2,,
10,11,11,1954-04-10,26-064,SYR,MNL,-11,,,0,1,.000,,,,0,1,.000,,,,,,,,3,0,,
11,12,12,1954-04-11,26-065,SYR,MNL,2,,,0,0,,,,,0,1,.000,,,,,,,,1,0,,
12,13,13,1954-04-12,26-066,SYR,MNL,-7,,,1,3,.333,,,,2,2,1.000,,,,,,,,3,4,,
