,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,167,1,1969-10-26,26-244,CHI,LAL,-4,,,0,,,,,,0,0,,,,,,,,,,0,,
1,168,2,1969-11-04,26-253,CHI,PHI,-4,,,0,,,,,,0,0,,,,,,,,,,0,,
2,169,3,1969-11-08,26-257,CHI,BOS,16,,,0,,,,,,0,0,,,,,,,,,,0,,
3,170,4,1969-11-11,26-260,CHI,SEA,6,,,1,,,,,,1,1,1.000,,,,,,,,,3,,
4,171,5,1969-11-13,26-262,CHI,NYK,-15,,,0,,,,,,0,0,,,,,,,,,,0,,
5,172,6,1969-11-14,26-263,CHI,MIL,-22,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
6,173,7,1969-11-18,26-267,CHI,PHI,8,,,0,,,,,,0,0,,,,,,,,,,0,,
7,174,8,1969-11-19,26-268,CHI,BOS,-16,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
8,175,9,1969-11-21,26-270,CHI,CIN,-14,,,4,,,,,,0,1,.000,,,,,,,,,8,,
9,176,10,1969-11-22,26-271,CHI,MIL,19,,,10,,,,,,4,4,1.000,,,,,,,,,24,,
10,177,11,1969-11-25,26-274,CHI,DET,-1,,,6,,,,,,0,0,,,,,,,,,,12,,
11,178,12,1969-11-26,26-275,CHI,DET,20,,,5,,,,,,0,0,,,,,,,,,,10,,
12,179,13,1969-11-28,26-277,CHI,SDR,7,,,4,,,,,,2,2,1.000,,,,,,,,,10,,
13,180,14,1969-11-30,26-279,CHI,LAL,2,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
14,181,15,1969-12-02,26-281,CHI,PHO,-11,,,4,,,,,,0,0,,,,,,,,,,8,,
15,182,16,1969-12-03,26-282,CHI,SDR,-15,,,6,,,,,,1,1,1.000,,,,,,,,,13,,
16,183,17,1969-12-05,26-284,CHI,PHO,-1,,,3,,,,,,0,0,,,,,,,,,,6,,
17,184,18,1969-12-06,26-285,CHI,BOS,2,,,6,,,,,,3,3,1.000,,,,,,,,,15,,
18,185,19,1969-12-08,26-287,CHI,BAL,-3,,,3,,,,,,0,1,.000,,,,,,,,,6,,
19,186,20,1969-12-09,26-288,CHI,PHO,7,,,2,,,,,,0,0,,,,,,,,,,4,,
20,187,21,1969-12-11,26-290,CHI,SFW,6,,,3,,,,,,0,0,,,,,,,,,,6,,
