,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,205,1,1999-11-02,24-148,PHI,SAS,-13,1,37:00,9,21,.429,1,2,.500,9,11,.818,0,1,1,3,1,0,3,3,28,15.3,
1,206,2,1999-11-04,24-150,PHI,PHO,-4,1,38:00,4,20,.200,0,1,.000,3,4,.750,0,1,1,3,4,0,4,2,11,-0.2,
2,207,3,1999-11-05,24-151,PHI,LAC,-10,1,36:00,6,16,.375,0,1,.000,9,15,.600,1,3,4,2,1,0,5,4,21,7.2,
3,208,4,1999-11-08,24-154,PHI,SEA,19,1,40:00,14,29,.483,3,5,.600,6,7,.857,4,5,9,3,3,0,1,1,37,29.9,
4,209,5,1999-11-10,24-156,PHI,ORL,-5,1,42:00,18,33,.545,5,6,.833,5,9,.556,2,3,5,5,0,0,4,4,46,28.7,
5,210,6,1999-11-12,24-158,PHI,CHI,6,1,42:00,9,24,.375,1,3,.333,16,23,.696,2,5,7,6,3,0,6,3,35,21.9,
6,211,7,1999-11-14,24-160,PHI,TOR,3,1,43:00,12,25,.480,4,5,.800,2,3,.667,1,6,7,6,2,1,4,1,30,21.9,
7,212,8,1999-11-16,24-162,PHI,WAS,22,1,38:00,13,27,.481,5,6,.833,8,10,.800,1,4,5,5,5,0,4,5,39,28.9,
8,213,9,1999-11-17,24-163,PHI,MIA,-5,1,43:00,8,27,.296,1,3,.333,7,10,.700,2,5,7,5,3,0,3,5,24,11.5,
9,214,10,1999-11-19,24-165,PHI,POR,-6,1,44:00,8,22,.364,1,6,.167,9,13,.692,2,2,4,8,1,0,4,6,26,14.4,
10,215,11,1999-11-20,24-166,PHI,NJN,4,1,44:00,15,32,.469,2,6,.333,5,8,.625,1,4,5,2,2,0,5,2,37,18.9,
11,216,12,1999-11-22,24-168,PHI,SAS,-3,1,42:00,13,34,.382,3,5,.600,6,7,.857,2,4,6,5,0,0,3,0,35,19.1,
