,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1976-04-13,21-269,PHO,SEA,-3,,,6,,,,,,4,4,1.000,,,,,,,,,16,,
1,2,2,1976-04-15,21-271,PHO,SEA,5,,,9,,,,,,5,8,.625,,,,,0,,,,23,,
2,3,3,1976-04-18,21-274,PHO,SEA,12,,,6,,,,,,2,5,.400,,,,,,,,,14,,
3,4,4,1976-04-20,21-276,PHO,SEA,16,,,6,,,,,,5,5,1.000,,,,,,,,,17,,
4,5,5,1976-04-25,21-281,PHO,SEA,-6,,24:00,4,11,.364,,,,3,4,.750,,,4,4,,,,4,11,,
5,6,6,1976-04-27,21-283,PHO,SEA,11,,,3,,,,,,4,4,1.000,,,9,,,,,,10,,
6,7,7,1976-05-02,21-288,PHO,GSW,-25,,37:00,6,16,.375,,,,7,8,.875,,,14,6,,,,3,19,,
7,8,8,1976-05-05,21-291,PHO,GSW,7,,39:00,4,14,.286,,,,5,6,.833,,,11,9,,,,2,13,,
8,9,9,1976-05-07,21-293,PHO,GSW,-8,,35:00,7,19,.368,,,,3,4,.750,,,14,5,,,,3,17,,
9,10,10,1976-05-09,21-295,PHO,GSW,4,,49:00,9,22,.409,,,,1,1,1.000,,,16,4,,,,3,19,,
10,11,11,1976-05-12,21-298,PHO,GSW,-16,,22:00,6,10,.600,,,,0,0,,,,4,2,,,,0,12,,
11,12,12,1976-05-14,21-300,PHO,GSW,1,,32:00,5,10,.500,,,,4,4,1.000,,,8,6,,2,,4,14,,
12,13,13,1976-05-16,21-302,PHO,GSW,8,,42:00,7,17,.412,,,,4,4,1.000,3,17,20,3,,,,3,18,,
13,14,14,1976-05-23,21-309,PHO,BOS,-11,1,40:00,13,27,.481,,,,0,0,,4,4,8,3,3,1,,3,26,,
14,15,15,1976-05-27,21-313,PHO,BOS,-15,1,36:00,8,19,.421,,,,3,5,.600,3,12,15,5,2,0,,3,19,,
15,16,16,1976-05-30,21-316,PHO,BOS,7,1,40:00,14,25,.560,,,,5,6,.833,6,8,14,2,2,1,,3,33,,
16,17,17,1976-06-02,21-319,PHO,BOS,2,1,37:00,8,18,.444,,,,4,4,1.000,1,5,6,7,0,0,,4,20,,
17,18,18,1976-06-04,21-321,PHO,BOS,-2,1,37:00,9,16,.563,,,,2,2,1.000,1,8,9,5,0,0,,6,20,,
18,19,19,1976-06-06,21-323,PHO,BOS,-7,1,42:00,7,16,.438,,,,6,8,.750,1,8,9,6,1,1,,3,20,,
