,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,138,1,2004-11-03,21-353,PHO,ATL,30,1,30:00,9,13,.692,0,0,,5,6,.833,4,4,8,1,1,2,0,0,23,24.2,+35
1,139,2,2004-11-05,21-355,PHO,PHI,10,1,36:00,9,19,.474,0,0,,11,13,.846,5,5,10,2,1,2,3,4,29,22.7,+7
2,140,3,2004-11-06,21-356,PHO,NJN,32,1,34:00,7,12,.583,0,0,,8,10,.800,3,6,9,1,2,1,1,2,22,21.1,+21
3,141,4,2004-11-09,21-359,PHO,CHI,20,1,35:00,8,15,.533,0,0,,10,11,.909,3,12,15,0,1,1,1,2,26,23.9,+22
4,142,5,2004-11-10,21-360,PHO,CLE,-5,1,29:00,7,19,.368,0,0,,6,9,.667,2,2,4,1,1,2,5,6,20,6.0,-13
5,143,6,2004-11-13,21-363,PHO,SAC,-2,1,39:00,10,16,.625,0,0,,9,10,.900,4,5,9,0,0,3,3,4,29,23.2,-7
6,144,7,2004-11-16,22-000,PHO,DAL,6,1,40:00,12,18,.667,0,0,,10,18,.556,4,7,11,0,2,2,2,3,34,28.1,+10
7,145,8,2004-11-17,22-001,PHO,NOH,11,1,46:00,14,22,.636,0,0,,10,18,.556,2,3,5,0,0,3,1,4,38,26.8,+15
8,146,9,2004-11-19,22-003,PHO,LAL,5,1,42:00,15,24,.625,0,0,,3,4,.750,6,8,14,2,0,2,1,2,33,29.4,+3
9,147,10,2004-11-21,22-005,PHO,LAC,11,1,34:00,14,23,.609,0,0,,5,8,.625,4,3,7,0,1,0,3,2,33,22.2,+17
10,148,11,2004-11-22,22-006,PHO,CHI,18,1,36:00,7,8,.875,0,0,,7,10,.700,1,5,6,5,0,2,2,4,21,20.5,+23
11,149,12,2004-11-24,22-008,PHO,MIL,7,1,37:00,5,15,.333,0,0,,6,9,.667,2,4,6,1,1,2,4,3,16,6.8,-2
12,150,13,2004-11-26,22-010,PHO,NOH,9,1,37:00,6,15,.400,0,0,,2,6,.333,3,11,14,0,1,4,4,4,14,7.9,-2
13,151,14,2004-11-30,22-014,PHO,UTA,13,1,38:00,11,16,.688,0,2,.000,7,13,.538,0,9,9,1,0,4,0,3,29,24.8,+11
14,152,15,2004-12-01,22-015,PHO,CLE,19,1,30:00,9,16,.563,0,0,,3,4,.750,2,7,9,0,0,2,2,4,21,14.3,+22
15,153,16,2004-12-03,22-017,PHO,MIN,-4,1,37:00,11,21,.524,0,0,,6,7,.857,1,3,4,2,0,1,3,4,28,16.4,+6
16,154,17,2004-12-05,22-019,PHO,POR,22,1,39:00,6,15,.400,0,0,,7,11,.636,5,4,9,3,0,2,2,2,19,14.7,+14
17,155,18,2004-12-07,22-021,PHO,GSW,14,1,35:00,12,20,.600,0,0,,9,10,.900,2,9,11,0,1,1,3,4,33,24.6,+17
18,156,19,2004-12-08,22-022,PHO,LAL,3,1,39:00,7,10,.700,0,0,,9,11,.818,0,10,10,2,1,0,4,6,23,17.0,+9
19,157,20,2004-12-10,22-024,PHO,CHA,9,1,43:00,13,20,.650,0,1,.000,10,12,.833,1,14,15,8,1,1,5,3,36,32.4,+4
20,158,21,2004-12-13,22-027,PHO,ORL,21,1,36:00,9,14,.643,0,0,,3,8,.375,1,8,9,1,1,1,3,4,21,13.7,+15
21,159,22,2004-12-15,22-029,PHO,UTA,22,1,29:00,5,7,.714,0,0,,9,10,.900,0,4,4,1,0,1,0,4,19,16.7,+21
22,160,23,2004-12-17,22-031,PHO,SEA,2,1,38:00,6,11,.545,0,0,,8,15,.533,4,5,9,1,0,1,4,5,20,11.6,+5
