,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,61,1,2010-04-17,27-201,CLE,CHI,13,0,31:34,3,7,.429,0,0,,2,2,1.000,4,11,15,0,2,1,1,1,8,11.7,+3
1,62,2,2010-04-19,27-203,CLE,CHI,10,0,27:40,3,5,.600,0,0,,1,2,.500,0,5,5,1,0,1,1,4,7,4.6,+7
2,63,3,2010-04-22,27-206,CLE,CHI,-2,0,20:22,0,1,.000,0,0,,3,4,.750,2,4,6,2,1,0,1,6,3,3.5,+1
3,64,4,2010-04-25,27-209,CLE,CHI,23,0,19:26,1,4,.250,0,0,,1,4,.250,1,2,3,0,1,2,1,3,3,0.9,+14
4,65,5,2010-04-27,27-211,CLE,CHI,2,0,27:22,2,7,.286,0,0,,1,2,.500,4,3,7,0,1,1,2,5,5,1.9,-3
5,66,6,2010-05-01,27-215,CLE,BOS,8,0,21:44,1,4,.250,0,0,,2,2,1.000,4,2,6,1,1,1,0,1,4,7.0,+3
6,67,7,2010-05-03,27-217,CLE,BOS,-18,0,20:58,2,3,.667,0,0,,4,5,.800,1,6,7,0,2,0,1,3,8,8.6,+2
7,68,8,2010-05-07,27-221,CLE,BOS,29,0,17:26,2,3,.667,0,0,,2,2,1.000,1,3,4,0,0,1,0,5,6,5.0,+11
8,69,9,2010-05-09,27-223,CLE,BOS,-10,0,25:09,3,4,.750,0,0,,2,3,.667,1,2,3,1,1,1,1,3,8,7.5,-9
9,70,10,2010-05-11,27-225,CLE,BOS,-32,0,16:50,1,3,.333,0,0,,3,3,1.000,2,6,8,2,1,1,1,4,5,7.0,+1
10,71,11,2010-05-13,27-227,CLE,BOS,-9,0,26:44,2,7,.286,0,1,.000,2,2,1.000,2,5,7,0,1,0,3,3,6,1.6,-2
