,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,83,1,2000-10-31,24-226,CLE,NJN,4,1,27:00,3,5,.600,0,0,,2,2,1.000,0,4,4,6,0,0,6,3,8,3.9,+4
1,84,2,2000-11-01,24-227,CLE,SAC,2,1,34:00,4,9,.444,0,1,.000,9,10,.900,1,0,1,8,1,0,5,4,17,12.6,+1
2,85,3,2000-11-04,24-230,CLE,BOS,2,1,26:00,3,7,.429,0,1,.000,9,12,.750,1,3,4,7,1,1,6,5,15,10.3,+5
3,86,4,2000-11-08,24-234,CLE,NYK,2,1,22:00,7,12,.583,0,0,,2,4,.500,0,2,2,5,2,0,4,1,16,11.3,-13
4,87,5,2000-11-10,24-236,CLE,TOR,-27,1,28:00,5,11,.455,0,2,.000,3,3,1.000,4,2,6,7,2,0,2,1,13,15.2,-16
5,88,6,2000-11-11,24-237,CLE,WAS,13,1,30:00,3,11,.273,1,2,.500,2,2,1.000,1,7,8,3,1,0,5,1,9,3.0,+16
6,89,7,2000-11-14,24-240,CLE,GSW,10,1,28:00,7,11,.636,0,1,.000,5,6,.833,3,6,9,9,2,1,1,4,19,24.0,+22
7,90,8,2000-11-15,24-241,CLE,PHI,-9,1,28:00,2,5,.400,0,1,.000,0,0,,0,2,2,10,2,0,6,5,4,2.9,-5
8,91,9,2000-11-17,24-243,CLE,MIL,-13,1,33:00,6,16,.375,1,2,.500,2,4,.500,0,3,3,7,1,0,6,3,15,5.0,+9
9,92,10,2000-11-21,24-247,CLE,DET,19,1,44:00,6,11,.545,0,1,.000,1,2,.500,0,4,4,17,2,1,3,4,13,18.5,+17
10,93,11,2000-11-22,24-248,CLE,MIA,19,1,38:00,5,8,.625,0,0,,3,3,1.000,0,2,2,6,1,0,4,3,13,10.0,+12
