,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,6,1,1994-11-04,26-007,MIN,DEN,-22,0,24:00,1,2,.500,0,0,,0,0,,1,3,4,1,0,0,1,4,2,0.7,
1,7,2,1994-11-05,26-008,MIN,HOU,-30,0,24:00,2,6,.333,0,0,,1,2,.500,1,4,5,2,1,0,3,3,5,1.3,
2,8,3,1994-11-08,26-011,MIN,DET,-14,0,13:00,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,2,2,0,-3.2,
3,9,4,1994-11-09,26-012,MIN,LAL,-23,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
4,10,5,1994-11-11,26-014,MIN,CHI,-12,0,9:00,2,3,.667,0,1,.000,5,6,.833,0,0,0,0,1,0,2,5,9,4.3,
5,11,6,1994-11-15,26-018,MIN,GSW,2,0,7:00,2,4,.500,0,0,,0,0,,4,1,5,1,0,1,1,1,4,5.1,
6,12,7,1994-11-16,26-019,MIN,PHO,-15,0,21:00,2,5,.400,0,0,,0,0,,1,5,6,1,2,0,2,2,4,3.4,
7,13,8,1994-11-19,26-022,MIN,SAS,-8,0,6:00,1,3,.333,0,1,.000,0,0,,1,1,2,3,1,0,0,0,2,4.4,
8,14,9,1994-11-22,26-025,MIN,CLE,-33,0,16:00,1,4,.250,0,1,.000,0,0,,1,3,4,0,0,0,1,1,2,-0.2,
9,15,10,1994-11-23,26-026,MIN,ATL,-12,0,5:00,0,3,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,0,0,-1.1,
10,16,11,1994-11-25,26-028,MIN,PHI,-38,0,13:00,3,8,.375,0,0,,0,1,.000,1,2,3,0,1,0,0,1,6,3.1,
11,17,12,1994-12-01,26-034,MIN,UTA,2,0,2:00,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,2,2.7,
12,18,13,1994-12-03,26-036,MIN,LAC,8,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,
13,19,14,1994-12-14,26-047,MIN,UTA,-8,0,13:00,0,0,,0,0,,5,6,.833,1,4,5,1,0,0,0,5,5,5.2,
14,20,15,1994-12-20,26-053,MIN,LAL,-13,0,3:00,0,3,.000,0,0,,0,0,,2,0,2,0,1,0,0,0,0,0.3,
15,21,16,1994-12-22,26-055,MIN,SAC,-20,0,4:00,2,2,1.000,0,0,,0,0,,1,2,3,0,0,0,0,2,4,3.9,
16,22,17,1995-03-08,26-131,MIN,SEA,-14,0,4:00,0,2,.000,0,0,,0,2,.000,0,2,2,0,1,0,0,1,0,-1.0,
