,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,217,1,2007-10-31,27-335,CHI,NJN,-9,0,24:05,4,12,.333,1,5,.200,0,2,.000,1,4,5,2,0,1,1,4,9,2.8,-12
1,218,2,2007-11-02,27-337,CHI,PHI,-11,0,27:52,6,15,.400,2,8,.250,1,1,1.000,1,2,3,1,1,0,0,1,15,9.5,-3
2,219,3,2007-11-03,27-338,CHI,MIL,-6,0,23:53,4,13,.308,1,6,.167,3,3,1.000,1,5,6,1,2,0,1,2,12,7.6,+14
3,220,4,2007-11-06,27-341,CHI,LAC,-6,0,10:02,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,1,4,2.3,+2
4,221,5,2007-11-08,27-343,CHI,DET,4,0,16:21,4,8,.500,0,2,.000,2,2,1.000,2,5,7,0,0,0,0,2,10,8.1,+3
5,222,6,2007-11-10,27-345,CHI,TOR,-30,0,29:12,8,14,.571,2,4,.500,2,2,1.000,2,3,5,1,0,0,3,2,20,12.6,-24
6,223,7,2007-11-15,27-350,CHI,PHO,-10,1,41:04,7,18,.389,1,6,.167,3,6,.500,1,6,7,0,0,1,2,4,18,6.6,-14
7,224,8,2007-11-17,27-352,CHI,LAC,19,1,38:07,6,12,.500,2,4,.500,7,8,.875,0,8,8,2,0,1,1,1,21,17.7,+19
8,225,9,2007-11-18,27-353,CHI,LAL,-28,1,31:16,5,14,.357,2,5,.400,2,4,.500,0,6,6,2,0,0,2,5,14,4.6,-5
9,226,10,2007-11-20,27-355,CHI,DEN,-21,1,21:47,4,8,.500,2,4,.500,0,0,,1,3,4,0,0,0,0,4,10,6.0,-10
10,227,11,2007-11-24,27-359,CHI,NYK,-7,1,41:00,7,15,.467,3,7,.429,6,9,.667,1,8,9,3,0,1,2,3,23,16.8,-2
11,228,12,2007-11-25,27-360,CHI,TOR,-15,0,30:37,4,15,.267,2,8,.250,1,4,.250,2,6,8,2,1,2,0,4,11,6.3,-7
12,229,13,2007-11-27,27-362,CHI,ATL,12,0,20:47,4,6,.667,1,1,1.000,2,2,1.000,1,7,8,0,0,0,2,4,11,7.6,+6
13,230,14,2007-12-01,28-001,CHI,CHA,16,0,30:07,6,13,.462,1,3,.333,4,4,1.000,1,8,9,3,0,0,3,3,17,11.3,+14
14,231,15,2007-12-03,28-003,CHI,DAL,-5,0,30:40,6,9,.667,3,4,.750,15,16,.938,1,4,5,0,3,0,3,5,30,25.6,+6
15,232,16,2007-12-05,28-005,CHI,CHA,9,0,28:04,6,12,.500,2,4,.500,1,2,.500,1,10,11,4,0,0,2,4,15,11.5,+17
16,233,17,2007-12-07,28-007,CHI,DET,7,0,26:11,7,14,.500,2,6,.333,6,7,.857,0,3,3,5,1,0,2,2,22,17.2,+3
17,234,18,2007-12-08,28-008,CHI,BOS,-11,0,24:19,8,19,.421,1,7,.143,1,1,1.000,1,2,3,1,2,0,3,4,18,7.3,-5
18,235,19,2007-12-11,28-011,CHI,SEA,27,0,11:15,4,7,.571,0,2,.000,0,0,,0,2,2,1,0,0,2,1,8,3.6,+5
