,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,632,1,1957-10-22,35-229,BOS,STL,25,,9:00,0,1,.000,,,,0,0,,,,3,,,,,1,0,,
1,633,2,1957-10-23,35-230,BOS,DET,11,,,1,,,,,,0,0,,,,,,,,,0,2,,
2,634,3,1957-10-26,35-233,BOS,NYK,10,,,0,,,,,,0,0,,,,,,,,,0,0,,
3,635,4,1957-11-02,35-240,BOS,SYR,24,,,2,,,,,,0,1,.000,,,,,,,,4,4,,
4,636,5,1957-11-03,35-241,BOS,SYR,18,,,1,,,,,,0,1,.000,,,,,,,,1,2,,
5,637,6,1957-11-05,35-243,BOS,DET,6,,,2,,,,,,2,2,1.000,,,,,,,,3,6,,
6,638,7,1957-11-06,35-244,BOS,MNL,9,,,0,,,,,,0,0,,,,,,,,,0,0,,
7,639,8,1957-11-08,35-246,BOS,CIN,12,,,1,,,,,,0,0,,,,,,,,,3,2,,
8,640,9,1957-11-11,35-249,BOS,STL,4,,,3,,,,,,0,1,.000,,,,,,,,1,6,,
9,641,10,1957-11-12,35-250,BOS,MNL,3,,,0,,,,,,0,0,,,,,,,,,4,0,,
10,642,11,1957-11-16,35-254,BOS,PHW,22,,,1,,,,,,0,1,.000,,,,,,,,1,2,,
11,643,12,1957-11-21,35-259,BOS,DET,22,,,1,,,,,,5,6,.833,,,,,,,,2,7,,
12,644,13,1957-11-23,35-261,BOS,MNL,24,,,2,,,,,,0,0,,,,,,,,,3,4,,
13,645,14,1957-11-27,35-265,BOS,NYK,13,,,4,,,,,,4,6,.667,,,,,,,,3,12,,
14,646,15,1957-11-28,35-266,BOS,NYK,-17,,,6,,,,,,0,4,.000,,,,,,,,4,12,,
15,647,16,1957-11-30,35-268,BOS,SYR,6,,,0,,,,,,0,0,,,,,,,,,1,0,,
16,648,17,1957-12-01,35-269,BOS,SYR,-9,,15:00,0,3,.000,,,,0,0,,,,1,0,,,,2,0,,
17,649,18,1957-12-03,35-271,BOS,DET,11,,,0,,,,,,0,1,.000,,,,,,,,3,0,,
18,650,19,1957-12-04,35-272,BOS,MNL,10,,,0,,,,,,0,0,,,,,,,,,1,0,,
19,651,20,1957-12-06,35-274,BOS,STL,14,,,1,,,,,,1,2,.500,,,,,,,,1,3,,
20,652,21,1957-12-10,35-278,BOS,NYK,-3,,,0,,,,,,0,0,,,,,,,,,0,0,,
21,653,22,1957-12-11,35-279,BOS,CIN,12,,,0,,,,,,2,2,1.000,,,,,,,,2,2,,
22,654,23,1957-12-12,35-280,BOS,STL,-3,,,1,,,,,,1,1,1.000,,,,,,,,1,3,,
23,655,24,1957-12-14,35-282,BOS,PHW,18,,,1,,,,,,0,0,,,,,,,,,2,2,,
24,656,25,1957-12-21,35-289,BOS,MNL,21,,,2,,,,,,4,5,.800,,,,,,,,1,8,,
25,657,26,1957-12-22,35-290,BOS,CIN,17,,,3,,,,,,1,2,.500,,,,,,,,1,7,,
26,658,27,1957-12-25,35-293,BOS,PHW,-10,,,0,,,,,,0,1,.000,,,,,,,,1,0,,
27,659,28,1957-12-26,35-294,BOS,NYK,10,,,0,,,,,,0,0,,,,,,,,,0,0,,
28,660,29,1957-12-27,35-295,BOS,PHW,-4,,,2,,,,,,2,3,.667,,,,,,,,1,6,,
29,661,30,1957-12-28,35-296,BOS,STL,-5,,,0,,,,,,0,0,,,,,,,,,0,0,,
30,662,31,1958-01-04,35-303,BOS,SYR,-9,,,0,,,,,,0,0,,,,,,,,,4,0,,
31,663,32,1958-01-05,35-304,BOS,MNL,13,,,1,,,,,,1,2,.500,,,,,,,,1,3,,
32,664,33,1958-01-08,35-307,BOS,MNL,20,,,2,,,,,,0,0,,,,,,,,,3,4,,
33,665,34,1958-01-09,35-308,BOS,NYK,-13,,,1,,,,,,0,0,,,,,,,,,4,2,,
