,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,3,2017-10-21,20-290,CLE,ORL,-21,0,6:52,1,1,1.000,0,0,,2,3,.667,2,2,4,0,0,2,0,0,4,6.7,+13
1,2,6,2017-10-28,20-297,CLE,NOP,-22,0,5:32,0,2,.000,0,0,,1,2,.500,0,2,2,0,0,1,1,1,1,-0.9,-6
2,3,8,2017-11-01,20-301,CLE,IND,-17,0,0:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
3,4,9,2017-11-03,20-303,CLE,WAS,8,0,6:34,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,1,2,2.0,+3
4,5,10,2017-11-05,20-305,CLE,ATL,-2,0,1:43,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4,-4
5,6,18,2017-11-22,20-322,CLE,BRK,10,0,0:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
6,7,20,2017-11-27,20-327,CLE,PHI,22,0,4:38,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,0.3,-1
7,8,21,2017-11-28,20-328,CLE,MIA,11,0,1:31,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
8,9,24,2017-12-04,20-334,CLE,CHI,22,0,4:14,0,1,.000,0,0,,2,2,1.000,1,2,3,0,0,0,0,0,2,2.6,-3
9,10,27,2017-12-09,20-339,CLE,PHI,7,1,4:38,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,-10
10,11,28,2017-12-12,20-342,CLE,ATL,9,0,2:34,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.0,-7
11,12,43,2018-01-15,21-011,CLE,GSW,-10,0,1:24,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,+4
12,13,54,2018-02-09,21-036,CLE,ATL,16,0,1:10,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,0.3,-4
13,14,55,2018-02-11,21-038,CLE,BOS,22,0,3:21,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-3
14,15,58,2018-02-23,21-050,CLE,MEM,23,0,1:54,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,1,0,2,1.4,+1
15,16,59,2018-02-25,21-052,CLE,SAS,-16,0,1:01,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0
16,17,63,2018-03-05,21-060,CLE,DET,22,0,16:06,3,3,1.000,0,0,,0,0,,1,5,6,2,1,1,0,3,6,9.2,+7
17,18,64,2018-03-07,21-062,CLE,DEN,5,0,8:35,2,3,.667,0,0,,1,1,1.000,1,1,2,0,0,0,0,4,5,3.1,-2
18,19,65,2018-03-09,21-064,CLE,LAC,-14,0,7:49,2,2,1.000,0,0,,0,0,,2,0,2,0,0,0,0,2,4,4.0,+1
19,20,66,2018-03-11,21-066,CLE,LAL,-14,0,19:47,7,9,.778,0,0,,1,2,.500,2,5,7,0,0,2,1,1,15,14.0,-6
20,21,67,2018-03-13,21-068,CLE,PHO,22,0,14:32,5,5,1.000,0,0,,1,2,.500,1,3,4,1,0,1,3,3,11,7.9,+3
21,22,68,2018-03-15,21-070,CLE,POR,-8,0,6:18,0,1,.000,0,0,,0,0,,0,0,0,0,0,2,0,0,0,0.7,-4
22,23,69,2018-03-17,21-072,CLE,CHI,5,1,20:12,7,9,.778,0,0,,0,1,.000,4,2,6,0,0,1,2,2,14,11.4,-6
23,24,70,2018-03-19,21-074,CLE,MIL,7,0,16:58,4,6,.667,0,0,,5,5,1.000,4,2,6,0,0,1,0,4,13,12.9,+7
24,25,71,2018-03-21,21-076,CLE,TOR,3,0,15:37,2,3,.667,0,0,,2,2,1.000,0,1,1,0,0,0,1,0,6,4.0,+2
25,26,72,2018-03-23,21-078,CLE,PHO,25,0,5:25,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,4,4.0,-1
26,27,74,2018-03-27,21-082,CLE,MIA,-19,0,2:46,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2
27,28,75,2018-03-28,21-083,CLE,CHO,13,0,1:31,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-4
28,29,77,2018-04-01,21-087,CLE,DAL,11,0,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2
29,30,78,2018-04-03,21-089,CLE,TOR,6,0,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-8
30,31,81,2018-04-09,21-095,CLE,NYK,14,0,1:05,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2
31,32,82,2018-04-11,21-097,CLE,NYK,-12,0,27:10,7,9,.778,0,0,,6,9,.667,2,5,7,0,1,0,1,3,20,17.0,-5
