,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,184,1,1993-11-07,25-152,NYK,CLE,8,0,2:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,
1,185,2,1993-11-09,25-154,NYK,PHI,9,0,26:00,6,10,.600,0,0,,2,2,1.000,3,3,6,1,3,1,1,2,14,15.0,
2,186,3,1993-11-10,25-155,NYK,WSB,8,0,11:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,3,0,-2.2,
3,187,4,1993-11-12,25-157,NYK,IND,19,0,18:00,3,3,1.000,0,0,,0,2,.000,0,5,5,0,0,0,1,1,6,4.4,
4,188,5,1993-11-13,25-158,NYK,MIL,13,0,29:00,8,11,.727,0,0,,1,2,.500,6,3,9,3,1,0,2,3,17,17.1,
5,189,6,1993-11-16,25-161,NYK,DAL,13,0,27:00,6,8,.750,0,0,,4,4,1.000,4,3,7,0,2,0,3,4,16,13.9,
6,190,7,1993-11-17,25-162,NYK,SAS,-5,0,19:00,2,2,1.000,0,0,,0,0,,0,2,2,0,1,0,2,1,4,2.6,
7,191,8,1993-11-20,25-165,NYK,UTA,-14,0,31:00,3,3,1.000,0,0,,1,6,.167,2,8,10,3,4,0,1,3,7,11.8,
8,192,9,1993-11-22,25-167,NYK,MIA,32,0,17:00,0,1,.000,0,0,,1,2,.500,2,5,7,1,1,0,1,3,1,2.3,
9,193,10,1993-12-04,25-179,NYK,SAC,22,0,24:00,6,10,.600,0,0,,5,6,.833,6,2,8,1,2,0,1,6,17,16.1,
10,194,11,1993-12-06,25-181,NYK,UTA,-7,0,18:00,2,2,1.000,0,0,,1,2,.500,1,1,2,1,1,0,0,3,5,5.5,
11,195,12,1993-12-07,25-182,NYK,LAL,14,0,9:00,0,3,.000,0,0,,0,0,,3,4,7,0,0,0,0,2,0,0.4,
12,196,13,1993-12-09,25-184,NYK,GSW,13,0,9:00,0,2,.000,0,0,,0,0,,1,0,1,0,1,0,0,0,0,0.3,
13,197,14,1993-12-11,25-186,NYK,IND,7,0,13:00,4,5,.800,0,0,,0,0,,3,3,6,0,0,0,1,3,8,6.9,
14,198,15,1993-12-14,25-189,NYK,DEN,9,0,9:00,1,1,1.000,0,0,,2,2,1.000,0,1,1,1,0,0,1,0,4,3.7,
15,199,16,1993-12-16,25-191,NYK,LAL,23,0,17:00,4,6,.667,0,0,,0,4,.000,2,6,8,1,2,0,0,3,8,8.5,
16,200,17,1993-12-17,25-192,NYK,CHI,-12,0,12:00,1,6,.167,0,0,,0,0,,1,0,1,2,1,0,2,2,2,-1.5,
17,201,18,1993-12-20,25-195,NYK,DAL,9,0,15:00,2,4,.500,0,0,,0,0,,2,3,5,0,0,0,2,1,4,1.9,
18,202,19,1993-12-21,25-196,NYK,NJN,-4,0,10:00,0,3,.000,0,0,,0,2,.000,2,4,6,0,2,1,0,2,0,1.6,
19,203,20,1993-12-23,25-198,NYK,ATL,9,0,12:00,0,3,.000,0,0,,0,0,,2,2,4,2,0,0,0,0,0,1.3,
20,204,21,1993-12-28,25-203,NYK,NJN,-2,0,9:00,1,1,1.000,0,0,,1,2,.500,2,0,2,0,0,0,1,1,3,2.3,
21,205,22,1993-12-30,25-205,NYK,WSB,18,0,17:00,1,2,.500,0,0,,0,0,,1,2,3,2,1,0,1,3,2,2.5,
22,206,23,1994-01-02,25-208,NYK,CHH,-1,1,27:00,6,7,.857,0,0,,0,0,,2,6,8,2,0,0,2,3,12,10.9,
23,207,24,1994-01-04,25-210,NYK,ORL,5,1,39:00,4,4,1.000,0,0,,0,3,.000,6,4,10,2,2,0,1,5,8,11.4,
24,208,25,1994-01-06,25-212,NYK,MIL,6,1,30:00,5,8,.625,0,0,,0,2,.000,2,3,5,2,1,0,0,2,10,9.5,
25,209,26,1994-01-08,25-214,NYK,CHH,-3,1,30:00,5,6,.833,0,0,,1,2,.500,1,9,10,1,1,0,1,6,11,10.1,
26,210,27,1994-01-09,25-215,NYK,POR,14,1,25:00,1,1,1.000,0,0,,0,0,,2,4,6,1,0,0,2,4,2,1.4,
27,211,28,1994-01-11,25-217,NYK,LAC,21,1,33:00,3,6,.500,0,0,,0,0,,4,4,8,6,2,0,1,2,6,11.4,
28,212,29,1994-01-13,25-219,NYK,DET,14,1,13:00,0,1,.000,0,0,,0,0,,2,1,3,1,1,0,1,4,0,0.1,
29,213,30,1994-01-15,25-221,NYK,DET,9,1,24:00,2,5,.400,0,0,,0,1,.000,1,2,3,2,1,0,4,3,4,-0.6,
30,214,31,1994-01-17,25-223,NYK,MIN,12,1,22:00,2,4,.500,0,0,,1,2,.500,3,1,4,3,1,0,0,4,5,6.5,
31,215,32,1994-01-19,25-225,NYK,SAS,12,1,24:00,5,5,1.000,0,0,,1,3,.333,4,3,7,1,3,0,1,1,11,14.7,
32,216,33,1994-01-21,25-227,NYK,ORL,-3,1,18:00,3,7,.429,0,0,,1,2,.500,6,2,8,0,1,0,1,2,7,6.9,
33,217,34,1994-01-23,25-229,NYK,PHI,-7,1,28:00,2,9,.222,0,0,,0,0,,5,1,6,0,1,1,2,3,4,0.8,
34,218,35,1994-01-25,25-231,NYK,PHO,2,0,14:00,0,1,.000,0,0,,0,0,,2,2,4,3,1,1,0,1,0,4.7,
35,219,36,1994-01-27,25-233,NYK,LAC,2,0,17:00,2,3,.667,0,0,,1,2,.500,3,2,5,0,0,0,0,2,5,5.2,
36,220,37,1994-01-29,25-235,NYK,SEA,14,0,8:00,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,1,1,2,0.6,
37,221,38,1994-01-30,25-236,NYK,POR,10,0,13:00,0,0,,0,0,,0,2,.000,0,4,4,1,0,0,2,2,0,-1.7,
38,222,39,1994-02-01,25-238,NYK,BOS,35,0,21:00,0,2,.000,0,0,,0,2,.000,1,3,4,5,0,0,1,1,0,1.5,
39,223,40,1994-02-02,25-239,NYK,WSB,5,0,5:00,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,2,0,-0.2,
40,224,41,1994-02-04,25-241,NYK,ATL,-12,0,7:00,1,3,.333,0,0,,0,0,,2,0,2,1,0,0,0,2,2,1.6,
41,225,42,1994-02-07,25-244,NYK,MIA,-11,0,14:00,0,3,.000,0,0,,2,2,1.000,4,0,4,0,2,0,2,3,2,1.5,
42,226,43,1994-02-09,25-246,NYK,PHI,35,0,15:00,5,7,.714,0,0,,0,1,.000,2,4,6,0,3,0,2,2,10,9.5,
43,227,44,1994-02-10,25-247,NYK,GSW,-8,0,13:00,1,2,.500,0,0,,0,1,.000,3,1,4,1,1,1,2,2,2,2.6,
44,228,45,1994-02-24,25-261,NYK,HOU,-20,0,6:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
45,229,46,1994-02-25,25-262,NYK,DEN,-8,0,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,
46,230,47,1994-02-27,25-264,NYK,PHO,-14,0,13:00,0,1,.000,0,0,,0,2,.000,1,2,3,0,1,0,2,1,0,-1.6,
47,231,48,1994-03-01,25-266,NYK,SAC,12,1,20:00,1,3,.333,0,0,,0,0,,4,3,7,2,1,1,2,3,2,3.9,
48,232,49,1994-03-03,25-268,NYK,NJN,11,1,25:00,2,3,.667,0,0,,0,0,,1,6,7,1,1,0,4,4,4,1.3,
49,233,50,1994-03-07,25-272,NYK,DET,14,1,16:00,3,3,1.000,0,0,,0,0,,3,2,5,0,1,0,0,1,6,8.4,
50,234,51,1994-03-09,25-274,NYK,ATL,7,1,13:00,0,1,.000,0,0,,0,0,,0,2,2,2,1,0,0,2,0,1.5,
51,235,52,1994-03-11,25-276,NYK,BOS,7,1,11:00,0,0,,0,0,,1,2,.500,0,0,0,2,2,0,0,1,1,3.6,
52,236,53,1994-03-12,25-277,NYK,CLE,10,1,29:00,4,6,.667,0,0,,2,2,1.000,4,5,9,1,3,0,2,1,10,13.0,
53,237,54,1994-03-15,25-280,NYK,IND,6,1,19:00,1,1,1.000,0,0,,0,2,.000,0,2,2,0,1,1,2,3,2,0.0,
54,238,55,1994-03-17,25-282,NYK,MIL,22,1,18:00,4,6,.667,0,0,,0,0,,2,2,4,0,1,1,3,1,8,5.7,
55,239,56,1994-03-19,25-284,NYK,BOS,14,1,19:00,1,3,.333,0,0,,0,1,.000,2,0,2,0,1,0,1,2,2,0.5,
