,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,85,1,1992-01-04,28-056,ORL,DEN,-2,0,16:00,2,4,.500,0,0,,0,0,,0,2,2,0,0,0,1,2,4,0.8,
1,86,2,1992-01-07,28-059,ORL,POR,-15,0,28:00,4,11,.364,0,1,.000,0,0,,0,2,2,3,0,0,4,4,8,-1.0,
2,87,3,1992-01-08,28-060,ORL,SEA,1,0,25:00,1,4,.250,0,0,,2,2,1.000,1,0,1,1,1,0,1,2,4,2.2,
3,88,4,1992-01-10,28-062,ORL,PHO,-11,0,19:00,2,4,.500,0,0,,3,4,.750,0,0,0,0,0,1,1,1,7,3.9,
4,89,5,1992-01-12,28-064,ORL,LAL,-13,1,34:00,7,13,.538,0,0,,2,2,1.000,1,2,3,2,3,0,2,6,16,11.0,
5,90,6,1992-01-14,28-066,ORL,NYK,-4,0,18:00,4,12,.333,0,0,,2,3,.667,3,2,5,3,1,1,2,1,10,6.9,
6,91,7,1992-01-17,28-069,ORL,IND,7,0,23:00,5,14,.357,0,2,.000,3,4,.750,1,0,1,2,2,2,1,3,13,8.1,
7,92,8,1992-01-19,28-071,ORL,MIL,-10,0,15:00,2,5,.400,0,1,.000,0,0,,1,3,4,0,0,0,1,1,4,1.5,
8,93,9,1992-01-21,28-073,ORL,MIN,13,0,13:00,1,4,.250,0,0,,0,0,,3,0,3,0,1,0,0,3,2,1.5,
9,94,10,1992-01-22,28-074,ORL,BOS,-12,0,32:00,5,12,.417,1,1,1.000,4,4,1.000,1,4,5,3,1,0,2,2,15,10.8,
10,95,11,1992-01-24,28-076,ORL,DAL,18,0,26:00,4,8,.500,1,1,1.000,5,5,1.000,2,3,5,1,1,2,0,2,14,14.6,
11,96,12,1992-01-25,28-077,ORL,CLE,3,0,33:00,6,16,.375,0,1,.000,2,2,1.000,0,7,7,3,1,1,1,1,14,9.7,
12,97,13,1992-01-28,28-080,ORL,SEA,-5,0,30:00,5,14,.357,1,3,.333,0,0,,2,4,6,5,0,0,2,2,11,6.5,
13,98,14,1992-01-30,28-082,ORL,CLE,-17,0,26:00,4,8,.500,0,2,.000,4,4,1.000,3,2,5,2,2,2,0,1,12,15.1,
14,99,15,1992-01-31,28-083,ORL,PHI,-24,0,33:00,5,10,.500,0,0,,0,1,.000,2,0,2,5,1,0,4,0,10,6.5,
15,100,16,1992-02-02,28-085,ORL,WSB,-10,0,23:00,6,7,.857,1,1,1.000,0,0,,1,5,6,1,1,1,2,1,13,12.7,
16,101,17,1992-02-03,28-086,ORL,GSW,-8,1,41:00,11,20,.550,0,1,.000,3,4,.750,4,4,8,5,0,2,3,3,25,19.7,
17,102,18,1992-02-05,28-088,ORL,MIN,7,0,24:00,2,3,.667,0,0,,3,3,1.000,0,3,3,2,2,2,1,1,7,10.0,
18,103,19,1992-02-06,28-089,ORL,ATL,-11,0,34:00,5,11,.455,1,3,.333,4,4,1.000,1,2,3,4,0,0,1,5,15,10.4,
19,104,20,1992-02-11,28-094,ORL,IND,-2,0,29:00,3,5,.600,0,0,,1,2,.500,0,2,2,4,1,0,1,1,7,7.3,
20,105,21,1992-02-14,28-097,ORL,ATL,-5,1,38:00,6,10,.600,1,1,1.000,6,6,1.000,1,1,2,2,2,2,3,1,19,16.8,
21,106,22,1992-02-16,28-099,ORL,MIL,14,1,36:00,11,15,.733,0,0,,0,0,,2,7,9,5,1,0,0,3,22,22.7,
22,107,23,1992-02-18,28-101,ORL,DET,-22,1,36:00,7,16,.438,1,1,1.000,2,2,1.000,1,1,2,2,0,1,2,3,17,8.5,
23,108,24,1992-02-19,28-102,ORL,CHI,-13,1,37:00,9,14,.643,0,0,,1,1,1.000,1,3,4,4,1,2,2,1,19,17.2,
24,109,25,1992-02-21,28-104,ORL,DET,-14,1,28:00,1,5,.200,0,0,,0,0,,0,1,1,5,1,0,2,1,2,1.3,
25,110,26,1992-02-22,28-105,ORL,CHH,-20,1,41:00,5,10,.500,0,0,,2,2,1.000,2,6,8,5,0,0,3,1,12,10.3,
26,111,27,1992-02-26,28-109,ORL,PHI,6,1,40:00,7,11,.636,0,0,,0,0,,3,6,9,4,2,0,2,1,14,15.4,
27,112,28,1992-02-28,28-111,ORL,IND,-5,1,39:00,10,14,.714,1,1,1.000,4,4,1.000,0,3,3,1,1,0,2,3,25,18.6,
28,113,29,1992-03-01,28-113,ORL,LAC,-5,1,47:00,8,22,.364,1,2,.500,2,4,.500,0,6,6,6,2,2,4,0,19,11.4,
29,114,30,1992-03-03,28-115,ORL,WSB,-13,1,40:00,7,15,.467,1,3,.333,2,2,1.000,1,0,1,4,2,0,3,1,17,11.4,
30,115,31,1992-03-04,28-116,ORL,BOS,-25,1,42:00,6,11,.545,0,1,.000,1,1,1.000,2,7,9,2,1,2,2,0,13,13.0,
31,116,32,1992-03-06,28-118,ORL,MIL,-22,1,38:00,7,14,.500,0,1,.000,0,0,,0,3,3,7,3,0,6,0,14,9.8,
32,117,33,1992-03-08,28-120,ORL,BOS,-18,1,37:00,6,12,.500,0,0,,3,4,.750,2,5,7,2,0,1,3,1,15,10.2,
33,118,34,1992-03-10,28-122,ORL,DEN,-7,1,39:00,9,13,.692,0,0,,6,7,.857,3,7,10,2,1,1,4,3,24,20.2,
