,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,122,1,1999-11-02,24-228,SAS,PHI,13,0,3:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,
1,123,2,1999-11-04,24-230,SAS,GSW,23,0,6:00,1,3,.333,0,1,.000,2,2,1.000,0,0,0,1,0,0,1,1,4,1.6,
2,124,3,1999-11-09,24-235,SAS,GSW,29,0,12:00,1,5,.200,0,1,.000,0,0,,0,1,1,3,0,0,1,0,2,0.3,
3,125,4,1999-11-13,24-239,SAS,CHH,16,0,2:00,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,0.7,
4,126,5,1999-11-18,24-244,SAS,MIL,-11,0,8:00,1,3,.333,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,1.0,
5,127,6,1999-11-20,24-246,SAS,DAL,16,0,15:00,3,8,.375,0,0,,0,3,.000,0,2,2,3,0,1,1,1,6,2.4,
6,128,7,1999-11-24,24-250,SAS,BOS,23,0,4:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,1,3,3.7,
7,129,8,1999-11-26,24-252,SAS,CHI,23,0,4:00,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,2,2.7,
8,130,9,1999-11-27,24-253,SAS,DEN,19,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
9,131,10,1999-11-30,24-256,SAS,DET,19,0,8:00,0,1,.000,0,0,,1,2,.500,0,1,1,4,2,0,0,0,1,5.0,
10,132,11,1999-12-03,24-259,SAS,DET,-22,0,23:00,2,7,.286,0,2,.000,0,0,,1,0,1,4,1,1,1,0,4,4.1,
11,133,12,1999-12-14,24-270,SAS,DAL,18,0,4:00,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,1.7,
12,134,13,1999-12-17,24-273,SAS,BOS,9,0,19:00,3,5,.600,0,1,.000,2,4,.500,0,0,0,0,0,0,2,0,8,2.9,
13,135,14,1999-12-23,24-279,SAS,MIL,-3,0,20:00,4,8,.500,1,2,.500,1,2,.500,0,1,1,3,0,0,1,3,10,5.8,
14,136,15,1999-12-25,24-281,SAS,LAL,-6,0,13:00,1,3,.333,0,2,.000,0,0,,3,3,6,3,0,0,1,1,2,4.0,
15,137,16,1999-12-27,24-283,SAS,GSW,22,0,20:00,4,6,.667,0,0,,1,1,1.000,0,2,2,3,2,0,0,0,9,11.1,
16,138,17,1999-12-30,24-286,SAS,VAN,10,0,16:00,1,2,.500,0,0,,5,6,.833,0,3,3,3,1,0,0,0,7,9.6,
17,139,18,2000-01-04,24-291,SAS,MIN,-3,0,8:00,2,2,1.000,0,0,,0,0,,0,0,0,2,0,0,0,1,4,4.4,
18,140,19,2000-01-05,24-292,SAS,SEA,-3,0,11:00,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,2.7,
19,141,20,2000-01-07,24-294,SAS,PHO,19,0,21:00,2,9,.222,0,0,,4,4,1.000,1,1,2,2,2,0,2,2,8,4.1,
20,142,21,2000-01-08,24-295,SAS,ORL,35,0,27:00,3,3,1.000,0,0,,4,5,.800,0,0,0,5,2,1,2,3,10,11.7,
21,143,22,2000-01-10,24-297,SAS,UTA,7,0,24:00,3,7,.429,0,1,.000,1,1,1.000,0,3,3,2,4,1,2,0,7,8.3,
22,144,23,2000-01-13,24-300,SAS,SAC,-4,0,15:00,1,5,.200,0,1,.000,0,0,,0,0,0,3,0,0,0,0,2,1.0,
23,145,24,2000-01-14,24-301,SAS,SEA,-6,0,19:00,2,4,.500,0,0,,0,0,,0,2,2,4,0,0,3,1,4,2.0,
24,146,25,2000-01-17,24-304,SAS,LAC,6,0,16:00,2,3,.667,0,0,,3,4,.750,0,0,0,1,0,0,2,1,7,3.6,
25,147,26,2000-01-19,24-306,SAS,POR,-10,0,19:00,2,7,.286,0,2,.000,1,2,.500,0,1,1,4,3,0,1,1,5,5.2,
26,148,27,2000-01-22,24-309,SAS,NYK,13,0,10:00,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,1,0,-4.5,
27,149,28,2000-01-25,24-312,SAS,LAC,23,0,23:00,3,5,.600,1,2,.500,4,6,.667,0,3,3,5,0,0,0,1,11,11.9,
28,150,29,2000-01-27,24-314,SAS,MIN,12,0,16:00,2,3,.667,0,0,,0,0,,0,0,0,3,0,0,0,1,4,4.4,
29,151,30,2000-01-29,24-316,SAS,POR,-14,0,19:00,2,5,.400,0,1,.000,1,1,1.000,0,0,0,1,1,0,0,1,5,3.6,
30,152,31,2000-02-01,24-319,SAS,LAL,24,0,16:00,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,1,3,2,-1.2,
31,153,32,2000-02-03,24-321,SAS,TOR,17,0,23:00,1,4,.250,0,0,,3,6,.500,0,4,4,7,0,0,2,3,5,4.3,
32,154,33,2000-02-06,24-324,SAS,UTA,-3,0,15:00,2,5,.400,0,0,,0,0,,1,0,1,3,1,0,1,1,4,3.7,
33,155,34,2000-02-08,24-326,SAS,SEA,2,0,17:00,3,7,.429,1,1,1.000,0,0,,1,0,1,1,1,0,2,2,7,2.9,
34,156,35,2000-02-09,24-327,SAS,DEN,9,0,12:00,2,3,.667,0,1,.000,3,4,.750,0,1,1,2,1,0,0,2,7,7.2,
35,157,36,2000-02-15,24-333,SAS,CLE,-11,0,12:00,0,0,,0,0,,0,0,,0,0,0,3,0,1,0,1,0,2.4,
36,158,37,2000-02-18,24-336,SAS,HOU,24,0,23:00,5,10,.500,0,1,.000,0,0,,0,1,1,4,1,0,2,3,10,5.9,
37,159,38,2000-02-20,24-338,SAS,HOU,2,0,13:00,3,5,.600,0,0,,1,2,.500,0,0,0,0,0,0,1,1,7,2.9,
38,160,39,2000-02-21,24-339,SAS,PHO,-9,0,12:00,1,3,.333,0,0,,0,0,,0,2,2,2,0,0,1,0,2,1.3,
39,161,40,2000-02-24,24-342,SAS,CHH,2,0,16:00,4,4,1.000,1,1,1.000,0,0,,0,1,1,1,1,0,2,1,9,7.4,
40,162,41,2000-02-25,24-343,SAS,CHI,13,0,24:00,3,8,.375,1,2,.500,1,2,.500,1,1,2,1,0,0,1,1,8,3.5,
41,163,42,2000-02-27,24-345,SAS,MIN,-4,0,13:00,1,4,.250,0,1,.000,0,0,,0,0,0,2,1,0,0,0,2,2.0,
42,164,43,2000-02-29,24-347,SAS,MIA,24,0,22:00,4,6,.667,1,2,.500,1,4,.250,0,1,1,3,2,0,0,2,10,9.8,
43,165,44,2000-03-02,24-349,SAS,MIN,-6,0,25:00,8,11,.727,1,3,.333,1,1,1.000,1,1,2,2,1,0,1,0,18,15.9,
44,166,45,2000-03-04,24-351,SAS,SAC,-5,0,13:00,1,5,.200,0,1,.000,0,0,,0,0,0,2,0,0,1,2,2,-1.5,
45,167,46,2000-03-06,24-353,SAS,NJN,2,0,30:00,4,13,.308,0,2,.000,1,1,1.000,1,2,3,4,0,0,4,1,9,1.2,
46,168,47,2000-03-09,24-356,SAS,ATL,26,0,29:00,7,13,.538,2,4,.500,2,2,1.000,0,6,6,6,3,0,1,1,18,19.3,
47,169,48,2000-03-10,24-357,SAS,WAS,7,0,30:00,5,9,.556,1,2,.500,2,3,.667,1,2,3,3,1,0,2,3,13,9.5,
48,170,49,2000-03-12,24-359,SAS,NYK,-13,1,34:00,2,7,.286,0,3,.000,0,0,,0,0,0,3,1,0,0,2,4,2.2,
49,171,50,2000-03-14,24-361,SAS,ATL,15,0,17:00,5,7,.714,1,2,.500,1,1,1.000,0,1,1,1,1,0,2,0,12,9.1,
50,172,51,2000-03-16,24-363,SAS,DAL,-22,0,29:00,4,6,.667,0,1,.000,2,2,1.000,0,1,1,3,2,0,1,2,10,10.0,
51,173,52,2000-03-18,24-365,SAS,DEN,20,0,21:00,3,5,.600,0,0,,2,4,.500,0,0,0,4,2,0,0,1,8,9.3,
52,174,53,2000-03-21,25-002,SAS,DAL,-1,0,24:00,0,2,.000,0,0,,2,2,1.000,0,0,0,3,1,0,1,1,2,2.3,
53,175,54,2000-03-22,25-003,SAS,LAC,25,0,34:00,6,11,.545,1,1,1.000,1,2,.500,0,3,3,6,1,0,1,0,14,13.4,
54,176,55,2000-03-25,25-006,SAS,CLE,20,0,12:00,2,4,.500,0,0,,0,0,,0,1,1,5,2,0,1,2,4,6.0,
55,177,56,2000-03-27,25-008,SAS,SEA,8,0,15:00,4,5,.800,1,1,1.000,0,0,,1,0,1,2,0,0,2,1,9,6.8,
56,178,57,2000-03-28,25-009,SAS,POR,4,0,17:00,1,7,.143,0,3,.000,2,2,1.000,0,2,2,2,1,0,1,0,4,1.5,
57,179,58,2000-03-30,25-011,SAS,GSW,12,0,29:00,5,8,.625,1,2,.500,2,2,1.000,1,0,1,2,2,0,0,4,13,11.9,
58,180,59,2000-04-02,25-014,SAS,MIA,-4,0,14:00,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-0.4,
59,181,60,2000-04-04,25-016,SAS,ORL,-10,0,25:00,4,8,.500,1,1,1.000,5,6,.833,0,0,0,6,1,0,1,1,14,13.4,
60,182,61,2000-04-05,25-017,SAS,SAC,-10,0,19:00,2,6,.333,0,1,.000,2,2,1.000,0,0,0,1,0,0,0,1,6,2.9,
61,183,62,2000-04-08,25-020,SAS,LAL,18,0,26:00,3,7,.429,0,0,,2,2,1.000,1,1,2,2,1,0,0,4,8,6.1,
62,184,63,2000-04-09,25-021,SAS,VAN,8,0,18:00,4,4,1.000,0,0,,0,0,,1,3,4,2,0,0,0,0,8,9.8,
63,185,64,2000-04-11,25-023,SAS,SAC,6,0,21:00,2,5,.400,1,1,1.000,2,2,1.000,0,3,3,1,4,0,0,0,7,9.9,
64,186,65,2000-04-13,25-025,SAS,POR,-16,0,18:00,2,6,.333,0,2,.000,0,0,,0,1,1,3,1,0,2,2,4,1.2,
65,187,66,2000-04-15,25-027,SAS,UTA,23,0,19:00,3,6,.500,1,1,1.000,0,0,,0,2,2,3,3,0,0,1,7,9.3,
66,188,67,2000-04-17,25-029,SAS,VAN,7,0,24:00,4,7,.571,2,2,1.000,2,2,1.000,0,2,2,4,0,0,0,2,12,11.3,
67,189,68,2000-04-19,25-031,SAS,LAL,5,0,28:00,5,8,.625,1,2,.500,0,2,.000,0,4,4,10,0,0,1,1,11,13.4,
