,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,54,1,1996-11-01,24-170,CLE,NJN,13,0,9:00,0,2,.000,0,1,.000,0,0,,0,0,0,2,1,0,0,1,0,0.6,
1,55,2,1996-11-05,24-174,CLE,SAS,-6,0,11:00,1,2,.500,0,0,,1,2,.500,0,1,1,0,0,0,0,1,3,1.5,
2,56,3,1996-11-08,24-177,CLE,VAN,16,0,16:00,1,3,.333,0,0,,1,2,.500,0,1,1,0,2,0,0,5,3,1.2,
3,57,4,1996-11-10,24-179,CLE,DEN,15,0,23:00,2,4,.500,0,0,,2,2,1.000,1,1,2,1,0,2,1,2,6,5.3,
4,58,5,1996-11-12,24-181,CLE,ATL,-4,0,8:00,1,1,1.000,0,0,,1,1,1.000,1,0,1,0,0,2,1,1,3,3.4,
5,59,6,1996-11-13,24-182,CLE,POR,11,0,17:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3,
6,60,7,1996-11-15,24-184,CLE,PHI,16,0,16:00,0,1,.000,0,0,,3,4,.750,1,1,2,0,1,1,1,3,3,2.4,
7,61,8,1996-11-16,24-185,CLE,DET,-4,0,12:00,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,2,2,0.9,
8,62,9,1996-11-19,24-188,CLE,ATL,10,0,10:00,0,3,.000,0,0,,0,0,,1,1,2,0,0,1,2,1,0,-2.8,
9,63,10,1996-11-21,24-190,CLE,TOR,8,0,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,
10,64,11,1996-11-24,24-193,CLE,SAC,29,0,13:00,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-0.1,
11,65,12,1996-11-27,24-196,CLE,MIL,-17,0,19:00,2,4,.500,0,0,,0,0,,0,2,2,2,2,1,2,2,4,3.9,
12,66,13,1996-11-30,24-199,CLE,ORL,-4,0,15:00,2,2,1.000,0,0,,0,0,,1,2,3,0,0,1,1,0,4,4.4,
13,67,14,1996-12-03,24-202,CLE,TOR,19,0,13:00,2,5,.400,0,1,.000,2,2,1.000,1,1,2,0,1,3,2,4,6,3.8,
14,68,15,1996-12-04,24-203,CLE,ORL,27,0,21:00,0,1,.000,0,0,,2,2,1.000,2,2,4,4,1,1,2,4,2,4.2,
15,69,16,1996-12-06,24-205,CLE,DET,-12,0,25:00,7,10,.700,0,0,,0,0,,2,1,3,1,0,0,1,1,14,10.8,
16,70,17,1996-12-08,24-207,CLE,LAC,21,0,27:00,3,5,.600,0,0,,0,2,.000,0,8,8,1,1,2,0,3,6,7.2,
17,71,18,1996-12-10,24-209,CLE,MIA,-2,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,
18,72,19,1996-12-11,24-210,CLE,WSB,-11,0,9:00,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-0.1,
19,73,20,1996-12-13,24-212,CLE,GSW,14,0,22:00,2,6,.333,0,0,,3,3,1.000,1,2,3,4,0,0,3,1,7,4.3,
20,74,21,1996-12-14,24-213,CLE,MIN,8,0,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,
21,75,22,1996-12-18,24-217,CLE,NJN,18,0,23:00,4,5,.800,0,0,,1,2,.500,0,3,3,1,0,0,0,4,9,6.7,
22,76,23,1996-12-20,24-219,CLE,TOR,9,0,16:00,2,6,.333,0,0,,0,0,,2,0,2,0,1,0,2,3,4,-0.2,
