,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,110,1,1950-11-01,25-095,MNL,BLB,-10,,,0,,,,,,1,1,1.000,,,,,,,,,1,,
1,111,2,1950-11-04,25-098,MNL,WSC,6,,,,,,,,,1,1,1.000,,,,,,,,,1,,
2,112,3,1950-11-09,25-103,MNL,BOS,-5,,,,,,,,,2,2,1.000,,,,,,,,,2,,
3,113,4,1950-11-12,25-106,MNL,PHW,13,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
4,114,5,1950-11-15,25-109,MNL,SYR,1,,,,,,,,,3,4,.750,,,,,,,,,3,,
5,115,6,1950-11-16,25-110,MNL,NYK,-2,,,2,,,,,,1,2,.500,,,,,,,,,5,,
6,116,7,1950-11-18,25-112,MNL,ROC,9,,,1,,,,,,1,2,.500,,,,,,,,,3,,
7,117,8,1950-11-23,25-117,MNL,FTW,-10,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
8,118,9,1950-11-26,25-120,MNL,BLB,14,,,,,,,,,,,,,,,,,,,,,,
9,119,10,1950-11-29,25-123,MNL,TRI,19,,,,,,,,,,,,,,,,,,,,,,
10,120,11,1950-12-01,25-125,MNL,INO,-1,,,1,,,,,,2,3,.667,,,,,,,,,4,,
11,121,12,1950-12-03,25-127,MNL,PHW,12,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
12,122,13,1950-12-06,25-130,MNL,NYK,22,,,1,,,,,,1,1,1.000,,,,,,,,,3,,
13,123,14,1950-12-09,25-133,MNL,TRI,9,,,4,,,,,,2,2,1.000,,,,,,,,,10,,
14,124,15,1950-12-10,25-134,MNL,TRI,13,,,3,,,,,,3,3,1.000,,,,,,,,,9,,
15,125,16,1950-12-13,25-137,MNL,ROC,-10,,,1,,,,,,,,,,,,,,,,,2,,
16,126,17,1950-12-15,25-139,MNL,INO,11,,,5,,,,,,3,4,.750,,,,,,,,,13,,
17,127,18,1950-12-16,25-140,MNL,TRI,15,,,3,,,,,,1,2,.500,,,,,,,,,7,,
18,128,19,1950-12-17,25-141,MNL,INO,19,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
19,129,20,1950-12-19,25-143,MNL,PHW,-4,,,1,,,,,,3,4,.750,,,,,,,,,5,,
20,130,21,1950-12-20,25-144,MNL,BLB,-7,,,1,,,,,,2,3,.667,,,,,,,,,4,,
21,131,22,1950-12-23,25-147,MNL,BOS,-6,,,4,,,,,,1,,,,,,,,,,5,9,,
22,132,23,1950-12-25,25-149,MNL,WSC,14,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
23,133,24,1950-12-27,25-151,MNL,BLB,18,,,3,,,,,,,1,,,,,,,,,,6,,
24,134,25,1950-12-28,25-152,MNL,ROC,-8,,,1,,,,,,,,,,,,,,,,,2,,
25,135,26,1950-12-31,25-155,MNL,PHW,10,,,2,,,,,,3,3,1.000,,,,,,,,5,7,,
26,136,27,1951-01-01,25-156,MNL,FTW,-13,,,1,,,,,,2,3,.667,,,,,,,,,4,,
27,137,28,1951-01-03,25-158,MNL,FTW,22,,,2,,,,,,2,3,.667,,,,,,,,,6,,
28,138,29,1951-01-04,25-159,MNL,SYR,3,,,3,,,,,,3,3,1.000,,,,,,,,,9,,
29,139,30,1951-01-05,25-160,MNL,BOS,15,,,2,,,,,,1,4,.250,,,,,,,,,5,,
30,140,31,1951-01-07,25-162,MNL,ROC,12,,,1,,,,,,,,,,,,,,,,,2,,
31,141,32,1951-01-10,25-165,MNL,NYK,5,,,3,,,,,,6,6,1.000,,,,,,,,,12,,
32,142,33,1951-01-11,25-166,MNL,TRI,4,,,2,,,,,,7,10,.700,,,,,,,,,11,,
33,143,34,1951-01-14,25-169,MNL,INO,2,,,6,,,,,,3,9,.333,,,,,,,,,15,,
34,144,35,1951-01-16,25-171,MNL,INO,-14,,,2,,,,,,3,5,.600,,,,,,,,,7,,
35,145,36,1951-01-18,25-173,MNL,NYK,-17,,,2,,,,,,3,6,.500,,,,,,,,,7,,
36,146,37,1951-01-20,25-175,MNL,FTW,19,,,1,,,,,,,1,,,,,,,,,,2,,
37,147,38,1951-01-21,25-176,MNL,TRI,7,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
38,148,39,1951-01-23,25-178,MNL,BLB,10,,,3,,,,,,,,,,,,,,,,,6,,
39,149,40,1951-01-25,25-180,MNL,PHW,19,,,2,,,,,,1,3,.333,,,,,,,,,5,,
40,150,41,1951-01-28,25-183,MNL,INO,26,,,1,,,,,,,,,,,,,,,,,2,,
41,151,42,1951-01-31,25-186,MNL,TRI,28,,,2,,,,,,4,5,.800,,,,,,,,,8,,
42,152,43,1951-02-03,25-189,MNL,INO,5,,,,,,,,,,,,,,,,,,,,,,
43,153,44,1951-02-04,25-190,MNL,BOS,14,,,4,,,,,,2,4,.500,,,,,,,,,10,,
44,154,45,1951-02-07,25-193,MNL,FTW,-10,,,3,,,,,,1,1,1.000,,,,,,,,,7,,
