,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,312,1,1976-10-22,28-226,CLE,CHI,11,,,8,9,.889,,,,2,3,.667,,,2,3,,,,1,18,,
1,313,2,1976-10-24,28-228,CLE,LAL,5,,21:00,5,14,.357,,,,4,4,1.000,,,2,1,,,,2,14,,
2,314,3,1976-10-28,28-232,CLE,NYK,24,,,4,9,.444,,,,3,6,.500,,,,,,,,3,11,,
3,315,4,1976-10-30,28-234,CLE,BUF,4,,,8,,,,,,2,3,.667,,,,,,,,,18,,
4,316,5,1976-10-31,28-235,CLE,NOJ,14,,,4,,,,,,3,5,.600,,,,,,,,,11,,
5,317,6,1976-11-01,28-236,CLE,NYN,7,,24:00,7,12,.583,,,,4,4,1.000,,,2,1,,,,3,18,,
6,318,7,1976-11-04,28-239,CLE,MIL,8,,21:00,2,10,.200,,,,0,0,,,,2,0,0,0,,1,4,,
7,319,8,1976-11-06,28-241,CLE,NYN,8,,,7,,,,,,7,7,1.000,,,,,,,,,21,,
8,320,9,1976-11-07,28-242,CLE,ATL,-10,,,10,,,,,,3,4,.750,,,,,,,,,23,,
9,321,10,1976-11-09,28-244,CLE,MIL,21,,30:00,9,19,.474,,,,4,4,1.000,,,4,2,1,0,,2,22,,
10,322,11,1976-11-10,28-245,CLE,DET,-11,,,8,,,,,,1,2,.500,,,,,,,,,17,,
11,323,12,1976-11-13,28-248,CLE,PHO,13,,,10,,,,,,2,2,1.000,,,,,,,,,22,,
12,324,13,1976-11-14,28-249,CLE,LAL,2,,29:00,6,12,.500,,,,2,4,.500,,,3,1,,,,1,14,,
13,325,14,1976-11-17,28-252,CLE,SEA,-14,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
14,326,15,1976-11-21,28-256,CLE,NOJ,-5,,,6,,,,,,7,11,.636,,,,,,,,,19,,
15,327,16,1976-11-25,28-260,CLE,DET,6,,,10,,,,,,3,4,.750,,,,,,,,,23,,
16,328,17,1976-11-26,28-261,CLE,BOS,16,,28:00,8,17,.471,,,,1,1,1.000,,,2,4,,,,,17,,
17,329,18,1976-11-27,28-262,CLE,PHI,7,,,8,,,,,,3,5,.600,,,,,,,,,19,,
18,330,19,1976-11-30,28-265,CLE,DEN,6,,,5,16,.313,,,,2,2,1.000,,,,,,,,2,12,,
19,331,20,1976-12-01,28-266,CLE,KCK,7,,,8,,,,,,0,0,,,,,,,,,,16,,
