,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,359,1,2016-10-26,25-335,BOS,BRK,5,1,34:03,7,15,.467,3,4,.750,0,0,,4,5,9,6,1,0,3,4,17,14.2,+3
1,360,2,2016-10-27,25-336,BOS,CHI,-6,1,40:36,6,12,.500,1,3,.333,3,4,.750,1,5,6,5,0,1,2,2,16,13.2,-10
2,361,3,2016-10-29,25-338,BOS,CHO,6,1,35:35,11,19,.579,8,11,.727,1,2,.500,1,10,11,4,1,0,1,4,31,26.6,+11
3,362,4,2016-11-02,25-342,BOS,CHI,7,1,38:41,6,15,.400,1,7,.143,0,0,,2,3,5,4,0,0,1,4,13,7.4,+3
4,363,5,2016-11-03,25-343,BOS,CLE,-6,1,38:52,11,20,.550,2,6,.333,2,2,1.000,1,9,10,2,1,0,3,2,26,18.4,-2
5,364,6,2016-11-06,25-346,BOS,DEN,-16,1,33:54,6,17,.353,1,5,.200,1,2,.500,2,9,11,6,0,1,0,2,14,12.3,-14
6,365,7,2016-11-09,25-349,BOS,WAS,-25,1,38:23,9,14,.643,3,7,.429,0,1,.000,1,2,3,2,2,1,1,3,21,17.6,-23
7,366,8,2016-11-11,25-351,BOS,NYK,28,1,31:35,5,17,.294,1,4,.250,4,4,1.000,3,7,10,2,3,0,2,2,15,10.9,+6
8,367,9,2016-11-12,25-352,BOS,IND,6,1,36:17,5,11,.455,1,4,.250,2,2,1.000,1,7,8,5,2,1,4,3,13,11.1,0
9,368,10,2016-11-14,25-354,BOS,NOP,-1,1,34:23,7,17,.412,3,8,.375,2,2,1.000,1,9,10,1,0,0,2,4,19,10.4,+1
10,369,11,2016-11-16,25-356,BOS,DAL,7,1,34:19,8,19,.421,2,6,.333,0,1,.000,2,11,13,1,0,0,3,1,18,9.5,+11
11,370,12,2016-11-18,25-358,BOS,GSW,-16,1,34:54,7,15,.467,2,4,.500,1,2,.500,1,9,10,2,2,1,3,2,17,12.6,-22
12,371,13,2016-11-19,25-359,BOS,DET,2,1,35:45,6,10,.600,1,3,.333,0,0,,1,3,4,3,0,0,1,2,13,10.3,+5
13,372,14,2016-11-21,25-361,BOS,MIN,6,1,32:53,5,12,.417,1,3,.333,2,2,1.000,0,3,3,0,0,0,1,3,13,5.3,-9
14,373,15,2016-11-23,25-363,BOS,BRK,19,1,33:44,10,22,.455,1,7,.143,1,2,.500,1,6,7,1,5,0,2,3,22,15.2,+20
15,374,16,2016-11-25,25-365,BOS,SAS,-6,1,38:26,8,15,.533,3,4,.750,0,0,,1,7,8,3,0,0,1,2,19,14.8,-8
16,375,17,2016-11-28,26-002,BOS,MIA,8,1,39:12,8,16,.500,2,2,1.000,0,0,,0,6,6,2,0,0,0,4,18,11.6,+12
17,376,18,2016-11-30,26-004,BOS,DET,-7,1,35:33,4,12,.333,4,8,.500,2,2,1.000,0,6,6,0,1,0,1,1,14,8.6,-9
18,377,19,2016-12-02,26-006,BOS,SAC,5,1,34:49,6,13,.462,2,4,.500,1,1,1.000,2,7,9,2,2,0,1,1,15,13.8,+2
19,378,20,2016-12-03,26-007,BOS,PHI,1,1,32:19,9,16,.563,1,6,.167,1,2,.500,2,7,9,2,1,0,1,1,20,16.5,-7
20,379,21,2016-12-05,26-009,BOS,HOU,-1,1,35:03,8,16,.500,0,2,.000,0,0,,2,8,10,1,1,0,1,5,16,10.5,+1
