,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,527,1,2007-10-30,28-200,GSW,UTA,-21,1,36:25,7,15,.467,0,4,.000,11,16,.688,0,4,4,10,5,2,4,5,25,23.9,-3
1,528,2,2007-11-02,28-203,GSW,LAC,-6,1,45:39,8,24,.333,1,9,.111,5,6,.833,2,6,8,11,1,0,5,3,22,13.7,-3
2,529,3,2007-11-03,28-204,GSW,UTA,-23,1,28:55,3,11,.273,1,6,.167,4,6,.667,0,1,1,8,1,0,3,2,11,6.8,-14
3,530,4,2007-11-06,28-207,GSW,CLE,-4,1,46:19,11,28,.393,1,6,.167,6,9,.667,1,3,4,10,0,0,3,2,29,17.4,-3
4,531,5,2007-11-08,28-209,GSW,DAL,-5,1,47:56,14,26,.538,3,6,.500,6,9,.667,1,4,5,5,1,0,2,5,37,25.6,-5
5,532,6,2007-11-14,28-215,GSW,DET,-7,1,45:00,12,24,.500,4,9,.444,1,2,.500,2,1,3,10,1,0,3,0,29,23.3,-9
6,533,7,2007-11-16,28-217,GSW,LAC,17,1,39:35,6,19,.316,1,6,.167,8,10,.800,3,1,4,12,3,5,1,2,21,24.8,+16
7,534,8,2007-11-18,28-219,GSW,TOR,6,1,36:26,7,20,.350,1,5,.200,1,1,1.000,2,7,9,7,1,0,4,5,16,8.2,+12
8,535,9,2007-11-20,28-221,GSW,NYK,26,1,38:35,11,20,.550,4,6,.667,5,7,.714,3,3,6,7,2,1,2,1,31,28.8,+25
9,536,10,2007-11-21,28-222,GSW,BOS,-23,1,28:58,3,13,.231,1,4,.250,6,6,1.000,0,3,3,4,5,0,3,3,13,9.6,-10
10,537,11,2007-11-23,28-224,GSW,WAS,8,1,40:59,11,21,.524,5,8,.625,6,9,.667,3,8,11,15,0,0,1,3,33,34.3,+19
11,538,12,2007-11-24,28-225,GSW,PHI,2,1,44:45,9,19,.474,1,5,.200,3,5,.600,1,6,7,6,4,0,2,4,22,18.6,-5
12,539,13,2007-11-26,28-227,GSW,PHO,15,1,42:24,11,24,.458,5,10,.500,1,4,.250,2,4,6,9,2,0,3,3,28,21.1,+20
13,540,14,2007-11-28,28-229,GSW,SAC,7,1,43:20,6,16,.375,0,3,.000,7,9,.778,2,2,4,6,2,0,5,5,19,10.6,+11
14,541,15,2007-11-29,28-230,GSW,HOU,19,1,40:04,9,14,.643,1,3,.333,8,11,.727,0,5,5,8,5,0,3,4,27,27.1,+16
15,542,16,2007-12-02,28-233,GSW,SEA,13,1,30:34,5,16,.313,1,4,.250,3,4,.750,4,4,8,9,4,0,3,2,14,14.9,+24
16,543,17,2007-12-03,28-234,GSW,ORL,-6,1,40:50,6,23,.261,1,8,.125,6,7,.857,0,3,3,9,3,1,3,6,19,10.4,+3
17,544,18,2007-12-05,28-236,GSW,MIL,30,1,31:47,7,14,.500,2,3,.667,4,4,1.000,1,2,3,9,2,0,2,2,20,19.8,+31
18,545,19,2007-12-07,28-238,GSW,MIA,7,1,42:51,8,19,.421,4,8,.500,5,5,1.000,0,1,1,7,4,0,3,2,25,20.3,+8
19,546,20,2007-12-09,28-240,GSW,LAL,-10,1,36:36,7,17,.412,3,9,.333,3,3,1.000,4,4,8,7,4,1,2,4,20,20.9,-19
20,547,21,2007-12-11,28-242,GSW,SAS,12,1,34:29,7,21,.333,1,7,.143,3,4,.750,3,3,6,6,3,0,2,3,18,12.7,+11
21,548,22,2007-12-12,28-243,GSW,POR,-10,1,41:45,9,18,.500,3,6,.500,2,2,1.000,4,4,8,11,2,0,3,2,23,23.9,-3
22,549,23,2007-12-14,28-245,GSW,LAL,2,1,34:43,6,15,.400,5,8,.625,5,6,.833,2,1,3,6,3,0,2,5,22,18.4,+6
23,550,24,2007-12-16,28-247,GSW,DET,-22,1,23:25,1,8,.125,0,3,.000,0,0,,1,1,2,1,2,0,3,3,2,-3.7,-23
24,551,25,2007-12-17,28-248,GSW,MEM,8,1,41:14,8,17,.471,1,5,.200,5,5,1.000,1,3,4,8,2,0,2,5,22,18.5,+12
25,552,26,2007-12-19,28-250,GSW,MIN,13,1,42:30,6,15,.400,2,4,.500,4,5,.800,0,3,3,10,2,0,3,1,18,16.0,+14
26,553,27,2007-12-22,28-253,GSW,NJN,-5,1,35:56,6,19,.316,3,7,.429,0,0,,1,1,2,3,3,1,5,4,15,4.3,-10
27,554,28,2007-12-23,28-254,GSW,CLE,9,1,48:00,9,22,.409,2,7,.286,7,7,1.000,0,5,5,10,4,0,3,2,27,23.9,+9
28,555,29,2007-12-26,28-257,GSW,MIN,4,1,40:43,10,21,.476,3,9,.333,4,7,.571,3,3,6,7,2,3,4,2,27,22.3,+3
29,556,30,2007-12-28,28-259,GSW,DEN,-4,1,38:39,10,17,.588,5,9,.556,4,7,.571,2,3,5,13,1,2,2,1,29,31.3,+2
30,557,31,2007-12-30,28-261,GSW,DEN,10,1,42:19,8,20,.400,2,8,.250,10,11,.909,0,4,4,8,3,1,2,4,28,23.7,+20
31,558,32,2007-12-31,28-262,GSW,HOU,17,1,43:18,8,23,.348,3,10,.300,4,4,1.000,2,4,6,7,2,1,7,3,23,12.1,+17
32,559,33,2008-01-02,28-264,GSW,DAL,-22,1,36:52,2,14,.143,2,6,.333,4,6,.667,1,1,2,6,1,0,3,1,10,3.0,-20
33,560,34,2008-01-04,28-266,GSW,NOH,-12,1,46:05,10,19,.526,1,5,.200,5,10,.500,0,2,2,8,2,0,3,3,26,18.7,-18
34,561,35,2008-01-07,28-269,GSW,SAS,9,1,48:02,11,18,.611,3,7,.429,9,10,.900,0,6,6,14,1,0,0,2,34,37.2,+13
35,562,36,2008-01-09,28-271,GSW,POR,-18,1,13:56,1,6,.167,1,2,.500,1,2,.500,0,1,1,1,0,0,2,3,4,-2.4,-28
36,563,37,2008-01-11,28-273,GSW,MEM,12,1,40:08,8,17,.471,3,7,.429,1,2,.500,0,6,6,19,2,2,1,4,20,26.8,+7
37,564,38,2008-01-13,28-275,GSW,IND,5,1,39:35,10,16,.625,2,6,.333,5,11,.455,1,6,7,6,2,0,4,4,27,20.5,+4
38,565,39,2008-01-15,28-277,GSW,MIN,7,1,37:58,7,16,.438,3,8,.375,5,8,.625,0,5,5,9,5,1,2,3,22,22.7,+9
39,566,40,2008-01-16,28-278,GSW,IND,-8,1,38:12,7,16,.438,1,5,.200,9,11,.818,0,6,6,7,7,2,0,6,24,27.5,+4
40,567,41,2008-01-18,28-280,GSW,CHI,8,1,45:24,13,23,.565,6,8,.750,8,8,1.000,0,5,5,4,3,0,4,4,40,30.8,+10
41,568,42,2008-01-19,28-281,GSW,MIL,20,1,37:09,6,13,.462,2,7,.286,5,5,1.000,0,4,4,8,3,1,3,1,19,19.4,+15
42,569,43,2008-01-21,28-283,GSW,MIN,-1,1,39:35,5,14,.357,2,8,.250,3,8,.375,1,2,3,6,0,0,2,5,15,6.7,+1
43,570,44,2008-01-24,28-286,GSW,NJN,2,1,46:07,10,22,.455,3,8,.375,2,2,1.000,1,11,12,10,5,0,2,5,25,25.6,+2
44,571,45,2008-01-27,28-289,GSW,NYK,2,1,42:38,8,21,.381,2,8,.250,4,7,.571,0,2,2,9,1,2,2,3,22,15.4,+7
45,572,46,2008-01-29,28-291,GSW,HOU,-4,1,40:31,6,22,.273,3,11,.273,6,7,.857,2,4,6,6,4,0,2,4,21,14.8,-10
46,573,47,2008-01-30,28-292,GSW,NOH,13,1,41:24,7,14,.500,5,7,.714,4,4,1.000,0,3,3,9,0,0,2,2,23,20.4,+17
47,574,48,2008-02-01,28-294,GSW,CHA,31,1,24:06,2,5,.400,0,1,.000,1,2,.500,0,1,1,6,3,0,2,1,5,7.0,+27
48,575,49,2008-02-07,28-300,GSW,CHI,-6,1,42:23,8,24,.333,2,10,.200,4,4,1.000,1,1,2,8,4,0,3,4,22,14.4,-4
49,576,50,2008-02-09,28-302,GSW,SAC,3,1,42:59,4,19,.211,1,8,.125,1,3,.333,5,4,9,7,5,0,3,6,10,6.7,+14
50,577,51,2008-02-11,28-304,GSW,WAS,3,1,44:08,7,14,.500,2,6,.333,3,4,.750,1,6,7,7,2,0,5,4,19,14.4,-3
51,578,52,2008-02-13,28-306,GSW,PHO,2,1,45:19,12,23,.522,3,5,.600,0,1,.000,1,2,3,13,1,0,4,2,27,21.9,-3
52,579,53,2008-02-19,28-312,GSW,UTA,-10,1,25:06,7,13,.538,0,2,.000,3,3,1.000,1,1,2,4,1,0,1,1,17,14.1,-20
53,580,54,2008-02-20,28-313,GSW,BOS,2,1,45:43,10,20,.500,1,6,.167,8,11,.727,0,6,6,6,2,0,5,3,29,19.6,-2
54,581,55,2008-02-22,28-315,GSW,ATL,-7,1,45:34,14,27,.519,4,10,.400,3,6,.500,0,5,5,7,2,1,4,4,35,24.0,-3
55,582,56,2008-02-26,28-319,GSW,SEA,6,1,44:05,8,24,.333,2,8,.250,2,2,1.000,0,2,2,10,7,0,2,2,20,18.2,+18
56,583,57,2008-02-29,28-322,GSW,PHI,22,1,37:06,2,16,.125,0,8,.000,0,2,.000,1,4,5,10,2,2,3,3,4,0.9,+12
57,584,58,2008-03-02,28-324,GSW,POR,6,1,37:32,6,18,.333,1,6,.167,5,5,1.000,0,1,1,5,2,0,0,3,18,12.4,-1
58,585,59,2008-03-04,28-326,GSW,ATL,17,1,40:57,16,25,.640,1,4,.250,2,2,1.000,1,2,3,9,2,0,2,3,35,30.3,+13
59,586,60,2008-03-05,28-327,GSW,CHA,-9,1,38:40,12,22,.545,1,4,.250,5,6,.833,1,3,4,3,0,0,6,3,30,15.5,-2
60,587,61,2008-03-07,28-329,GSW,MIA,35,1,27:45,6,9,.667,0,1,.000,3,4,.750,0,2,2,10,1,0,1,2,15,17.5,+22
61,588,62,2008-03-08,28-330,GSW,ORL,9,1,45:34,13,27,.481,1,4,.250,6,8,.750,2,7,9,3,2,2,3,5,33,22.5,+10
62,589,63,2008-03-12,28-334,GSW,TOR,11,1,39:30,10,17,.588,2,6,.333,1,2,.500,0,4,4,15,0,1,1,3,23,24.9,+16
63,590,64,2008-03-13,28-335,GSW,PHO,-8,1,46:12,15,30,.500,6,11,.545,2,4,.500,2,7,9,8,3,1,2,2,38,32.2,-3
64,591,65,2008-03-15,28-337,GSW,MEM,3,1,37:09,8,19,.421,1,6,.167,2,2,1.000,1,4,5,7,2,0,5,3,19,11.5,-6
65,592,66,2008-03-18,28-340,GSW,SAC,-17,1,38:56,9,18,.500,2,6,.333,4,5,.800,0,2,2,8,1,0,2,1,24,19.4,-27
66,593,67,2008-03-19,28-341,GSW,LAC,16,1,26:51,5,14,.357,2,6,.333,2,2,1.000,0,4,4,4,2,0,1,3,14,10.0,+11
67,594,68,2008-03-21,28-343,GSW,HOU,-3,1,43:25,11,23,.478,3,7,.429,2,5,.400,3,2,5,4,1,3,5,4,27,16.1,+1
68,595,69,2008-03-23,28-345,GSW,LAL,4,1,42:23,7,20,.350,2,6,.333,2,2,1.000,0,1,1,4,4,0,4,4,18,8.3,-2
69,596,70,2008-03-24,28-346,GSW,LAL,-4,1,53:00,12,28,.429,3,9,.333,3,4,.750,3,6,9,7,4,0,4,3,30,22.4,-4
70,597,71,2008-03-27,28-349,GSW,POR,16,1,27:15,4,12,.333,1,5,.200,3,4,.750,1,4,5,7,4,2,1,2,12,15.2,+12
71,598,72,2008-03-29,28-351,GSW,DEN,-7,1,44:25,11,24,.458,4,10,.400,2,3,.667,1,3,4,7,2,0,4,4,28,18.1,-15
72,599,73,2008-03-30,28-352,GSW,DAL,10,1,37:14,7,17,.412,2,8,.250,5,7,.714,4,2,6,4,0,0,1,3,21,15.1,0
73,600,74,2008-04-01,28-354,GSW,SAS,-24,1,30:18,7,17,.412,3,6,.500,2,2,1.000,0,6,6,2,3,1,2,1,19,14.4,-3
74,601,75,2008-04-02,28-355,GSW,DAL,-25,1,36:54,8,17,.471,0,3,.000,4,4,1.000,1,2,3,1,3,0,6,4,20,8.7,-18
75,602,76,2008-04-04,28-357,GSW,MEM,31,1,31:31,3,13,.231,1,3,.333,2,2,1.000,1,3,4,9,1,0,3,1,9,6.6,+16
76,603,77,2008-04-06,28-359,GSW,NOH,-12,1,43:23,8,22,.364,1,8,.125,0,0,,0,3,3,8,3,1,4,4,17,9.4,-6
77,604,78,2008-04-08,28-361,GSW,SAC,8,1,42:11,9,18,.500,4,6,.667,11,12,.917,1,4,5,9,3,1,5,2,33,29.7,+9
78,605,79,2008-04-10,28-363,GSW,DEN,-9,1,46:18,9,25,.360,1,9,.111,1,1,1.000,5,5,10,11,1,1,3,3,20,16.3,-5
79,606,80,2008-04-12,28-365,GSW,LAC,6,1,37:58,10,21,.476,1,4,.250,4,4,1.000,0,5,5,9,1,1,4,2,25,19.0,+18
80,607,81,2008-04-14,29-001,GSW,PHO,-6,1,16:56,2,13,.154,1,3,.333,2,4,.500,1,0,1,3,0,0,0,0,7,0.7,-6
81,608,82,2008-04-16,29-003,GSW,SEA,-5,1,38:51,8,22,.364,5,12,.417,0,0,,2,4,6,7,2,0,4,4,21,12.7,-10
