,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,83,1,1980-10-11,23-073,NYK,MIL,5,,,5,,,0,,,11,13,.846,,,,,,,,,21,,
1,84,2,1980-10-14,23-076,NYK,PHI,20,,,8,,,0,,,6,8,.750,,,,,,,,,22,,
2,85,3,1980-10-17,23-079,NYK,ATL,-12,,,11,,,0,,,9,13,.692,,,,,,,,,31,,
3,86,4,1980-10-21,23-083,NYK,CHI,8,,,2,,,0,,,4,6,.667,,,,,,,,,8,,
4,87,5,1980-10-23,23-085,NYK,BOS,2,,,11,,,0,,,5,9,.556,,,,,,,,,27,,
5,88,6,1980-10-25,23-087,NYK,NJN,4,,,11,,,0,,,4,4,1.000,,,,,,,,,26,,
6,89,7,1980-10-29,23-091,NYK,IND,-7,,,10,,,0,,,0,3,.000,,,,,,,,,20,,
7,90,8,1980-10-30,23-092,NYK,ATL,1,,,12,,,0,,,4,6,.667,,,,,,,,,28,,
8,91,9,1980-11-01,23-094,NYK,WSB,18,,,2,,,0,,,4,5,.800,,,,,,,,,8,,
9,92,10,1980-11-05,23-098,NYK,KCK,-9,,,7,,,0,,,9,10,.900,,,,,,,,,23,,
10,93,11,1980-11-07,23-100,NYK,DEN,9,,,11,,,0,,,5,7,.714,,,,,,,,,27,,
11,94,12,1980-11-08,23-101,NYK,UTA,7,,,5,,,0,,,11,12,.917,,,,,,,,,21,,
12,95,13,1980-11-11,23-104,NYK,DET,31,,,8,,,0,,,2,2,1.000,,,,,,,,,18,,
13,96,14,1980-11-12,23-105,NYK,PHI,12,,,11,,,0,,,2,2,1.000,,,,,,,,,24,,
14,97,15,1980-11-14,23-107,NYK,MIL,-19,,,12,,,0,,,3,3,1.000,,,,,,,,,27,,
15,98,16,1980-11-15,23-108,NYK,CLE,5,,,4,,,0,,,4,4,1.000,,,,,,,,,12,,
16,99,17,1980-11-18,23-111,NYK,PHI,-14,,,5,,,0,,,0,1,.000,,,,,,,,,10,,
17,100,18,1980-11-21,23-114,NYK,CHI,-9,,,15,,,0,,,2,2,1.000,,,,,,,,,32,,
18,101,19,1980-11-22,23-115,NYK,GSW,-6,,,5,,,0,,,10,14,.714,,,,,,,,,20,,
19,102,20,1980-11-24,23-117,NYK,HOU,3,,,8,,,0,,,0,0,,,,,,,,,,16,,
20,103,21,1980-11-26,23-119,NYK,CLE,6,,,3,,,0,,,5,7,.714,,,,,,,,,11,,
21,104,22,1980-11-28,23-121,NYK,BOS,-14,,,5,,,0,,,5,7,.714,,,,,,,,,15,,
22,105,23,1980-11-29,23-122,NYK,POR,1,,,7,,,0,,,3,4,.750,,,,,,,,,17,,
23,106,24,1980-12-02,23-125,NYK,IND,-17,,,12,,,0,,,7,9,.778,,,,,,,,,31,,
24,107,25,1980-12-03,23-126,NYK,PHI,-6,,,5,,,0,,,5,8,.625,,,,,,,,,15,,
25,108,26,1980-12-06,23-129,NYK,MIL,10,,,9,,,0,,,6,6,1.000,,,,,,,,,24,,
26,109,27,1980-12-09,23-132,NYK,WSB,3,,,7,,,0,,,1,3,.333,,,,,,,,,15,,
27,110,28,1980-12-10,23-133,NYK,NJN,2,,,7,,,0,,,12,13,.923,,,,,,,,,26,,
28,111,29,1980-12-11,23-134,NYK,MIL,-12,,,8,,,0,,,3,3,1.000,,,,,,,,,19,,
29,112,30,1980-12-13,23-136,NYK,DET,6,,,8,,,0,,,5,6,.833,,,,,,,,,21,,
30,113,31,1980-12-16,23-139,NYK,UTA,15,,,8,,,0,,,6,10,.600,,,,,,,,,22,,
31,114,32,1980-12-17,23-140,NYK,DET,16,,,3,,,0,,,1,2,.500,,,,,,,,,7,,
32,115,33,1980-12-19,23-142,NYK,WSB,6,,,8,,,0,,,4,4,1.000,,,,,,,,,20,,
33,116,34,1980-12-20,23-143,NYK,DEN,6,,,9,,,0,,,5,5,1.000,,,,,,,,,23,,
34,117,35,1980-12-23,23-146,NYK,CHI,-3,,,5,,,0,,,11,15,.733,,,,,,,,,21,,
35,118,36,1980-12-25,23-148,NYK,BOS,-9,,,10,,,0,,,2,5,.400,,,,,,,,,22,,
36,119,37,1980-12-27,23-150,NYK,KCK,1,,,8,,,0,,,8,8,1.000,,,,,,,,,24,,
37,120,38,1980-12-30,23-153,NYK,DAL,2,,,8,,,0,,,5,5,1.000,,,,,,,,,21,,
38,121,39,1981-01-02,23-156,NYK,DET,-2,,,6,,,0,,,10,10,1.000,,,,,,,,,22,,
39,122,40,1981-01-03,23-157,NYK,ATL,36,,,8,,,0,,,6,7,.857,,,,,,,,,22,,
40,123,41,1981-01-06,23-160,NYK,SAS,-5,,,5,,,0,,,4,9,.444,,,,,,,,,14,,
41,124,42,1981-01-08,23-162,NYK,IND,-1,,,9,,,0,,,8,9,.889,,,,,,,,,26,,
42,125,43,1981-01-10,23-164,NYK,CLE,5,,,13,,,0,,,6,7,.857,,,,,,,,,32,,
43,126,44,1981-01-13,23-167,NYK,BOS,-4,,,6,,,0,,,4,7,.571,,,,,,,,,16,,
44,127,45,1981-01-14,23-168,NYK,SAS,-11,,,10,,,0,,,8,8,1.000,,,,,,,,,28,,
