,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,115,1,1987-11-06,24-194,DAL,UTA,2,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,
1,116,2,1987-11-07,24-195,DAL,SAS,-24,0,8:00,1,5,.200,0,0,,0,0,,0,1,1,0,0,1,2,1,2,-2.5,
2,117,3,1987-11-11,24-199,DAL,UTA,-29,0,7:00,3,3,1.000,1,1,1.000,3,4,.750,1,1,2,0,0,2,1,4,10,8.5,
3,118,4,1987-11-21,24-209,DAL,SAC,7,0,2:00,0,1,.000,0,0,,0,0,,2,1,3,0,0,0,1,1,0,-0.4,
4,119,5,1987-11-28,24-216,DAL,DEN,-8,0,6:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3,
5,120,6,1987-12-04,24-222,DAL,GSW,21,0,5:00,0,1,.000,0,0,,0,0,,0,4,4,0,0,1,0,2,0,0.4,
6,121,7,1987-12-09,24-227,DAL,SAC,27,0,8:00,1,5,.200,0,0,,0,0,,2,2,4,1,0,1,1,0,2,1.3,
7,122,8,1988-01-09,24-258,DAL,GSW,16,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,
8,123,9,1988-01-22,24-271,DAL,LAC,23,0,1:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,
9,124,10,1988-01-26,24-275,DAL,SAS,17,0,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
10,125,11,1988-01-27,24-276,DAL,PHO,19,0,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,1.0,
11,126,12,1988-01-30,24-279,DAL,HOU,-16,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
12,127,13,1988-02-09,24-289,DAL,UTA,31,0,8:00,3,5,.600,0,0,,0,0,,1,0,1,0,0,1,0,2,6,4.3,
13,128,14,1988-02-10,24-290,DAL,UTA,-13,0,13:00,2,2,1.000,0,0,,2,2,1.000,1,4,5,1,1,1,0,5,6,7.7,
14,129,15,1988-02-17,24-297,DAL,WSB,15,0,1:00,1,2,.500,0,0,,0,2,.000,0,0,0,1,0,0,0,0,2,0.9,
15,130,16,1988-02-29,24-309,DAL,DEN,27,0,2:00,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,0,2,1.6,
16,131,17,1988-03-02,24-311,DAL,SAC,25,0,4:00,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,4,2.3,
17,132,18,1988-03-04,24-313,DAL,HOU,8,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,
18,133,19,1988-03-14,24-323,DAL,GSW,20,0,7:00,0,2,.000,0,1,.000,1,2,.500,0,1,1,0,2,0,0,1,1,1.1,
19,134,20,1988-03-16,24-325,DAL,UTA,-15,0,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,
20,135,21,1988-03-18,24-327,DAL,LAC,8,0,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
21,136,22,1988-03-20,24-329,DAL,POR,-6,0,2:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-0.8,
22,137,23,1988-03-22,24-331,DAL,NYK,19,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,
23,138,24,1988-03-25,24-334,DAL,POR,5,0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
24,139,25,1988-03-26,24-335,DAL,SAS,19,0,3:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,
25,140,26,1988-03-29,24-338,DAL,ATL,-14,0,4:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,
26,141,27,1988-04-08,24-348,DAL,UTA,23,0,8:00,3,4,.750,0,0,,2,4,.500,2,2,4,0,1,0,1,3,8,6.4,
27,142,28,1988-04-09,24-349,DAL,DEN,26,0,7:00,2,2,1.000,0,0,,3,4,.750,0,3,3,0,1,0,0,0,7,7.9,
28,143,29,1988-04-15,24-355,DAL,SEA,-27,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,
29,144,30,1988-04-22,24-362,DAL,SAS,31,0,12:00,3,6,.500,0,0,,1,1,1.000,4,0,4,1,0,0,0,4,7,5.9,
