,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,361,1,1982-10-29,25-162,SAS,UTA,6,0,,2,,,0,,,0,0,,,,,,,,,,4,,
1,362,2,1982-10-30,25-163,SAS,POR,5,0,20:00,1,3,.333,0,0,,0,0,,2,2,4,2,0,2,1,1,2,3.7,
2,363,3,1982-11-03,25-167,SAS,SEA,-2,0,22:00,3,6,.500,0,0,,2,2,1.000,2,1,3,0,0,0,0,2,8,5.9,
3,364,4,1982-11-04,25-168,SAS,POR,1,0,14:00,1,6,.167,0,0,,0,0,,0,2,2,0,1,0,0,4,2,-1.8,
4,365,5,1982-11-05,25-169,SAS,GSW,1,0,23:00,2,3,.667,0,,,1,2,.500,,,2,0,0,0,,4,5,,
5,366,6,1982-11-07,25-171,SAS,PHO,1,0,23:00,1,5,.200,0,0,,0,0,,1,6,7,2,0,0,1,3,2,0.6,
6,367,7,1982-11-09,25-173,SAS,UTA,14,0,20:00,3,4,.750,0,0,,2,4,.500,1,1,2,3,0,0,1,2,8,6.9,
7,368,8,1982-11-11,25-175,SAS,SDC,-4,0,17:00,3,6,.500,0,0,,0,0,,1,1,2,0,0,0,0,1,6,3.6,
8,369,9,1982-11-13,25-177,SAS,SEA,-9,0,19:00,3,6,.500,0,0,,0,0,,1,2,3,0,1,0,0,2,6,4.5,
9,370,10,1982-11-16,25-180,SAS,KCK,-3,0,24:00,2,4,.500,0,0,,0,0,,1,3,4,3,0,0,2,0,4,3.7,
10,371,11,1982-11-17,25-181,SAS,WSB,2,0,30:00,1,4,.250,0,0,,3,6,.500,3,5,8,1,0,1,1,2,5,4.6,
11,372,12,1982-11-19,25-183,SAS,BOS,-8,0,26:00,7,12,.583,0,0,,0,0,,1,2,3,1,0,0,0,2,14,9.6,
12,373,13,1982-11-20,25-184,SAS,GSW,22,0,25:00,1,5,.200,0,,,6,7,.857,,,4,1,1,2,,,8,,
13,374,14,1982-11-23,25-187,SAS,DEN,10,0,20:00,1,6,.167,0,1,.000,0,0,,3,2,5,1,2,1,0,3,2,3.1,
14,375,15,1982-11-24,25-188,SAS,DEN,-6,0,23:00,6,9,.667,0,0,,0,0,,,,4,3,1,0,0,3,12,,
15,376,16,1982-11-26,25-190,SAS,CHI,2,0,23:00,2,7,.286,0,,,0,0,,,,4,2,0,2,,,4,,
16,377,17,1982-11-27,25-191,SAS,DAL,1,0,21:00,2,6,.333,0,,,0,1,.000,,,5,1,0,0,,,4,,
17,378,18,1982-11-30,25-194,SAS,LAL,3,0,16:00,3,5,.600,0,0,,0,0,,2,3,5,1,1,0,1,3,6,5.5,
18,379,19,1982-12-01,25-195,SAS,DET,-8,0,16:00,4,5,.800,0,0,,0,0,,0,3,3,0,0,0,0,2,8,6.2,
19,380,20,1982-12-03,25-197,SAS,HOU,10,0,,4,8,.500,0,,,4,4,1.000,,,,,,,,,12,,
20,381,21,1982-12-04,25-198,SAS,HOU,-1,0,,3,8,.375,0,,,0,0,,,,,,,,,,6,,
21,382,22,1982-12-07,25-201,SAS,DAL,14,0,28:00,7,14,.500,0,0,,0,0,,2,4,6,1,2,1,2,3,14,9.8,
22,383,23,1982-12-08,25-202,SAS,KCK,1,0,31:00,2,5,.400,0,0,,0,0,,1,4,5,1,1,0,2,3,4,1.7,
23,384,24,1982-12-10,25-204,SAS,NJN,12,0,,5,7,.714,0,,,0,0,,,,,,,,,,10,,
24,385,25,1982-12-11,25-205,SAS,KCK,-12,0,,1,4,.250,0,,,0,0,,,,,,,,,,2,,
25,386,26,1982-12-14,25-208,SAS,HOU,9,0,22:00,3,8,.375,0,0,,2,2,1.000,1,4,5,0,2,0,2,1,8,5.1,
26,387,27,1982-12-16,25-210,SAS,DEN,12,0,25:00,6,9,.667,2,2,1.000,4,4,1.000,2,3,5,1,0,0,1,3,18,14.9,
27,388,28,1982-12-17,25-211,SAS,UTA,7,0,26:00,3,8,.375,0,0,,0,0,,,,5,5,,1,,3,6,,
28,389,29,1982-12-19,25-213,SAS,MIL,-15,0,29:00,6,7,.857,1,1,1.000,4,5,.800,1,5,6,1,0,1,0,1,17,17.3,
29,390,30,1982-12-21,25-215,SAS,PHO,-1,0,16:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-2.1,
30,391,31,1982-12-26,25-220,SAS,PHI,-2,0,31:00,2,8,.250,0,0,,2,2,1.000,2,3,5,0,0,1,4,2,6,-0.6,
31,392,32,1982-12-29,25-223,SAS,SDC,9,0,25:00,7,10,.700,0,0,,0,0,,2,7,9,1,1,0,1,5,14,12.0,
32,393,33,1982-12-30,25-224,SAS,CHI,3,0,14:00,0,1,.000,0,,,2,2,1.000,,,1,0,,,,3,2,,
33,394,34,1983-01-02,25-227,SAS,CLE,8,0,28:00,4,5,.800,0,0,,1,1,1.000,1,2,3,0,1,0,2,2,9,6.6,
34,395,35,1983-01-04,25-229,SAS,ATL,9,0,13:00,1,4,.250,0,0,,0,0,,1,4,5,1,0,0,1,1,2,0.8,
35,396,36,1983-01-05,25-230,SAS,DAL,-5,0,16:00,2,4,.500,0,0,,2,2,1.000,0,2,2,0,1,0,0,4,6,4.0,
36,397,37,1983-01-07,25-232,SAS,BOS,-3,0,18:00,0,5,.000,0,,,0,0,,,,2,0,0,0,,,0,,
37,398,38,1983-01-11,25-236,SAS,DAL,8,0,12:00,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,2,4,2,-1.3,
38,399,39,1983-01-12,25-237,SAS,KCK,-5,0,19:00,3,5,.600,1,1,1.000,2,2,1.000,2,1,3,1,0,0,0,2,9,8.3,
39,400,40,1983-01-14,25-239,SAS,HOU,4,0,18:00,1,2,.500,0,,,1,2,.500,,,5,0,0,1,,,3,,
40,401,41,1983-01-15,25-240,SAS,WSB,21,0,22:00,2,3,.667,1,,,0,0,,,,2,0,0,2,,3,5,,
41,402,42,1983-01-18,25-243,SAS,DEN,19,0,19:00,4,8,.500,0,0,,0,0,,2,4,6,1,1,1,4,2,8,4.2,
42,403,43,1983-01-19,25-244,SAS,PHO,-5,0,22:00,7,12,.583,0,2,.000,0,0,,1,3,4,2,0,0,1,2,14,9.6,
43,404,44,1983-01-21,25-246,SAS,LAL,-9,0,18:00,0,6,.000,0,0,,0,0,,,,5,1,0,0,,1,0,,
44,405,45,1983-01-23,25-248,SAS,POR,-1,0,12:00,0,1,.000,0,0,,0,0,,0,3,3,1,0,0,2,2,0,-1.9,
45,406,46,1983-01-25,25-250,SAS,UTA,10,0,6:00,1,1,1.000,0,0,,2,2,1.000,0,2,2,0,0,0,3,0,4,1.3,
46,407,47,1983-01-27,25-252,SAS,IND,5,0,8:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,
47,408,48,1983-01-29,25-254,SAS,NJN,11,0,17:00,4,9,.444,1,,,0,0,,,,4,1,1,0,,,9,,
48,409,49,1983-02-02,25-258,SAS,NYK,-11,0,21:00,2,7,.286,0,1,.000,0,0,,1,0,1,3,0,0,1,3,4,0.5,
49,410,50,1983-02-04,25-260,SAS,SEA,-12,0,22:00,2,6,.333,0,1,.000,0,0,,1,2,3,1,,,2,4,4,,
50,411,51,1983-02-05,25-261,SAS,GSW,-4,0,25:00,4,6,.667,0,,,0,1,.000,,,6,0,,0,,0,8,,
51,412,52,1983-02-08,25-264,SAS,DET,4,0,,0,1,.000,0,,,1,2,.500,,,,,,,,,1,,
52,413,53,1983-03-26,25-310,NJN,ATL,21,0,4:00,0,3,.000,0,,,0,0,,0,0,0,1,,0,,0,0,,
53,414,54,1983-04-01,25-316,NJN,PHI,7,0,7:00,2,2,1.000,0,0,,2,2,1.000,,,1,0,,0,,1,6,,
54,415,55,1983-04-05,25-320,NJN,WSB,-6,0,4:00,0,0,,0,0,,0,0,,0,0,0,0,,,,0,0,,
55,416,56,1983-04-06,25-321,NJN,IND,11,0,12:00,2,5,.400,0,,,0,0,,,,3,1,,,,3,4,,
56,417,57,1983-04-08,25-323,NJN,DET,-10,0,,1,5,.200,0,,,0,0,,,,,,,,,,2,,
57,418,58,1983-04-09,25-324,NJN,CLE,10,0,3:00,1,2,.500,0,,,0,0,,0,0,0,0,,,,3,2,,
58,419,59,1983-04-12,25-327,NJN,BOS,-6,0,,1,2,.500,0,,,0,0,,,,,,,,,,2,,
59,420,60,1983-04-13,25-328,NJN,NYK,-8,0,,1,3,.333,0,,,0,0,,,,,,,,,,2,,
60,421,61,1983-04-15,25-330,NJN,PHI,-2,0,13:00,2,6,.333,0,0,,0,0,,0,0,0,2,,0,,1,4,,
