,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,143,1,1955-11-05,24-339,SYR,FTW,1,,,2,,,,,,1,3,.333,,,,,,,,,5,,
1,144,2,1955-11-06,24-340,SYR,ROC,-3,,,2,,,,,,7,10,.700,,,,,,,,1,11,,
2,145,3,1955-11-12,24-346,SYR,STL,10,,,,,,,,,2,,,,,,,,,,1,2,,
3,146,4,1955-11-13,24-347,SYR,FTW,-14,,,3,,,,,,2,3,.667,,,,,,,,1,8,,
4,147,5,1955-11-16,24-350,SYR,MNL,14,,,1,,,,,,,,,,,,,,,,3,2,,
5,148,6,1955-11-19,24-353,SYR,PHW,-8,,,,,,,,,3,,,,,,,,,,2,3,,
6,149,7,1955-11-20,24-354,SYR,STL,4,,,,,,,,,3,3,1.000,,,,,,,,1,3,,
7,150,8,1955-11-23,24-357,SYR,PHW,-3,,,1,,,,,,4,6,.667,,,,,,,,3,6,,
8,151,9,1955-11-24,24-358,SYR,BOS,8,,,4,,,,,,2,2,1.000,,,,,,,,3,10,,
9,152,10,1955-11-26,24-360,SYR,NYK,-1,,,,,,,,,2,3,.667,,,,,,,,,2,,
10,153,11,1955-11-27,24-361,SYR,NYK,11,,,1,,,,,,,,,,,,,,,,1,2,,
11,154,12,1955-11-29,24-363,SYR,BOS,-8,,,2,,,,,,1,2,.500,,,,,,,,3,5,,
12,155,13,1955-12-03,25-002,SYR,MNL,11,,,3,,,,,,3,,,,,,,,,,3,9,,
13,156,14,1955-12-04,25-003,SYR,MNL,6,,,2,,,,,,3,3,1.000,,,,,,,,3,7,,
14,157,15,1955-12-06,25-005,SYR,FTW,-2,,,7,,,,,,3,3,1.000,,,,,,,,4,17,,
15,158,16,1955-12-08,25-007,SYR,FTW,-11,,,4,,,,,,10,13,.769,,,,,,,,3,18,,
16,159,17,1955-12-09,25-008,SYR,PHW,-9,,,4,,,,,,7,,,,,,,,,,2,15,,
17,160,18,1955-12-11,25-010,SYR,BOS,12,,,3,,,,,,5,7,.714,,,,,,,,1,11,,
18,161,19,1955-12-15,25-014,SYR,MNL,-2,,,2,,,,,,2,3,.667,,,,,,,,4,6,,
19,162,20,1955-12-17,25-016,SYR,BOS,6,,,1,,,,,,2,,,,,,,,,,,4,,
20,163,21,1955-12-18,25-017,SYR,PHW,20,,,5,,,,,,1,1,1.000,,,,,,,,2,11,,
21,164,22,1955-12-20,25-019,SYR,NYK,7,,,1,,,,,,4,5,.800,,,,,,,,2,6,,
22,165,23,1955-12-25,25-024,SYR,ROC,15,,,1,,,,,,,,,,,,,,,,,2,,
23,166,24,1955-12-26,25-025,SYR,ROC,-2,,,,,,,,,2,3,.667,,,,,,,,2,2,,
24,167,25,1955-12-27,25-026,SYR,ROC,-11,,,2,,,,,,,1,,,,,,,,,4,4,,
25,168,26,1955-12-29,25-028,SYR,PHW,-29,,,1,,,,,,2,2,1.000,,,,,,,,1,4,,
26,169,27,1955-12-30,25-029,SYR,BOS,-7,,,,,,,,,,,,,,,,,,,,,,
27,170,28,1955-12-31,25-030,SYR,NYK,9,,,1,,,,,,2,,,,,,,,,,2,4,,
28,171,29,1956-01-01,25-031,SYR,MNL,5,,,2,,,,,,4,6,.667,,,,,,,,1,8,,
29,172,30,1956-01-02,25-032,SYR,STL,2,,,,,,,,,1,2,.500,,,,,,,,,1,,
30,173,31,1956-01-04,25-034,SYR,PHW,-1,,,4,,,,,,3,4,.750,,,,,,,,,11,,
31,174,32,1956-01-07,25-037,SYR,BOS,-6,,,3,,,,,,4,5,.800,,,,,,,,6,10,,
32,175,33,1956-01-08,25-038,SYR,MNL,-8,,,1,,,,,,3,5,.600,,,,,,,,2,5,,
33,176,34,1956-01-10,25-040,SYR,MNL,-11,,,1,,,,,,9,9,1.000,,,,,,,,3,11,,
34,177,35,1956-01-12,25-042,SYR,STL,15,,,7,,,,,,5,6,.833,,,,,,,,3,19,,
35,178,36,1956-01-13,25-043,SYR,BOS,-15,,,3,,,,,,7,7,1.000,,,,,,,,2,13,,
36,179,37,1956-01-14,25-044,SYR,ROC,-9,,,6,,,,,,3,,,,,,,,,,3,15,,
37,180,38,1956-01-15,25-045,SYR,ROC,11,,,5,,,,,,3,5,.600,,,,,,,,2,13,,
38,181,39,1956-01-19,25-049,SYR,MNL,22,,,9,,,,,,4,6,.667,,,,,,,,1,22,,
39,182,40,1956-01-21,25-051,SYR,BOS,-4,,,5,,,,,,1,,,,,,,,,,2,11,,
40,183,41,1956-01-22,25-052,SYR,STL,-4,,,3,,,,,,1,4,.250,,,,,,,,5,7,,
41,184,42,1956-01-25,25-055,SYR,PHW,-12,,,6,,,,,,2,2,1.000,,,,,,,,1,14,,
42,185,43,1956-01-26,25-056,SYR,PHW,11,,,11,,,,,,4,4,1.000,,,,,,,,2,26,,
