,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,80,1,1961-10-21,24-178,CIN,STL,9,,22:00,7,16,.438,,,,6,6,1.000,,,6,,,,,2,20,,
1,81,2,1961-10-24,24-181,CIN,LAL,-2,,,5,,,,,,0,1,.000,,,,,,,,2,10,,
2,82,3,1961-10-26,24-183,CIN,NYK,-3,,,7,,,,,,2,,,,,,,,,,,16,,
3,83,4,1961-10-29,24-186,CIN,SYR,7,,,9,,,,,,10,,,,,12,,,,,,28,,
4,84,5,1961-10-31,24-188,CIN,NYK,-4,,,4,,,,,,4,5,.800,,,,,,,,6,12,,
5,85,6,1961-11-01,24-189,CIN,LAL,-5,,,3,8,.375,,,,3,4,.750,,,7,,,,,4,9,,
6,86,7,1961-11-03,24-191,CIN,LAL,18,,,4,10,.400,,,,3,4,.750,,,5,,,,,4,11,,
7,87,8,1961-11-07,24-195,CIN,NYK,25,,,7,,,,,,0,0,,,,,,,,,3,14,,
8,88,9,1961-11-10,24-198,CIN,CHP,5,,,7,,,,,,0,1,.000,,,,,,,,3,14,,
9,89,10,1961-11-11,24-199,CIN,CHP,10,,,1,,,,,,0,0,,,,,,,,,5,2,,
10,90,11,1961-11-12,24-200,CIN,STL,10,,,7,,,,,,3,5,.600,,,,,,,,3,17,,
11,91,12,1961-11-14,24-202,CIN,SYR,4,,,5,,,,,,2,3,.667,,,,,,,,,12,,
12,92,13,1961-11-15,24-203,CIN,PHW,-12,,,4,,,,,,1,1,1.000,,,,,,,,5,9,,
13,93,14,1961-11-16,24-204,CIN,BOS,-6,,,6,11,.545,,,,7,9,.778,,,12,3,,,,4,19,,
14,94,15,1961-11-18,24-206,CIN,STL,-3,,,4,,,,,,3,4,.750,,,,,,,,5,11,,
15,95,16,1961-11-19,24-207,CIN,DET,16,,,4,,,,,,3,5,.600,,,,,,,,5,11,,
