,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,300,1,1963-10-16,26-138,DET,PHI,-2,,,7,,,,,,3,4,.750,,,,,,,,4,17,,
1,301,2,1963-10-19,26-141,DET,PHI,3,,,6,,,,,,2,2,1.000,,,,,,,,6,14,,
2,302,3,1963-10-23,26-145,DET,LAL,-8,,,7,,,,,,0,3,.000,,,,,,,,6,14,,
3,303,4,1963-10-26,26-148,DET,STL,-24,,,4,,,,,,5,6,.833,,,,,,,,,13,,
4,304,5,1963-10-30,26-152,DET,BOS,-6,,,7,,,,,,6,8,.750,,,,,,,,3,20,,
5,305,6,1963-11-02,26-155,DET,BOS,-8,,23:00,5,9,.556,,,,3,4,.750,,,7,3,,,,3,13,,
6,306,7,1963-11-06,26-159,DET,PHI,18,,,2,,,,,,1,4,.250,,,,,,,,2,5,,
7,307,8,1963-11-09,26-162,DET,CIN,-9,,,1,,,,,,3,3,1.000,,,,,,,,,5,,
8,308,9,1963-11-11,26-164,DET,LAL,7,,,0,,,,,,3,4,.750,,,,,,,,,3,,
9,309,10,1963-11-15,26-168,DET,SFW,3,,,5,,,,,,6,6,1.000,,,,,,,,,16,,
10,310,11,1963-11-16,26-169,DET,LAL,-20,,,5,9,.556,,,,3,4,.750,,,6,,,,,2,13,,
11,311,12,1963-11-17,26-170,DET,SFW,-24,,,5,,,,,,1,1,1.000,,,,,,,,3,11,,
12,312,13,1963-11-19,26-172,DET,CIN,-25,,,1,,,,,,1,1,1.000,,,,,,,,4,3,,
13,313,14,1963-11-20,26-173,DET,CIN,6,,,8,,,,,,0,3,.000,,,,,,,,,16,,
14,314,15,1963-11-23,26-176,DET,NYK,-9,,,5,,,,,,5,6,.833,,,,,,,,,15,,
15,315,16,1963-11-27,26-180,DET,STL,-8,,,0,,,,,,1,1,1.000,,,,,,,,,1,,
16,316,17,1963-11-28,26-181,DET,STL,-17,,,4,,,,,,0,0,,,,,,,,,,8,,
17,317,18,1963-11-29,26-182,DET,LAL,-16,,,8,,,,,,4,5,.800,,,,,,,,3,20,,
18,318,19,1963-11-30,26-183,DET,BAL,-19,,,3,,,,,,5,8,.625,,,,,,,,2,11,,
19,319,20,1963-12-01,26-184,DET,PHI,-11,,,5,,,,,,1,1,1.000,,,,,,,,,11,,
20,320,21,1963-12-14,26-197,DET,STL,-12,,,7,,,,,,2,3,.667,,,,,,,,,16,,
21,321,22,1963-12-17,26-200,DET,NYK,4,,,7,,,,,,4,9,.444,,,,,,,,,18,,
22,322,23,1963-12-18,26-201,DET,BAL,-17,,,3,,,,,,3,3,1.000,,,,,,,,2,9,,
23,323,24,1963-12-21,26-204,DET,STL,-9,,,5,,,,,,8,15,.533,,,,,,,,,18,,
24,324,25,1963-12-26,26-209,DET,BAL,-2,,,4,,,,,,0,0,,,,,,,,,1,8,,
25,325,26,1963-12-27,26-210,DET,PHI,-12,,,5,,,,,,1,2,.500,,,,,,,,,11,,
26,326,27,1963-12-29,26-212,DET,LAL,-12,,,5,,,,,,8,10,.800,,,,,,,,,18,,
27,327,28,1963-12-30,26-213,DET,SFW,2,,,3,,,,,,0,0,,,,,,,,,,6,,
28,328,29,1964-01-02,26-216,DET,CIN,-1,,,2,,,,,,4,10,.400,,,,,,,,3,8,,
29,329,30,1964-01-05,26-219,DET,STL,-17,,,5,,,,,,1,1,1.000,,,,,,,,,11,,
30,330,31,1964-01-08,26-222,DET,BAL,-7,,,6,,,,,,5,7,.714,,,,,,,,4,17,,
31,331,32,1964-01-09,26-223,DET,BAL,10,,,7,,,,,,2,4,.500,,,18,,,,,4,16,,
32,332,33,1964-01-11,26-225,DET,STL,-5,,,6,,,,,,2,4,.500,,,,,,,,,14,,
33,333,34,1964-01-12,26-226,DET,CIN,-32,,,4,,,,,,4,7,.571,,,,,,,,1,12,,
34,334,35,1964-01-15,26-229,DET,SFW,-10,,,2,,,,,,2,5,.400,,,,,,,,3,6,,
35,335,36,1964-01-16,26-230,DET,NYK,-8,,,1,,,,,,1,2,.500,,,,,,,,,3,,
36,336,37,1964-01-18,26-232,DET,BOS,-6,,,4,,,,,,4,6,.667,,,,,,,,,12,,
37,337,38,1964-01-21,26-235,DET,SFW,-12,,,6,,,,,,1,3,.333,,,,,,,,4,13,,
38,338,39,1964-01-22,26-236,DET,LAL,-9,,,7,12,.583,,,,3,8,.375,,,7,,,,,2,17,,
39,339,40,1964-01-23,26-237,DET,SFW,-32,,,1,,,,,,0,0,,,,,,,,,0,2,,
40,340,41,1964-01-25,26-239,DET,STL,-9,,,4,,,,,,3,5,.600,,,,,,,,2,11,,
41,341,42,1964-01-26,26-240,DET,STL,-2,,,1,,,,,,2,4,.500,,,,,,,,0,4,,
42,342,43,1964-01-28,26-242,DET,LAL,1,,,2,,,,,,0,2,.000,,,,,,,,0,4,,
43,343,44,1964-01-30,26-244,DET,SFW,9,,,7,,,,,,4,6,.667,,,,,,,,4,18,,
44,344,45,1964-02-01,26-246,DET,BAL,1,,,4,,,,,,4,4,1.000,,,,,,,,,12,,
45,345,46,1964-02-04,26-249,DET,SFW,-39,,,8,,,,,,2,3,.667,,,,,,,,3,18,,
46,346,47,1964-02-05,26-250,DET,LAL,-26,,,3,6,.500,,,,1,1,1.000,,,4,,,,,0,7,,
47,347,48,1964-02-06,26-251,DET,SFW,-7,,,6,,,,,,1,1,1.000,,,,,,,,4,13,,
48,348,49,1964-02-07,26-252,DET,LAL,8,,,4,7,.571,,,,6,8,.750,,,5,,,,,2,14,,
49,349,50,1964-02-09,26-254,DET,CIN,-28,,,5,,,,,,6,7,.857,,,,,,,,,16,,
50,350,51,1964-02-11,26-256,DET,SFW,-10,,,3,,,,,,0,0,,,,,,,,,5,6,,
51,351,52,1964-02-12,26-257,DET,CIN,-26,,,5,,,,,,3,3,1.000,,,,,,,,,13,,
52,352,53,1964-02-14,26-259,DET,PHI,-7,,,4,,,,,,1,1,1.000,,,,,,,,,9,,
53,353,54,1964-02-15,26-260,DET,BAL,-2,,,6,,,,,,3,3,1.000,,,,,,,,4,15,,
54,354,55,1964-02-16,26-261,DET,BAL,-12,,,1,,,,,,0,0,,,,,,,,,,2,,
55,355,56,1964-02-18,26-263,DET,SFW,-10,,,3,,,,,,1,1,1.000,,,,,,,,1,7,,
56,356,57,1964-02-19,26-264,DET,LAL,1,,,2,,,,,,0,1,.000,,,,,,,,1,4,,
57,357,58,1964-02-22,26-267,DET,NYK,-6,,,5,,,,,,2,2,1.000,,,,,,,,,12,,
58,358,59,1964-02-23,26-268,DET,BAL,-25,,,0,,,,,,0,0,,,,,,,,,,0,,
59,359,60,1964-02-24,26-269,DET,BOS,2,,,3,,,,,,3,3,1.000,,,,,,,,,9,,
60,360,61,1964-02-26,26-271,DET,PHI,-8,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
61,361,62,1964-02-28,26-273,DET,NYK,2,,,2,,,,,,0,0,,,,,,,,,2,4,,
62,362,63,1964-02-29,26-274,DET,BOS,-7,,,1,,,,,,0,0,,,,,,,,,2,2,,
63,363,64,1964-03-01,26-275,DET,SFW,-14,,,0,,,,,,0,0,,,,,,,,,1,0,,
64,364,65,1964-03-05,26-279,DET,BAL,5,,,1,,,,,,3,5,.600,,,,,,,,1,5,,
65,365,66,1964-03-07,26-281,DET,BOS,-18,,14:00,5,11,.455,,,,1,2,.500,,,9,0,,,,1,11,,
66,366,67,1964-03-08,26-282,DET,BOS,-10,,9:00,0,1,.000,,,,0,1,.000,,,0,0,,,,2,0,,
67,367,68,1964-03-10,26-284,DET,CIN,11,,,8,,,,,,4,5,.800,,,,,,,,1,20,,
68,368,69,1964-03-12,26-286,DET,BOS,-20,,17:00,7,11,.636,,,,1,2,.500,,,4,,,,,1,15,,
69,369,70,1964-03-13,26-287,DET,PHI,11,,,3,,,,,,6,7,.857,,,,,,,,,12,,
70,370,71,1964-03-14,26-288,DET,NYK,2,,,4,,,,,,3,4,.750,,,,,,,,2,11,,
71,371,72,1964-03-15,26-289,DET,NYK,-14,,,4,,,,,,6,8,.750,,,,,,,,,14,,
72,372,73,1964-03-17,26-291,DET,STL,-16,,,4,,,,,,8,12,.667,,,,,,,,,16,,
73,373,74,1964-03-18,26-292,DET,STL,10,,,2,,,,,,4,8,.500,,,,,,,,2,8,,
