,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,70,1,1954-12-12,22-275,FTW,BOS,1,,,3,,,,,,,,,,,,,,,,2,6,,
1,71,2,1954-12-15,22-278,FTW,PHW,-9,,,2,,,,,,,,,,,,,,,,3,4,,
2,72,3,1954-12-18,22-281,FTW,ROC,1,,,,,,,,,,,,,,,,,,,,,,
3,73,4,1954-12-19,22-282,FTW,MLH,5,,,2,,,,,,1,2,.500,,,,,,,,1,5,,
4,74,5,1954-12-23,22-286,FTW,PHW,10,,,4,,,,,,3,,,,,,,,,,2,11,,
5,75,6,1954-12-25,22-288,FTW,ROC,-7,,,1,,,,,,,,,,,,,,,,1,2,,
6,76,7,1954-12-26,22-289,FTW,PHW,13,,,3,,,,,,2,,,,,,,,,,3,8,,
7,77,8,1954-12-30,22-293,FTW,MNL,17,,,6,,,,,,1,1,1.000,,,,,,,,4,13,,
8,78,9,1954-12-31,22-294,FTW,MNL,-12,,,2,,,,,,4,,,,,,,,,,6,8,,
9,79,10,1955-01-02,22-296,FTW,PHW,23,,,1,,,,,,,,,,,,,,,,4,2,,
10,80,11,1955-01-04,22-298,FTW,MNL,1,,,,,,,,,1,,,,,,,,,,3,1,,
11,81,12,1955-01-05,22-299,FTW,MLH,-5,,,3,,,,,,8,,,,,,,,,,3,14,,
12,82,13,1955-01-06,22-300,FTW,ROC,7,,,3,,,,,,,,,,,,,,,,2,6,,
13,83,14,1955-01-09,22-303,FTW,MNL,3,,,2,,,,,,2,3,.667,,,,,,,,3,6,,
14,84,15,1955-01-11,22-305,FTW,BOS,-9,,,3,,,,,,1,1,1.000,,,,,,,,,7,,
15,85,16,1955-01-13,22-307,FTW,SYR,-17,,,6,,,,,,2,,,,,,,,,,1,14,,
16,86,17,1955-01-14,22-308,FTW,NYK,-14,,,,,,,,,,1,,,,,,,,,2,,,
