,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,19,1,1958-03-19,25-097,STL,DET,3,,,4,17,.235,,,,6,7,.857,,,,,,,,3,14,,
1,20,2,1958-03-22,25-100,STL,DET,3,,,6,18,.333,,,,3,5,.600,,,,,,,,3,15,,
2,21,3,1958-03-23,25-101,STL,DET,-20,,,7,21,.333,,,,4,7,.571,,,,,,,,3,18,,
3,22,4,1958-03-25,25-103,STL,DET,44,,,8,18,.444,,,,7,9,.778,,,,,,,,1,23,,
4,23,5,1958-03-27,25-105,STL,DET,24,,,7,19,.368,,,,6,11,.545,,,,,,,,3,20,,
5,24,6,1958-03-29,25-107,STL,BOS,2,,38:00,11,22,.500,,,,8,9,.889,,,19,,,,,5,30,,
6,25,7,1958-03-30,25-108,STL,BOS,-24,,39:00,8,20,.400,,,,3,5,.600,,,7,3,,,,1,19,,
7,26,8,1958-04-02,25-111,STL,BOS,3,,40:00,10,23,.435,,,,12,15,.800,,,19,,,,,4,32,,
8,27,9,1958-04-05,25-114,STL,BOS,-11,,39:00,3,17,.176,,,,6,11,.545,,,17,,,,,4,12,,
9,28,10,1958-04-09,25-118,STL,BOS,2,,40:00,7,21,.333,,,,19,22,.864,,,21,,,,,3,33,,
10,29,11,1958-04-12,25-121,STL,BOS,1,,42:00,19,34,.559,,,,12,15,.800,,,19,,,,,1,50,,
