,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,743,1,1964-10-17,31-310,STL,CIN,3,,32:00,6,,,,,,7,7,1.000,,,10,1,,,,,19,,
1,744,2,1964-10-24,31-317,STL,PHI,40,,28:00,8,,,,,,2,2,1.000,,,4,6,,,,,18,,
2,745,3,1964-10-27,31-320,STL,PHI,-19,,38:00,9,,,,,,10,18,.556,,,13,1,,,,,28,,
3,746,4,1964-10-28,31-321,STL,BOS,-2,,40:00,7,,,,,,8,8,1.000,,,14,4,,,,,22,,
4,747,5,1964-10-30,31-323,STL,CIN,-1,,,12,25,.480,,,,10,12,.833,,,14,0,,,,,34,,
5,748,6,1964-10-31,31-324,STL,DET,8,,,7,,,,,,2,5,.400,,,4,3,,,,,16,,
6,749,7,1964-11-01,31-325,STL,LAL,1,,,8,17,.471,,,,8,8,1.000,,,14,1,,,,4,24,,
7,750,8,1964-11-04,31-328,STL,SFW,1,,,6,,,,,,7,12,.583,,,12,4,,,,,19,,
8,751,9,1964-11-07,31-331,STL,BAL,35,,,10,,,,,,5,6,.833,,,10,0,,,,,25,,
9,752,10,1964-11-11,31-335,STL,CIN,-2,,,12,,,,,,8,9,.889,,,7,2,,,,,32,,
10,753,11,1964-11-13,31-337,STL,CIN,-17,,,12,,,,,,5,6,.833,,,9,7,,,,,29,,
11,754,12,1964-11-14,31-338,STL,SFW,14,,,8,,,,,,8,10,.800,,,23,3,,,,,24,,
12,755,13,1964-11-17,31-341,STL,PHI,7,,,12,,,,,,13,16,.813,,,22,2,,,,,37,,
13,756,14,1964-11-18,31-342,STL,BOS,-3,,45:00,6,12,.500,,,,7,8,.875,,,13,4,,,,3,19,,
14,757,15,1964-11-20,31-344,STL,PHI,3,,,8,,,,,,6,11,.545,,,11,4,,,,,22,,
15,758,16,1964-12-02,31-356,STL,LAL,3,,,8,,,,,,7,10,.700,,,14,2,,,,,23,,
16,759,17,1964-12-04,31-358,STL,BAL,-2,,,9,,,,,,10,10,1.000,,,16,,,,,,28,,
17,760,18,1964-12-06,31-360,STL,NYK,21,,,6,,,,,,5,5,1.000,,,7,1,,,,,17,,
18,761,19,1964-12-08,31-362,STL,SFW,20,,,10,,,,,,2,3,.667,,,20,,,,,,22,,
19,762,20,1964-12-10,31-364,STL,LAL,4,,,5,14,.357,,,,3,4,.750,,,7,3,,,,,13,,
20,763,21,1964-12-29,32-017,STL,SFW,18,,,9,,,,,,8,8,1.000,,,14,1,,,,,26,,
21,764,22,1964-12-30,32-018,STL,DET,5,,,8,,,,,,12,13,.923,,,18,3,,,,,28,,
22,765,23,1965-01-02,32-021,STL,LAL,-3,,,9,,,,,,10,11,.909,,,16,5,,,,,28,,
23,766,24,1965-01-03,32-022,STL,LAL,-7,,,5,,,,,,7,8,.875,,,11,1,,,,,17,,
24,767,25,1965-01-05,32-024,STL,DET,1,,,8,,,,,,4,5,.800,,,15,4,,,,,20,,
25,768,26,1965-01-06,32-025,STL,BOS,-32,,23:00,2,10,.200,,,,2,2,1.000,,,10,1,,,,5,6,,
26,769,27,1965-01-08,32-027,STL,NYK,1,,,4,,,,,,7,9,.778,,,13,2,,,,,15,,
27,770,28,1965-01-09,32-028,STL,PHI,-2,,,9,,,,,,9,12,.750,,,18,3,,,,,27,,
28,771,29,1965-01-11,32-030,STL,PHI,10,,,6,,,,,,4,4,1.000,,,13,4,,,,,16,,
29,772,30,1965-01-16,32-035,STL,BAL,20,,,3,,,,,,5,5,1.000,,,5,3,,,,,11,,
30,773,31,1965-01-17,32-036,STL,LAL,13,,,13,,,,,,8,10,.800,,,12,1,,,,,34,,
31,774,32,1965-01-19,32-038,STL,CIN,-4,,,11,,,,,,7,7,1.000,,,11,,,,,,29,,
32,775,33,1965-01-22,32-041,STL,BAL,-7,,,3,14,.214,,,,12,13,.923,,,12,4,,,,,18,,
33,776,34,1965-01-23,32-042,STL,BAL,-9,,,9,,,,,,9,12,.750,,,12,3,,,,,27,,
34,777,35,1965-01-24,32-043,STL,BAL,-8,,,9,,,,,,5,5,1.000,,,13,3,,,,,23,,
35,778,36,1965-01-27,32-046,STL,NYK,17,,,11,,,,,,7,10,.700,,,10,1,,,,,29,,
36,779,37,1965-01-29,32-048,STL,BAL,5,,,11,,,,,,9,11,.818,,,13,4,,,,,31,,
37,780,38,1965-01-30,32-049,STL,DET,-24,,,7,,,,,,4,6,.667,,,,,,,,,18,,
38,781,39,1965-01-31,32-050,STL,DET,-3,,,9,,,,,,7,7,1.000,,,13,2,,,,,25,,
39,782,40,1965-02-02,32-052,STL,PHI,-14,,,11,,,,,,8,9,.889,,,15,1,,,,,30,,
40,783,41,1965-02-04,32-054,STL,PHI,-4,,,10,,,,,,7,8,.875,,,14,5,,,,,27,,
41,784,42,1965-02-06,32-056,STL,SFW,7,,,10,,,,,,10,11,.909,,,15,2,,,,,30,,
42,785,43,1965-02-07,32-057,STL,SFW,23,,,8,,,,,,7,10,.700,,,13,1,,,,,23,,
43,786,44,1965-02-09,32-059,STL,NYK,5,,,6,,,,,,3,5,.600,,,9,3,,,,,15,,
44,787,45,1965-02-11,32-061,STL,BAL,30,,,5,,,,,,9,11,.818,,,15,2,,,,,19,,
45,788,46,1965-02-12,32-062,STL,BAL,44,,,7,,,,,,4,5,.800,,,13,5,,,,,18,,
46,789,47,1965-02-14,32-064,STL,CIN,-7,,,8,,,,,,8,9,.889,,,8,0,,,,,24,,
47,790,48,1965-03-17,32-095,STL,SFW,7,,,2,,,,,,4,5,.800,,,6,2,,,,,8,,
48,791,49,1965-03-20,32-098,STL,DET,9,,,9,,,,,,0,0,,,,11,1,,,,,18,,
49,792,50,1965-03-21,32-099,STL,NYK,9,,,5,,,,,,3,4,.750,,,11,0,,,,,13,,
