,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,656,1,1975-10-25,33-171,BUF,GSW,12,,23:00,1,1,1.000,,,,0,0,,,,1,4,,,,2,2,,
1,657,2,1975-10-28,33-174,BUF,HOU,16,,,0,,,,,,0,0,,,,,,,,,,0,,
2,658,3,1975-11-11,33-188,BUF,WSB,-15,,,0,,,,,,0,0,,,,,,,,,,0,,
3,659,4,1975-11-14,33-191,BUF,MIL,14,,2:00,0,0,,,,,0,0,,0,0,0,1,1,0,,0,0,,
4,660,5,1975-11-21,33-198,BUF,DET,-10,,,0,,,,,,0,0,,,,,,,,,,0,,
5,661,6,1975-11-26,33-203,BUF,PHO,-1,,8:00,1,,,,,,0,0,,,,1,1,,,,,2,,
6,662,7,1975-11-28,33-205,BUF,LAL,-21,,17:00,1,2,.500,,,,0,0,,,,2,2,,,,1,2,,
7,663,8,1975-11-29,33-206,BUF,POR,-15,0,4:00,1,2,.500,,,,1,2,.500,0,0,0,0,0,0,,0,3,,
8,664,9,1975-12-02,33-209,BUF,NOJ,-12,,,0,,,,,,0,0,,,,,,,,,,0,,
9,665,10,1975-12-05,33-212,BUF,CLE,37,,,1,,,,,,0,0,,,,,,,,,,2,,
10,666,11,1975-12-06,33-213,BUF,NYK,-10,,6:00,0,0,,,,,0,0,,0,0,0,0,,,,0,0,,
11,667,12,1975-12-09,33-216,BUF,KCK,19,,,3,,,,,,2,2,1.000,,,2,7,1,0,,,8,,
12,668,13,1975-12-11,33-218,BUF,ATL,-23,,,2,,,,,,0,0,,,,,,,,,,4,,
13,669,14,1975-12-12,33-219,BUF,NYK,13,,24:00,6,8,.750,,,,2,2,1.000,,,1,7,,,,2,14,,
14,670,15,1975-12-13,33-220,BUF,CHI,2,,,6,,,,,,5,6,.833,,,,,,,,,17,,
15,671,16,1975-12-16,33-223,BUF,WSB,-6,,,3,,,,,,0,0,,,,,,,,,,6,,
16,672,17,1975-12-17,33-224,BUF,HOU,3,,,3,,,,,,0,0,,,,,,,,,,6,,
17,673,18,1975-12-19,33-226,BUF,WSB,16,,,3,,,,,,0,0,,,,,,,,,,6,,
18,674,19,1975-12-20,33-227,BUF,KCK,7,,22:00,1,,,,,,3,5,.600,,,3,2,0,1,,,5,,
19,675,20,1975-12-23,33-230,BUF,BOS,9,,17:00,4,7,.571,,,,1,1,1.000,0,0,0,0,,,,,9,,
20,676,21,1975-12-26,33-233,BUF,PHI,-1,,17:00,2,,,,,,0,0,,,,1,3,,,,,4,,
21,677,22,1975-12-27,33-234,BUF,PHI,25,,17:00,2,,,,,,0,0,,,,2,3,,,,,4,,
22,678,23,1975-12-28,33-235,BUF,CLE,-23,,,1,3,.333,,,,0,0,,,,,,,,,0,2,,
23,679,24,1975-12-30,33-237,BUF,MIL,12,,17:00,1,3,.333,,,,0,0,,0,0,0,0,0,0,,3,2,,
24,680,25,1976-01-02,33-240,BUF,NYK,1,,12:00,0,2,.000,,,,0,0,,,,2,3,,,,2,0,,
25,681,26,1976-01-03,33-241,BUF,NYK,-1,,18:00,3,5,.600,,,,0,1,.000,,,3,,,,,3,6,,
26,682,27,1976-01-06,33-244,BUF,LAL,1,,20:00,0,2,.000,,,,0,0,,,,1,3,,,,0,0,,
27,683,28,1976-01-09,33-247,BUF,CHI,-7,,13:00,1,2,.500,,,,0,0,,0,0,0,3,,,,3,2,,
28,684,29,1976-01-11,33-249,BUF,SEA,21,,,0,,,,,,0,0,,,,,,,,,,0,,
29,685,30,1976-01-13,33-251,BUF,GSW,-26,,14:00,1,2,.500,,,,2,2,1.000,0,0,0,2,,,,2,4,,
30,686,31,1976-01-15,33-253,BUF,PHO,7,,,0,,,,,,0,0,,,,,,,,,,0,,
31,687,32,1976-01-16,33-254,BUF,CHI,6,,21:00,2,3,.667,,,,2,2,1.000,,,1,4,,,,1,6,,
32,688,33,1976-01-17,33-255,BUF,SEA,9,,,0,,,,,,0,0,,,,,,,,,,0,,
33,689,34,1976-01-20,33-258,BUF,PHO,9,,,4,,,,,,0,0,,,,,,,,,,8,,
34,690,35,1976-01-21,33-259,BUF,ATL,8,,,0,,,,,,0,0,,,,,,,,,,0,,
35,691,36,1976-01-23,33-261,BUF,ATL,15,,,1,,,,,,0,0,,,,,,,,,,2,,
36,692,37,1976-01-25,33-263,BUF,BOS,-28,,11:00,1,1,1.000,,,,0,0,,,,1,0,,,,,2,,
37,693,38,1976-01-27,33-265,BUF,NOJ,24,,,1,,,,,,0,0,,,,,,,,,,2,,
38,694,39,1976-01-28,33-266,BUF,NOJ,14,,,2,,,,,,0,0,,,,,,,,,,4,,
