,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,160,1,1978-10-13,24-059,DEN,SAS,1,,,2,,,,,,2,4,.500,,,,,,,,,6,,
1,161,2,1978-10-15,24-061,DEN,SDC,4,,,1,,,,,,0,0,,,,,,,,,,2,,
2,162,3,1978-10-18,24-064,DEN,POR,12,,,3,,,,,,0,0,,,,,,,,,,6,,
3,163,4,1978-10-20,24-066,DEN,NJN,9,,,3,,,,,,3,4,.750,,,,,,,,,9,,
4,164,5,1978-10-21,24-067,DEN,ATL,-5,,,3,,,,,,0,0,,,,,,,,,,6,,
5,165,6,1978-10-25,24-071,DEN,PHO,4,,,7,,,,,,0,0,,,,,,,,,,14,,
6,166,7,1978-10-27,24-073,DEN,IND,-13,,,6,,,,,,1,2,.500,,,,,,,,,13,,
7,167,8,1978-10-29,24-075,DEN,HOU,13,,,6,,,,,,1,1,1.000,,,,,,,,,13,,
8,168,9,1978-10-31,24-077,DEN,LAL,-27,,,7,,,,,,2,2,1.000,,,,,,,,,16,,
9,169,10,1978-11-03,24-080,DEN,CLE,17,,,4,,,,,,0,0,,,,,,,,,,8,,
10,170,11,1978-11-04,24-081,DEN,KCK,-2,,,5,,,,,,2,2,1.000,,,,,,,,,12,,
11,171,12,1978-11-09,24-086,DEN,NYK,7,,,9,,,,,,1,2,.500,,,,,,,,,19,,
12,172,13,1978-11-10,24-087,DEN,PHO,18,,,8,,,,,,0,0,,,,,,,,,,16,,
13,173,14,1978-11-11,24-088,DEN,KCK,-4,,,4,,,,,,2,2,1.000,,,,,,,,,10,,
14,174,15,1978-11-14,24-091,DEN,NYK,-6,,,1,,,,,,0,0,,,,,,,,,,2,,
15,175,16,1978-11-15,24-092,DEN,PHI,-6,,,10,,,,,,4,8,.500,,,,,,,,,24,,
16,176,17,1978-11-17,24-094,DEN,BOS,-2,,,7,,,,,,0,0,,,,,,,,,,14,,
17,177,18,1978-11-18,24-095,DEN,WSB,-5,,,4,,,,,,0,0,,,,,,,,,,8,,
18,178,19,1978-11-22,24-099,DEN,ATL,-2,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
19,179,20,1978-11-24,24-101,DEN,SEA,3,,,4,,,,,,4,6,.667,,,,,,,,,12,,
20,180,21,1978-11-25,24-102,DEN,SEA,-6,,,9,,,,,,4,6,.667,,,,,,,,,22,,
21,181,22,1978-11-28,24-105,DEN,MIL,-17,,,4,,,,,,2,2,1.000,,,,,,,,,10,,
22,182,23,1978-11-30,24-107,DEN,NOJ,-6,,,3,,,,,,1,2,.500,,,,,,,,,7,,
23,183,24,1978-12-01,24-108,DEN,DET,5,,,4,,,,,,0,0,,,,,,,,,,8,,
24,184,25,1978-12-02,24-109,DEN,SAS,11,,,11,,,,,,1,2,.500,,,,,,,,,23,,
25,185,26,1978-12-06,24-113,DEN,NJN,9,,,5,,,,,,2,2,1.000,,,,,,,,,12,,
26,186,27,1978-12-09,24-116,DEN,MIL,10,,,4,,,,,,0,0,,,,,,,,,,8,,
27,187,28,1978-12-12,24-119,DEN,SAS,4,,,4,,,,,,0,0,,,,,,,,,,8,,
28,188,29,1978-12-15,24-122,DEN,POR,-3,,,4,,,,,,0,0,,,,,,,,,,8,,
29,189,30,1978-12-17,24-124,DEN,POR,-13,,,4,,,,,,0,0,,,,,,,,,,8,,
30,190,31,1978-12-26,24-133,DEN,PHO,-4,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
31,191,32,1978-12-28,24-135,DEN,CHI,-4,,,5,,,,,,2,2,1.000,,,,,,,,,12,,
32,192,33,1978-12-29,24-136,DEN,CHI,-6,,,11,,,,,,4,5,.800,,,,,,,,,26,,
33,193,34,1978-12-30,24-137,DEN,ATL,-26,,,3,,,,,,3,5,.600,,,,,,,,,9,,
34,194,35,1979-01-02,24-140,DEN,KCK,2,,,7,,,,,,4,4,1.000,,,,,,,,,18,,
35,195,36,1979-01-03,24-141,DEN,KCK,-7,,,4,,,,,,5,9,.556,,,,,,,,,13,,
36,196,37,1979-01-05,24-143,DEN,SEA,3,,,2,,,,,,0,1,.000,,,,,,,,,4,,
37,197,38,1979-01-06,24-144,DEN,BOS,29,,,4,,,,,,0,0,,,,,,,,,,8,,
38,198,39,1979-01-09,24-147,DEN,WSB,31,,,7,,,,,,6,6,1.000,,,,,,,,,20,,
39,199,40,1979-01-12,24-150,DEN,NYK,7,,,1,,,,,,1,2,.500,,,,,,,,,3,,
40,200,41,1979-01-14,24-152,DEN,IND,2,,,3,,,,,,0,2,.000,,,,,,,,,6,,
41,201,42,1979-01-16,24-154,DEN,NOJ,4,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
42,202,43,1979-01-17,24-155,DEN,SAS,-18,,,7,,,,,,6,7,.857,,,,,,,,,20,,
43,203,44,1979-01-19,24-157,DEN,IND,3,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
44,204,45,1979-01-20,24-158,DEN,GSW,3,,,2,,,,,,0,0,,,,,,,,,,4,,
45,205,46,1979-01-22,24-160,DEN,DET,-4,,,3,,,,,,3,4,.750,,,,,,,,,9,,
46,206,47,1979-01-23,24-161,DEN,CLE,-1,,,3,,,,,,0,0,,,,,,,,,,6,,
47,207,48,1979-01-24,24-162,DEN,HOU,-1,,,5,,,,,,1,2,.500,,,,,,,,,11,,
48,208,49,1979-01-26,24-164,DEN,LAL,12,,,5,,,,,,0,0,,,,,,,,,,10,,
49,209,50,1979-01-28,24-166,DEN,CHI,11,,,7,,,,,,1,2,.500,,,,,,,,,15,,
50,210,51,1979-01-30,24-168,DEN,POR,-6,,,3,,,,,,0,0,,,,,,,,,,6,,
51,211,52,1979-02-02,24-171,DEN,SDC,-24,,,3,,,,,,2,3,.667,,,,,,,,,8,,
