,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,129,1,1950-10-31,29-149,ROC,WSC,8,,,5,,,,,,2,3,.667,,,,,,,,,12,,
1,130,2,1950-11-04,29-153,ROC,FTW,24,,,4,,,,,,10,10,1.000,,,,,,,,,18,,
2,131,3,1950-11-11,29-160,ROC,TRI,9,,,8,,,,,,1,1,1.000,,,,,,,,,17,,
3,132,4,1950-11-12,29-161,ROC,TRI,-3,,,6,,,,,,5,5,1.000,,,,,,,,,17,,
4,133,5,1950-11-15,29-164,ROC,FTW,-4,,,1,,,,,,5,6,.833,,,,,,,,,7,,
5,134,6,1950-11-18,29-167,ROC,MNL,-9,,,,,,,,,5,7,.714,,,,,,,,,5,,
6,135,7,1950-11-19,29-168,ROC,MNL,-13,,,2,,,,,,3,6,.500,,,,,,,,,7,,
7,136,8,1950-11-21,29-170,ROC,INO,-12,,,2,,,,,,5,7,.714,,,,,,,,,9,,
8,137,9,1950-11-23,29-172,ROC,PHW,-18,,,3,,,,,,4,4,1.000,,,,,,,,,10,,
9,138,10,1950-11-25,29-174,ROC,BOS,8,,,3,,,,,,1,4,.250,,,,,,,,,7,,
10,139,11,1950-11-28,29-177,ROC,WSC,16,,,4,,,,,,5,5,1.000,,,,,,,,,13,,
11,140,12,1950-11-29,29-178,ROC,WSC,1,,,2,,,,,,8,9,.889,,,,,,,,,12,,
12,141,13,1950-11-30,29-179,ROC,NYK,-5,,,3,,,,,,6,6,1.000,,,,,,,,,12,,
13,142,14,1950-12-02,29-181,ROC,INO,22,,,8,,,,,,2,2,1.000,,,,,,,,,18,,
14,143,15,1950-12-03,29-182,ROC,FTW,-1,,,5,,,,,,3,4,.750,,,,,,,,,13,,
15,144,16,1950-12-06,29-185,ROC,BLB,4,,,1,,,,,,3,3,1.000,,,,,,,,,5,,
16,145,17,1950-12-07,29-186,ROC,SYR,7,,,,,,,,,3,3,1.000,,,,,,,,,3,,
17,146,18,1950-12-10,29-189,ROC,PHW,15,,,5,,,,,,4,4,1.000,,,,,,,,,14,,
18,147,19,1950-12-12,29-191,ROC,BLB,15,,,6,,,,,,12,14,.857,,,,,,,,,24,,
19,148,20,1950-12-13,29-192,ROC,MNL,10,,,2,,,,,,4,4,1.000,,,,,,,,,8,,
20,149,21,1950-12-16,29-195,ROC,SYR,-4,,,3,,,,,,3,4,.750,,,,,,,,,9,,
21,150,22,1950-12-17,29-196,ROC,BOS,-13,,,3,,,,,,4,4,1.000,,,,,,,,,10,,
22,151,23,1950-12-20,29-199,ROC,WSC,18,,,6,,,,,,3,4,.750,,,,,,,,,15,,
23,152,24,1950-12-23,29-202,ROC,FTW,12,,,5,,,,,,1,1,1.000,,,,,,,,1,11,,
24,153,25,1950-12-25,29-204,ROC,BOS,13,,,10,,,,,,5,5,1.000,,,,,,,,,25,,
25,154,26,1950-12-27,29-206,ROC,FTW,6,,,1,,,,,,1,2,.500,,,,,,,,,3,,
26,155,27,1950-12-28,29-207,ROC,MNL,8,,,4,,,,,,5,8,.625,,,,,,,,,13,,
27,156,28,1950-12-30,29-209,ROC,WSC,14,,,9,,,,,,3,4,.750,,,,,,,,,21,,
28,157,29,1951-01-01,29-211,ROC,NYK,3,,,2,,,,,,5,5,1.000,,,,,,,,,9,,
29,158,30,1951-01-06,29-216,ROC,INO,-2,,,3,,,,,,,1,,,,,,,,,,6,,
30,159,31,1951-01-07,29-217,ROC,MNL,-12,,,1,,,,,,1,1,1.000,,,,,,,,,3,,
31,160,32,1951-01-09,29-219,ROC,INO,18,,,4,,,,,,2,3,.667,,,,,,,,,10,,
32,161,33,1951-01-10,29-220,ROC,BLB,2,,,2,,,,,,,,,,,,,,,,,4,,
33,162,34,1951-01-11,29-221,ROC,PHW,-3,,,1,,,,,,3,4,.750,,,,,,,,,5,,
34,163,35,1951-01-13,29-223,ROC,FTW,21,,,5,,,,,,,1,,,,,,,,,,10,,
35,164,36,1951-01-14,29-224,ROC,SYR,-29,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
36,165,37,1951-01-16,29-226,ROC,TRI,8,,,2,,,,,,4,5,.800,,,,,,,,,8,,
37,166,38,1951-01-18,29-228,ROC,SYR,9,,,3,,,,,,6,6,1.000,,,,,,,,,12,,
38,167,39,1951-01-20,29-230,ROC,PHW,-14,,,5,,,,,,,,,,,,,,,,,10,,
39,168,40,1951-01-21,29-231,ROC,NYK,-5,,,,,,,,,,,,,,,,,,,,,,
40,169,41,1951-01-23,29-233,ROC,NYK,10,,,6,,,,,,3,3,1.000,,,,,,,,,15,,
41,170,42,1951-01-27,29-237,ROC,SYR,2,,,1,,,,,,4,5,.800,,,,,,,,,6,,
42,171,43,1951-01-28,29-238,ROC,FTW,-5,,,4,,,,,,5,7,.714,,,,,,,,,13,,
43,172,44,1951-01-30,29-240,ROC,BLB,5,,,2,,,,,,,1,,,,,,,,,,4,,
44,173,45,1951-01-31,29-241,ROC,INO,-5,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
45,174,46,1951-02-03,29-244,ROC,PHW,4,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
46,175,47,1951-02-04,29-245,ROC,TRI,-3,,,7,,,,,,1,1,1.000,,,,,,,,,15,,
47,176,48,1951-02-06,29-247,ROC,INO,-2,,,2,,,,,,1,2,.500,,,,,,,,,5,,
48,177,49,1951-02-08,29-249,ROC,MNL,-11,,,,,,,,,,1,,,,,,,,,,,,
49,178,50,1951-02-10,29-251,ROC,TRI,8,,,5,,,,,,4,4,1.000,,,,,,,,,14,,
50,179,51,1951-02-11,29-252,ROC,BOS,-16,,,3,,,,,,1,1,1.000,,,,,,,,,7,,
51,180,52,1951-02-14,29-255,ROC,NYK,-16,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
52,181,53,1951-02-17,29-258,ROC,MNL,5,,,2,,,,,,3,3,1.000,,,,,,,,,7,,
53,182,54,1951-02-18,29-259,ROC,TRI,-6,,,,,,,,,,,,,,,,,,,,,,
54,183,55,1951-02-20,29-261,ROC,BLB,16,,,12,,,,,,3,3,1.000,,,,,,,,,27,,
55,184,56,1951-02-22,29-263,ROC,PHW,-8,,,3,,,,,,3,4,.750,,,,,,,,,9,,
56,185,57,1951-02-24,29-265,ROC,TRI,10,,,7,,,,,,2,2,1.000,,,,,,,,,16,,
57,186,58,1951-02-25,29-266,ROC,TRI,4,,,4,,,,,,4,6,.667,,,,,,,,,12,,
58,187,59,1951-02-27,29-268,ROC,NYK,10,,,4,,,,,,4,4,1.000,,,,,,,,,12,,
59,188,60,1951-03-03,29-272,ROC,FTW,10,,,2,,,,,,6,8,.750,,,,,,,,,10,,
60,189,61,1951-03-06,29-275,ROC,MNL,11,,,5,,,,,,4,4,1.000,,,,,,,,,14,,
61,190,62,1951-03-09,29-278,ROC,INO,7,,,8,,,,,,6,6,1.000,,,,,,,,,22,,
62,191,63,1951-03-10,29-279,ROC,SYR,21,,,5,,,,,,7,7,1.000,,,,,,,,,17,,
63,192,64,1951-03-11,29-280,ROC,INO,-7,,,5,,,,,,8,8,1.000,,,,,,,,,18,,
64,193,65,1951-03-13,29-282,ROC,BOS,4,,,1,,,,,,6,6,1.000,,,,,,,,,8,,
65,194,66,1951-03-15,29-284,ROC,BLB,-6,,,4,,,,,,7,7,1.000,,,,,,,,,15,,
66,195,67,1951-03-17,29-286,ROC,BOS,25,,,12,,,,,,5,5,1.000,,,,,,,,,29,,
67,196,68,1951-03-18,29-287,ROC,INO,12,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
