,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,143,1,2005-11-01,23-199,PHO,DAL,-3,0,23:46,3,4,.750,0,0,,1,2,.500,1,3,4,3,0,1,4,3,7,4.2,+4
1,144,2,2005-11-03,23-201,PHO,LAL,10,0,16:33,1,2,.500,0,0,,0,0,,1,1,2,5,0,0,1,2,2,3.7,+2
2,145,3,2005-11-05,23-203,PHO,UTA,9,0,27:51,6,10,.600,0,0,,2,2,1.000,0,4,4,6,0,3,2,3,14,13.7,+16
3,146,4,2005-11-06,23-204,PHO,SAC,-1,0,28:32,4,11,.364,0,0,,3,4,.750,2,7,9,11,1,3,1,3,11,16.6,+12
4,147,5,2005-11-10,23-208,PHO,DET,-7,1,25:34,4,6,.667,1,2,.500,1,1,1.000,1,3,4,6,1,0,1,3,10,12.0,+1
5,148,6,2005-11-12,23-210,PHO,GSW,15,0,30:31,2,8,.250,0,0,,4,6,.667,4,8,12,5,0,0,2,3,8,7.9,+8
6,149,7,2005-11-16,23-214,PHO,MEM,-12,0,26:14,4,8,.500,0,0,,0,0,,1,6,7,7,0,0,4,4,8,5.8,+9
7,150,8,2005-11-18,23-216,PHO,UTA,8,0,29:19,4,8,.500,1,2,.500,3,5,.600,1,5,6,5,0,1,3,4,12,9.0,+14
8,151,9,2005-11-19,23-217,PHO,SAS,-6,0,35:26,5,12,.417,0,1,.000,0,0,,0,4,4,5,0,2,1,4,10,7.1,-7
9,152,10,2005-11-22,23-220,PHO,TOR,8,0,25:05,5,7,.714,1,2,.500,0,0,,2,3,5,1,0,0,4,4,11,5.5,+13
10,153,11,2005-11-23,23-221,PHO,HOU,12,1,34:21,7,10,.700,0,0,,3,6,.500,0,10,10,6,2,2,0,5,17,20.2,+12
11,154,12,2005-11-25,23-223,PHO,NJN,11,1,37:14,3,10,.300,0,1,.000,4,6,.667,2,5,7,9,3,0,3,3,10,11.4,+11
12,155,13,2005-11-30,23-228,PHO,IND,18,1,35:02,8,10,.800,0,0,,1,1,1.000,2,6,8,6,3,1,2,5,17,20.3,+16
13,156,14,2005-12-02,23-230,PHO,DEN,5,1,41:59,6,13,.462,0,0,,3,3,1.000,1,2,3,9,1,0,2,5,15,12.9,+2
14,157,15,2005-12-04,23-232,PHO,ATL,18,1,33:53,5,6,.833,0,0,,4,5,.800,1,3,4,9,1,4,4,2,14,18.3,+21
15,158,16,2005-12-06,23-234,PHO,POR,45,1,31:18,4,9,.444,0,1,.000,0,0,,2,6,8,13,1,3,3,5,8,13.7,+32
16,159,17,2005-12-07,23-235,PHO,GSW,8,1,27:49,5,8,.625,0,0,,0,0,,2,8,10,5,0,0,2,5,10,9.7,+21
17,160,18,2005-12-09,23-237,PHO,NYK,4,1,44:12,4,10,.400,0,1,.000,2,2,1.000,2,7,9,5,0,0,4,1,10,7.2,+6
18,161,19,2005-12-10,23-238,PHO,LAC,-10,1,31:04,3,11,.273,0,2,.000,1,4,.250,1,4,5,3,0,1,3,5,7,-1.0,-6
19,162,20,2005-12-12,23-240,PHO,NOK,-4,1,26:12,3,6,.500,0,0,,2,2,1.000,0,2,2,4,0,1,1,6,8,5.7,-18
20,163,21,2005-12-14,23-242,PHO,DAL,-6,1,42:45,7,19,.368,0,0,,0,0,,2,6,8,5,0,1,2,1,14,8.5,-2
21,164,22,2005-12-16,23-244,PHO,NOK,13,1,38:42,3,9,.333,0,0,,3,4,.750,6,7,13,7,2,1,2,0,9,15.4,+7
22,165,23,2005-12-17,23-245,PHO,MEM,-4,1,35:51,5,11,.455,0,0,,1,2,.500,4,7,11,8,0,3,3,2,11,13.7,-7
23,166,24,2005-12-20,23-248,PHO,SEA,28,1,30:21,5,7,.714,0,0,,3,6,.500,3,5,8,8,1,0,1,3,13,16.9,+2
24,167,25,2005-12-23,23-251,PHO,WAS,-1,0,23:45,3,7,.429,0,0,,2,2,1.000,1,2,3,3,0,1,2,2,8,5.6,-6
25,168,26,2005-12-26,23-254,PHO,MIN,14,1,42:39,11,16,.688,0,0,,9,9,1.000,3,8,11,5,1,1,3,4,31,29.3,+18
26,169,27,2005-12-28,23-256,PHO,WAS,5,1,39:20,5,14,.357,0,0,,2,3,.667,3,5,8,6,1,2,3,4,12,9.4,+9
27,170,28,2005-12-30,23-258,PHO,CHA,10,1,34:07,5,10,.500,0,0,,1,2,.500,6,6,12,6,1,1,2,5,11,13.5,+18
28,171,29,2005-12-31,23-259,PHO,CHI,9,1,43:50,5,10,.500,0,0,,6,8,.750,3,3,6,5,3,3,4,5,16,15.8,+11
29,172,30,2006-01-02,23-261,PHO,NYK,-7,1,31:59,7,12,.583,0,1,.000,2,3,.667,0,6,6,4,1,1,2,6,16,11.9,-3
30,173,31,2006-01-04,23-263,PHO,PHI,20,1,42:42,1,7,.143,0,0,,0,0,,2,5,7,10,1,0,2,4,2,4.8,+21
31,174,32,2006-01-06,23-265,PHO,MIA,18,1,39:39,5,12,.417,0,1,.000,4,10,.400,1,6,7,6,1,2,6,5,14,6.3,+21
32,175,33,2006-01-07,23-266,PHO,SAS,5,1,33:24,6,12,.500,0,0,,6,6,1.000,1,3,4,6,1,1,1,4,18,16.9,+1
33,176,34,2006-01-10,23-269,PHO,DEN,-2,1,41:32,7,14,.500,0,1,.000,1,2,.500,1,3,4,8,1,0,2,6,15,11.4,+1
34,177,35,2006-01-12,23-271,PHO,GSW,13,1,28:22,10,14,.714,0,0,,0,1,.000,0,4,4,6,0,1,2,3,20,16.7,+17
35,178,36,2006-01-14,23-273,PHO,CLE,9,1,32:32,8,11,.727,0,0,,2,2,1.000,0,1,1,6,2,0,0,2,18,19.2,+13
36,179,37,2006-01-17,23-276,PHO,SAC,-29,1,28:38,2,8,.250,0,0,,1,2,.500,2,8,10,3,0,0,1,3,5,3.5,-21
37,180,38,2006-01-18,23-277,PHO,LAC,10,1,25:40,3,8,.375,0,0,,0,0,,0,0,0,4,0,0,2,4,6,0.8,+5
38,181,39,2006-01-20,23-279,PHO,LAL,13,1,32:00,4,8,.500,0,0,,1,2,.500,3,3,6,6,0,1,0,2,9,11.7,-3
39,182,40,2006-01-22,23-281,PHO,SEA,-3,0,43:01,6,8,.750,0,0,,2,2,1.000,1,4,5,7,0,2,2,5,14,15.0,-3
40,183,41,2006-01-24,23-283,PHO,ORL,-9,1,19:39,3,7,.429,0,0,,0,0,,4,2,6,4,0,0,0,5,6,6.5,-4
41,184,42,2006-01-26,23-285,PHO,MIA,9,1,37:54,4,13,.308,0,0,,2,2,1.000,1,5,6,3,1,1,1,2,10,6.7,-3
42,185,43,2006-01-27,23-286,PHO,ATL,4,1,41:54,11,17,.647,0,0,,3,6,.500,3,5,8,5,1,0,3,3,25,20.2,+11
43,186,44,2006-01-29,23-288,PHO,CLE,-7,1,33:51,4,6,.667,0,0,,0,0,,1,5,6,3,1,4,1,6,8,10.1,-7
44,187,45,2006-01-31,23-290,PHO,PHI,24,1,38:50,6,12,.500,0,0,,2,2,1.000,2,9,11,13,0,1,0,4,14,20.3,+14
45,188,46,2006-02-01,23-291,PHO,BOS,8,1,31:55,2,10,.200,0,0,,1,2,.500,3,2,5,3,1,0,4,2,5,-0.6,+1
46,189,47,2006-02-04,23-294,PHO,CHI,17,1,41:45,5,10,.500,0,0,,1,1,1.000,2,10,12,7,1,1,4,1,11,12.6,+24
47,190,48,2006-02-06,23-296,PHO,MIN,-2,1,34:54,6,10,.600,1,1,1.000,1,1,1.000,3,0,3,4,2,0,4,5,14,10.3,-4
48,191,49,2006-02-08,23-298,PHO,MEM,6,1,46:43,7,13,.538,0,1,.000,4,4,1.000,4,4,8,5,0,3,4,2,18,16.5,+6
49,192,50,2006-02-10,23-300,PHO,SAC,8,1,36:14,6,16,.375,0,1,.000,3,3,1.000,1,5,6,3,1,0,2,5,15,7.5,+10
50,193,51,2006-02-15,23-305,PHO,DEN,15,1,35:15,8,17,.471,1,2,.500,0,0,,6,4,10,3,2,0,5,3,17,11.6,+21
51,194,52,2006-02-16,23-306,PHO,HOU,34,1,39:08,6,10,.600,1,2,.500,1,2,.500,1,4,5,8,0,2,2,2,14,15.1,+19
52,195,53,2006-02-22,23-312,PHO,BOS,9,1,46:24,6,11,.545,0,0,,9,10,.900,1,8,9,6,1,3,1,2,21,23.9,+4
53,196,54,2006-02-25,23-315,PHO,CHA,15,1,38:28,5,9,.556,0,0,,10,10,1.000,8,3,11,5,0,2,0,4,20,25.5,+17
54,197,55,2006-02-27,23-317,PHO,HOU,17,1,31:59,7,12,.583,1,2,.500,1,2,.500,1,6,7,5,1,2,3,4,16,13.8,+20
55,198,56,2006-03-01,23-319,PHO,MIL,13,1,28:48,8,8,1.000,0,0,,0,1,.000,1,5,6,4,0,0,4,6,16,11.8,+3
56,199,57,2006-03-03,23-321,PHO,ORL,5,1,38:59,8,13,.615,1,2,.500,1,2,.500,6,3,9,11,2,1,1,1,18,25.8,+8
57,200,58,2006-03-05,23-323,PHO,DAL,8,1,42:29,9,15,.600,0,0,,6,7,.857,2,8,10,10,0,0,0,3,24,26.3,+16
58,201,59,2006-03-06,23-324,PHO,NOK,13,1,42:29,8,13,.615,0,0,,4,4,1.000,4,8,12,6,2,2,4,2,20,22.1,+20
59,202,60,2006-03-09,23-327,PHO,SAS,-24,1,44:30,8,14,.571,0,0,,0,0,,1,8,9,9,0,0,5,2,16,13.0,-23
60,203,61,2006-03-11,23-329,PHO,MIN,8,1,35:23,8,12,.667,0,0,,2,4,.500,3,5,8,3,0,1,5,5,18,11.4,+12
61,204,62,2006-03-12,23-330,PHO,POR,-10,1,42:06,10,17,.588,0,1,.000,0,0,,1,2,3,4,0,1,2,3,20,13.7,-5
62,205,63,2006-03-14,23-332,PHO,SEA,9,1,42:20,7,14,.500,0,0,,2,3,.667,2,7,9,7,0,0,3,1,16,13.6,+2
63,206,64,2006-03-15,23-333,PHO,LAC,31,1,37:01,8,14,.571,0,0,,1,1,1.000,0,6,6,5,0,0,4,0,17,11.7,+24
64,207,65,2006-03-17,23-335,PHO,SAS,-6,1,41:06,5,8,.625,0,0,,5,8,.625,1,2,3,7,0,2,1,4,15,15.2,0
65,208,66,2006-03-21,23-339,PHO,UTA,-8,1,41:22,8,14,.571,0,1,.000,0,0,,3,4,7,5,2,2,0,1,16,19.2,-1
66,209,67,2006-03-23,23-341,PHO,POR,17,1,38:36,2,4,.500,0,0,,0,0,,1,4,5,6,0,1,1,3,4,6.6,+17
67,210,68,2006-03-25,23-343,PHO,DEN,11,1,42:23,4,7,.571,0,0,,5,6,.833,1,7,8,13,1,1,4,2,13,18.1,+10
68,211,69,2006-03-27,23-345,PHO,NJN,-38,1,30:14,4,14,.286,0,1,.000,0,0,,3,1,4,6,1,0,2,2,8,4.6,-31
69,212,70,2006-03-28,23-346,PHO,MIL,-22,1,39:15,2,10,.200,0,1,.000,4,4,1.000,0,3,3,9,2,1,0,4,8,10.1,-9
70,213,71,2006-03-30,23-348,PHO,IND,10,1,34:05,4,7,.571,0,0,,2,2,1.000,0,6,6,5,0,2,2,2,10,10.6,+11
71,214,72,2006-03-31,23-349,PHO,TOR,14,1,38:10,9,14,.643,0,0,,8,10,.800,5,3,8,9,2,1,1,4,26,29.8,+15
72,215,73,2006-04-02,23-351,PHO,DET,-7,1,33:25,6,9,.667,0,0,,4,8,.500,2,3,5,5,1,0,6,3,16,10.1,-1
73,216,74,2006-04-05,23-354,PHO,LAC,-14,1,39:24,12,15,.800,0,0,,0,1,.000,2,4,6,7,0,0,0,3,24,24.2,-7
74,217,75,2006-04-07,23-356,PHO,LAL,11,1,41:43,6,11,.545,0,0,,0,0,,3,9,12,3,0,1,4,3,12,9.1,+9
75,218,76,2006-04-09,23-358,PHO,SEA,-2,1,40:31,8,13,.615,0,0,,6,8,.750,2,10,12,6,0,2,4,0,22,21.3,-1
76,219,77,2006-04-11,23-360,PHO,SAC,13,1,35:47,5,8,.625,0,0,,2,2,1.000,0,5,5,5,1,0,5,5,12,7.4,-4
77,220,78,2006-04-13,23-362,PHO,DAL,13,1,39:08,7,15,.467,0,0,,2,3,.667,3,5,8,6,0,2,1,1,16,15.7,+14
78,221,79,2006-04-14,23-363,PHO,GSW,-8,1,42:47,5,12,.417,0,0,,1,1,1.000,2,9,11,16,2,3,5,4,11,17.4,0
79,222,80,2006-04-16,24-000,PHO,LAL,-20,1,41:36,5,9,.556,0,0,,1,2,.500,2,8,10,12,1,0,2,1,11,17.1,-10
80,223,81,2006-04-17,24-001,PHO,NOK,37,1,22:40,3,4,.750,0,0,,0,1,.000,0,3,3,5,0,0,0,0,6,8.4,+24
