,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,279,1,1990-11-02,25-014,CLE,BOS,-24,1,30:00,5,16,.313,0,0,,4,5,.800,3,6,9,3,0,0,2,3,14,7.2,
1,280,2,1990-11-03,25-015,CLE,DET,-9,1,41:00,13,25,.520,0,0,,9,10,.900,0,5,5,1,0,0,1,1,35,23.1,
2,281,3,1990-11-06,25-018,CLE,ORL,7,1,36:00,6,14,.429,0,0,,4,6,.667,1,11,12,7,1,2,0,3,16,17.9,
3,282,4,1990-11-07,25-019,CLE,CHH,11,1,31:00,6,9,.667,0,0,,9,14,.643,0,9,9,2,2,0,3,2,21,17.4,
4,283,5,1990-11-09,25-021,CLE,IND,-15,1,35:00,4,12,.333,0,0,,2,4,.500,1,5,6,1,2,0,4,4,10,1.7,
5,284,6,1990-11-10,25-022,CLE,PHI,16,1,36:00,8,13,.615,0,0,,5,6,.833,3,5,8,2,1,0,1,2,21,18.9,
6,285,7,1990-11-13,25-025,CLE,ATL,17,1,40:00,9,15,.600,0,0,,3,6,.500,2,9,11,5,0,0,1,4,21,17.9,
7,286,8,1990-11-14,25-026,CLE,IND,18,1,29:00,7,10,.700,0,0,,1,5,.200,2,3,5,0,0,1,2,3,15,9.0,
8,287,9,1990-11-16,25-028,CLE,MIL,5,1,40:00,3,9,.333,0,0,,9,10,.900,3,14,17,4,2,1,2,3,15,18.1,
9,288,10,1990-11-17,25-029,CLE,CHH,-12,1,40:00,8,14,.571,0,0,,4,6,.667,1,11,12,2,1,1,3,4,20,15.1,
10,289,11,1990-11-21,25-033,CLE,MIA,14,1,24:00,3,8,.375,0,0,,9,10,.900,1,4,5,3,2,1,0,4,15,15.3,
11,290,12,1990-11-23,25-035,CLE,PHI,-6,1,41:00,6,14,.429,0,0,,4,6,.667,4,9,13,1,2,1,3,2,16,12.9,
