,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2005-11-01,20-185,NOK,SAC,26,0,4:26,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,2,0.6,0
1,2,2,2005-11-02,20-186,NOK,CLE,-22,0,6:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-3
2,3,3,2005-11-18,20-202,NOK,ATL,3,0,16:00,3,4,.750,0,0,,0,0,,0,0,0,0,0,0,1,1,6,3.0,-11
3,4,4,2005-11-19,20-203,NOK,ORL,3,0,13:55,1,5,.200,0,0,,0,0,,2,2,4,0,0,1,1,0,2,0.6,-4
4,5,5,2005-11-21,20-205,NOK,PHI,-12,0,11:40,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,1,2,1.6,-1
5,6,6,2005-11-23,20-207,NOK,MIN,4,0,6:00,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,0,1,0,-0.1,-3
6,7,7,2005-11-26,20-210,NOK,SEA,6,0,20:54,1,5,.200,0,0,,1,2,.500,3,3,6,1,0,0,0,1,3,2.8,+3
7,8,8,2005-11-28,20-212,NOK,GSW,-16,0,21:55,2,2,1.000,0,0,,0,0,,1,4,5,0,1,0,2,2,4,3.5,-7
8,9,9,2005-11-30,20-214,NOK,DEN,7,0,3:24,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1.5,0
9,10,10,2005-12-06,20-220,NOK,MEM,-16,0,5:49,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,4,4.1,-3
10,11,11,2005-12-07,20-221,NOK,BOS,-14,0,1:47,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2
11,12,12,2006-01-04,20-249,NOK,MIA,15,0,0:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
12,13,13,2006-01-13,20-258,NOK,SAC,14,0,5:09,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,0
13,14,14,2006-01-16,20-261,NOK,CHA,15,0,1:51,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-3
14,15,15,2006-01-23,20-268,NOK,BOS,-13,0,5:57,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+5
15,16,16,2006-01-25,20-270,NOK,SAS,-16,0,4:20,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,4,4.0,+8
16,17,17,2006-02-21,20-297,NOK,IND,-22,0,6:21,0,0,,0,0,,0,0,,0,3,3,0,0,1,1,0,0,0.6,-4
17,18,18,2006-03-01,20-305,NOK,LAC,-22,0,3:08,0,0,,0,0,,2,4,.500,0,1,1,0,0,1,0,0,2,2.2,+1
18,19,19,2006-03-14,20-318,NOK,SAS,-15,0,2:01,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-6
19,20,20,2006-03-29,20-333,NOK,GSW,1,0,11:48,0,3,.000,0,0,,1,2,.500,3,3,6,1,0,1,1,0,1,1.9,+6
20,21,21,2006-03-31,20-335,NOK,MEM,5,0,11:24,2,5,.400,0,0,,0,0,,1,1,2,0,0,1,1,3,4,0.8,+1
21,22,22,2006-04-02,20-337,NOK,TOR,7,0,10:26,1,4,.250,0,0,,2,2,1.000,2,5,7,0,0,0,0,1,4,4.1,-2
22,23,23,2006-04-04,20-339,NOK,DET,-8,0,9:06,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-7
23,24,24,2006-04-05,20-340,NOK,GSW,5,0,6:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+2
24,25,25,2006-04-12,20-347,NOK,SEA,5,0,23:04,4,7,.571,0,0,,1,2,.500,2,2,4,0,1,0,1,1,9,6.9,+6
25,26,26,2006-04-14,20-349,NOK,UTA,-1,0,3:20,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,0,0,0.9,+4
26,27,27,2006-04-16,20-351,NOK,SAC,-17,0,20:25,3,9,.333,0,0,,2,3,.667,0,7,7,0,1,2,0,2,8,6.2,-5
27,28,28,2006-04-17,20-352,NOK,PHO,-37,1,14:11,2,6,.333,0,0,,0,0,,1,2,3,0,0,0,1,1,4,0.5,-18
28,29,29,2006-04-19,20-354,NOK,LAL,-20,0,17:19,2,5,.400,0,0,,1,2,.500,0,3,3,0,0,0,0,1,5,2.4,-10
