,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,24,2,2017-10-21,22-030,TOR,PHI,34,0,6:07,0,2,.000,0,2,.000,0,0,,0,1,1,1,1,0,0,1,0,0.2,+8
1,25,6,2017-10-30,22-039,TOR,POR,14,0,0:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
2,26,61,2018-02-26,22-158,SAC,MIN,-18,0,18:31,2,7,.286,0,3,.000,0,0,,2,1,3,1,1,0,1,3,4,1.1,-7
3,27,65,2018-03-04,22-164,SAC,NYK,3,0,8:20,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,1,0,1,0,-0.5,-2
4,28,66,2018-03-07,22-167,SAC,NOP,-13,0,6:16,1,3,.333,0,1,.000,0,0,,2,0,2,0,0,0,0,0,2,1.7,+4
5,29,68,2018-03-11,22-171,SAC,DEN,-26,0,13:07,1,3,.333,0,2,.000,3,4,.750,1,2,3,2,1,0,0,2,5,5.8,+1
6,30,73,2018-03-19,22-179,SAC,DET,-16,0,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
7,31,74,2018-03-22,22-182,SAC,ATL,15,0,12:56,2,5,.400,1,3,.333,0,0,,1,3,4,0,0,1,0,1,5,4.2,+13
8,32,76,2018-03-27,22-187,SAC,DAL,-6,0,12:00,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,1,1,0,3,2.7,-1
9,33,78,2018-03-31,22-191,SAC,GSW,-16,0,15:07,2,6,.333,1,3,.333,2,2,1.000,1,2,3,0,0,1,2,0,7,3.6,-2
10,34,80,2018-04-03,22-194,SAC,PHO,-3,0,4:37,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1
11,35,82,2018-04-09,22-200,SAC,SAS,-13,0,7:47,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,-3
