,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,83,1,2017-10-18,23-305,SAC,HOU,-5,1,32:49,8,17,.471,3,7,.429,0,0,,1,4,5,4,1,0,2,5,19,12.0,+3
1,84,2,2017-10-20,23-307,SAC,DAL,5,1,27:28,4,11,.364,1,6,.167,4,4,1.000,1,5,6,3,0,0,1,1,13,9.8,+7
2,85,3,2017-10-21,23-308,SAC,DEN,-17,1,22:16,1,10,.100,0,4,.000,1,1,1.000,0,3,3,3,0,0,0,2,3,-1.4,-10
3,86,4,2017-10-23,23-310,SAC,PHO,-2,1,16:46,6,15,.400,1,4,.250,1,2,.500,1,1,2,0,5,0,1,3,14,9.3,-18
4,87,5,2017-10-26,23-313,SAC,NOP,-8,1,19:32,5,9,.556,1,3,.333,1,1,1.000,1,2,3,0,0,0,2,2,12,6.2,-1
5,88,6,2017-10-29,23-316,SAC,WAS,-27,1,26:49,3,11,.273,1,4,.250,0,0,,2,1,3,1,0,0,1,2,7,1.1,-24
6,89,7,2017-10-31,23-318,SAC,IND,-18,1,19:18,2,9,.222,0,3,.000,0,0,,1,1,2,0,1,0,2,1,4,-1.9,-20
7,90,8,2017-11-01,23-319,SAC,BOS,-27,0,26:45,7,11,.636,2,4,.500,1,1,1.000,0,7,7,2,3,0,5,4,17,12.0,-18
8,91,9,2017-11-04,23-322,SAC,DET,-9,0,21:09,5,11,.455,1,3,.333,2,2,1.000,1,7,8,0,0,1,1,2,13,9.0,+2
9,92,10,2017-11-07,23-325,SAC,OKC,8,0,27:37,7,9,.778,4,4,1.000,3,3,1.000,0,7,7,1,2,0,3,3,21,18.1,+5
10,93,11,2017-11-09,23-327,SAC,PHI,1,0,20:27,3,10,.300,2,4,.500,0,0,,0,4,4,4,1,0,0,0,8,7.2,+4
11,94,12,2017-11-11,23-329,SAC,NYK,-27,0,27:07,6,13,.462,4,5,.800,1,2,.500,2,5,7,4,0,0,1,1,17,14.2,-10
12,95,13,2017-11-13,23-331,SAC,WAS,-18,0,26:01,5,11,.455,2,5,.400,0,0,,1,2,3,3,3,0,2,2,12,9.9,-10
13,96,14,2017-11-15,23-333,SAC,ATL,-46,0,20:35,2,8,.250,1,4,.250,1,2,.500,1,1,2,2,2,1,1,4,6,3.3,-28
14,97,15,2017-11-17,23-335,SAC,POR,4,0,16:33,3,5,.600,2,3,.667,0,0,,0,1,1,0,1,0,2,2,8,4.2,+12
15,98,18,2017-11-22,23-340,SAC,LAL,11,0,15:00,4,7,.571,1,3,.333,1,1,1.000,0,1,1,0,1,0,0,1,10,7.6,+14
16,99,19,2017-11-25,23-343,SAC,LAC,-2,0,25:58,10,18,.556,7,9,.778,0,0,,2,3,5,2,0,1,1,0,27,21.8,-4
17,100,20,2017-11-27,23-345,SAC,GSW,4,0,15:10,2,5,.400,1,2,.500,0,0,,0,1,1,0,0,0,0,0,5,2.6,-8
18,101,21,2017-11-28,23-346,SAC,MIL,-25,0,21:19,5,10,.500,1,2,.500,2,2,1.000,0,2,2,0,1,0,1,1,13,8.2,0
19,102,22,2017-12-01,23-349,SAC,CHI,1,0,7:27,0,2,.000,0,0,,0,0,,0,0,0,0,1,0,1,0,0,-1.4,-6
20,103,23,2017-12-02,23-350,SAC,MIL,-5,0,29:48,6,12,.500,4,6,.667,3,3,1.000,1,5,6,4,1,0,1,3,19,16.8,+11
21,104,24,2017-12-06,23-354,SAC,CLE,-6,0,25:43,7,13,.538,2,6,.333,1,1,1.000,0,4,4,3,3,1,3,3,17,13.5,-3
22,105,25,2017-12-08,23-356,SAC,NOP,7,0,33:21,7,12,.583,4,5,.800,0,0,,0,7,7,2,1,0,3,2,18,13.1,+21
23,106,26,2017-12-10,23-358,SAC,TOR,-15,0,28:05,7,13,.538,3,5,.600,0,0,,0,3,3,2,1,0,6,0,17,8.0,-3
24,107,27,2017-12-12,23-360,SAC,PHO,7,0,25:07,6,14,.429,2,5,.400,0,0,,0,2,2,0,0,0,0,1,14,6.8,+5
25,108,28,2017-12-14,23-362,SAC,MIN,-23,0,21:40,4,9,.444,2,7,.286,0,0,,2,1,3,0,0,0,1,1,10,5.6,+6
26,109,29,2017-12-17,24-000,SAC,TOR,-15,0,17:09,3,8,.375,1,2,.500,0,0,,1,1,2,1,1,0,3,1,7,1.9,-10
