,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,115,1,1949-11-01,27-004,NYK,CHS,2,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
1,116,2,1949-11-02,27-005,NYK,WAT,8,,,,,,,,,1,1,1.000,,,,,,,,,1,,
2,117,3,1949-11-03,27-006,NYK,FTW,-15,,,,,,,,,7,7,1.000,,,,,,,,,7,,
3,118,4,1949-11-05,27-008,NYK,TRI,4,,,2,,,,,,7,11,.636,,,,,,,,,11,,
4,119,5,1949-11-06,27-009,NYK,SHE,-6,,,1,,,,,,2,3,.667,,,,,,,,,4,,
5,120,6,1949-11-08,27-011,NYK,INO,15,,,1,,,,,,2,3,.667,,,,,,,,,4,,
6,121,7,1949-11-10,27-013,NYK,INO,-4,,,,,,,,,,1,,,,,,,,,,,,
7,122,8,1949-11-13,27-016,NYK,SYR,-14,,,,,,,,,2,3,.667,,,,,,,,,2,,
8,123,9,1949-11-15,27-018,NYK,SYR,-3,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
9,124,10,1949-11-18,27-021,NYK,DNN,7,,,2,,,,,,1,5,.200,,,,,,,,,5,,
10,125,11,1949-11-19,27-022,NYK,PHW,16,,,6,,,,,,2,2,1.000,,,,,,,,,14,,
11,126,12,1949-11-22,27-025,NYK,WSC,15,,,3,,,,,,3,3,1.000,,,,,,,,,9,,
12,127,13,1949-11-23,27-026,NYK,WSC,20,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
13,128,14,1949-11-24,27-027,NYK,PHW,5,,,3,,,,,,1,1,1.000,,,,,,,,,7,,
14,129,15,1949-11-27,27-030,NYK,FTW,5,,,,,,,,,2,2,1.000,,,,,,,,,2,,
15,130,16,1949-11-30,27-033,NYK,MNL,-10,,,1,,,,,,3,6,.500,,,,,,,,,5,,
16,131,17,1949-12-01,27-034,NYK,STB,17,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
17,132,18,1949-12-03,27-036,NYK,BLB,30,,,3,,,,,,3,5,.600,,,,,,,,,9,,
18,133,19,1949-12-08,27-041,NYK,BLB,22,,,,,,,,,4,4,1.000,,,,,,,,,4,,
19,134,20,1949-12-10,27-043,NYK,CHS,2,,,,,,,,,1,1,1.000,,,,,,,,,1,,
20,135,21,1949-12-14,27-047,NYK,MNL,10,,,,,,,,,,,,,,,,,,,,,,
21,136,22,1949-12-17,27-050,NYK,STB,5,,,,,,,,,1,1,1.000,,,,,,,,,1,,
22,137,23,1949-12-19,27-052,NYK,AND,3,,,,,,,,,,1,,,,,,,,,,,,
23,138,24,1949-12-20,27-053,NYK,CHS,-2,,,,,,,,,1,1,1.000,,,,,,,,,1,,
24,139,25,1949-12-21,27-054,NYK,STB,-23,,,,,,,,,2,3,.667,,,,,,,,,2,,
25,140,26,1949-12-23,27-056,NYK,DNN,11,,,,,,,,,3,4,.750,,,,,,,,,3,,
