,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,72,1,1988-04-29,27-032,LAL,SAS,12,1,34:00,7,12,.583,2,2,1.000,3,3,1.000,3,1,4,3,5,0,3,4,19,18.3,
1,73,2,1988-05-01,27-034,LAL,SAS,18,1,17:00,3,4,.750,0,1,.000,3,4,.750,0,3,3,2,1,0,3,5,9,5.3,
2,74,3,1988-05-03,27-036,LAL,SAS,2,1,32:00,4,11,.364,0,0,,1,1,1.000,1,2,3,1,0,0,6,3,9,-2.3,
3,75,4,1988-05-08,27-041,LAL,UTA,19,1,33:00,8,16,.500,0,2,.000,2,2,1.000,3,1,4,3,0,0,3,0,18,11.5,
4,76,5,1988-05-10,27-043,LAL,UTA,-4,1,37:00,10,21,.476,3,6,.500,3,4,.750,0,4,4,1,0,0,1,4,26,14.2,
5,77,6,1988-05-13,27-046,LAL,UTA,-7,1,38:00,14,23,.609,1,3,.333,0,0,,3,3,6,2,1,0,2,3,29,20.7,
6,78,7,1988-05-15,27-048,LAL,UTA,13,1,38:00,7,19,.368,1,5,.200,5,6,.833,0,3,3,2,4,0,2,2,20,12.6,
7,79,8,1988-05-17,27-050,LAL,UTA,2,1,41:00,10,21,.476,3,4,.750,1,2,.500,0,6,6,4,1,0,2,4,24,14.9,
8,80,9,1988-05-19,27-052,LAL,UTA,-28,1,34:00,5,16,.313,2,2,1.000,4,4,1.000,1,3,4,1,0,1,1,3,16,7.6,
9,81,10,1988-05-21,27-054,LAL,UTA,11,1,40:00,12,19,.632,1,5,.200,4,5,.800,0,5,5,0,3,0,1,4,29,22.0,
10,82,11,1988-05-23,27-056,LAL,DAL,15,1,42:00,7,14,.500,2,3,.667,7,8,.875,1,1,2,7,4,0,0,1,23,25.1,
11,83,12,1988-05-25,27-058,LAL,DAL,22,1,43:00,11,17,.647,1,3,.333,7,7,1.000,0,1,1,5,4,0,1,3,30,28.1,
12,84,13,1988-05-27,27-060,LAL,DAL,-12,1,39:00,4,13,.308,0,1,.000,3,3,1.000,0,3,3,4,2,0,1,0,11,8.2,
13,85,14,1988-05-29,27-062,LAL,DAL,-14,1,32:00,4,7,.571,0,1,.000,2,2,1.000,3,3,6,1,1,1,1,4,10,9.5,
14,86,15,1988-05-31,27-064,LAL,DAL,17,1,41:00,7,12,.583,1,1,1.000,2,2,1.000,0,6,6,1,0,0,3,1,17,10.5,
15,87,16,1988-06-02,27-066,LAL,DAL,-2,1,37:00,9,14,.643,0,2,.000,9,9,1.000,3,3,6,3,0,0,0,3,27,24.7,
16,88,17,1988-06-04,27-068,LAL,DAL,15,1,38:00,6,13,.462,2,3,.667,7,7,1.000,0,0,0,5,1,0,1,1,21,17.4,
17,89,18,1988-06-07,27-071,LAL,DET,-12,1,46:00,10,24,.417,0,2,.000,5,6,.833,4,2,6,3,1,0,3,5,25,13.3,
18,90,19,1988-06-09,27-073,LAL,DET,12,1,44:00,8,14,.571,2,3,.667,6,8,.750,0,6,6,3,1,0,0,3,24,20.3,
19,91,20,1988-06-12,27-076,LAL,DET,13,1,38:00,6,13,.462,1,1,1.000,5,5,1.000,0,2,2,1,0,0,1,3,18,10.4,
20,92,21,1988-06-14,27-078,LAL,DET,-25,1,37:00,6,14,.429,0,1,.000,1,1,1.000,0,5,5,2,0,2,5,4,13,3.3,
21,93,22,1988-06-16,27-080,LAL,DET,-10,1,44:00,6,16,.375,1,1,1.000,2,5,.400,2,3,5,2,3,0,2,3,15,8.5,
22,94,23,1988-06-19,27-083,LAL,DET,1,1,35:00,7,12,.583,0,0,,2,4,.500,2,5,7,3,1,1,1,1,16,14.9,
23,95,24,1988-06-21,27-085,LAL,DET,3,1,37:00,7,12,.583,1,3,.333,6,6,1.000,0,3,3,0,1,0,0,2,21,16.5,
