,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,714,1,1982-10-29,32-086,HOU,SEA,-33,1,24:00,5,9,.556,0,0,,0,0,,2,4,6,0,,,3,3,10,,
1,715,2,1982-10-30,32-087,HOU,GSW,-7,1,37:00,7,13,.538,0,,,0,4,.000,,,11,0,,3,,4,14,,
2,716,3,1982-11-02,32-090,HOU,DAL,-10,1,42:00,9,12,.750,0,0,,3,3,1.000,4,7,11,2,0,1,5,2,21,17.4,
3,717,4,1982-11-03,32-091,HOU,DAL,-1,1,37:00,2,10,.200,0,0,,0,2,.000,5,5,10,6,0,3,3,3,4,4.1,
4,718,5,1982-11-09,32-097,HOU,PHO,-28,1,30:00,5,10,.500,0,0,,0,0,,5,5,10,1,0,1,1,2,10,9.6,
5,719,6,1982-11-11,32-099,HOU,POR,-21,1,37:00,1,5,.200,0,0,,3,4,.750,0,7,7,2,0,2,2,4,5,2.8,
6,720,7,1982-11-12,32-100,HOU,LAL,-31,1,30:00,3,8,.375,0,0,,2,2,1.000,,,10,3,,,,4,8,,
7,721,8,1982-11-14,32-102,HOU,SEA,-3,1,32:00,5,7,.714,0,0,,4,4,1.000,4,5,9,4,0,1,1,4,14,16.3,
8,722,9,1982-11-16,32-104,HOU,NYK,-27,1,27:00,0,3,.000,0,0,,3,4,.750,1,9,10,1,0,0,1,4,3,2.0,
9,723,10,1982-11-17,32-105,HOU,BOS,-18,1,29:00,5,11,.455,0,0,,0,0,,3,5,8,0,0,2,2,4,10,5.7,
10,724,11,1982-11-19,32-107,HOU,IND,11,1,32:00,1,6,.167,0,0,,0,0,,,,4,2,,2,,3,2,,
11,725,12,1982-11-23,32-111,HOU,DET,-22,1,34:00,4,12,.333,0,0,,2,2,1.000,6,6,12,2,0,0,0,5,10,8.6,
12,726,13,1982-11-25,32-113,HOU,KCK,-9,1,23:00,2,5,.400,0,0,,4,4,1.000,4,1,5,0,0,1,1,2,8,7.3,
13,727,14,1982-11-27,32-115,HOU,CHI,9,1,27:00,3,8,.375,0,0,,4,5,.800,,,11,2,,,,5,10,,
14,728,15,1982-12-01,32-119,HOU,LAL,-11,1,34:00,4,8,.500,0,0,,4,4,1.000,4,8,12,1,0,0,1,5,12,10.9,
15,729,16,1982-12-03,32-121,HOU,SAS,-10,1,,1,6,.167,0,,,0,0,,,,,,,,,,2,,
16,730,17,1982-12-04,32-122,HOU,SAS,1,1,,2,4,.500,0,,,0,0,,,,,,,,,,4,,
17,731,18,1982-12-07,32-125,HOU,SEA,-19,1,29:00,7,11,.636,0,0,,3,4,.750,6,9,15,2,0,1,0,5,17,18.7,
18,732,19,1982-12-08,32-126,HOU,UTA,-8,1,24:00,2,8,.250,0,0,,3,4,.750,1,3,4,0,1,1,2,1,7,2.7,
19,733,20,1982-12-10,32-128,HOU,PHO,-14,1,27:00,2,7,.286,0,0,,0,0,,,,3,1,1,0,1,5,4,,
20,734,21,1982-12-11,32-129,HOU,UTA,-7,1,,6,10,.600,0,,,7,10,.700,,,11,,,,,,19,,
21,735,22,1982-12-14,32-132,HOU,SAS,-9,1,35:00,5,8,.625,0,0,,3,4,.750,0,5,5,1,0,2,3,3,13,8.4,
22,736,23,1982-12-17,32-135,HOU,IND,7,1,37:00,6,11,.545,0,,,1,1,1.000,,,7,3,,,,4,13,,
23,737,24,1982-12-18,32-136,HOU,UTA,-19,1,,2,3,.667,0,,,1,2,.500,,,,,,,,,5,,
24,738,25,1982-12-21,32-139,HOU,GSW,-7,1,23:00,3,9,.333,0,0,,0,0,,3,2,5,0,1,0,1,1,6,3.2,
25,739,26,1982-12-23,32-141,HOU,POR,-6,1,12:00,2,2,1.000,0,0,,0,0,,1,3,4,1,0,1,2,5,4,2.4,
26,740,27,1982-12-26,32-144,HOU,LAL,-2,1,33:00,3,6,.500,0,0,,2,2,1.000,2,6,8,0,0,1,6,5,8,0.9,
27,741,28,1982-12-28,32-146,HOU,PHI,-11,1,30:00,2,3,.667,0,0,,4,4,1.000,1,3,4,1,1,2,4,1,8,7.0,
28,742,29,1982-12-30,32-148,HOU,SDC,-15,1,,4,7,.571,0,,,6,6,1.000,,,,,,,,,14,,
29,743,30,1983-01-02,32-151,HOU,MIL,-21,1,24:00,2,5,.400,0,0,,0,0,,2,0,2,0,0,0,1,0,4,1.7,
