,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,636,1,2012-10-31,30-346,CHI,SAC,6,1,33:25,8,13,.615,0,0,,2,5,.400,1,7,8,2,1,1,3,3,18,12.6,+5
1,637,2,2012-11-02,30-348,CHI,CLE,29,1,27:13,7,11,.636,0,0,,5,7,.714,1,6,7,6,1,0,3,2,19,17.2,+18
2,638,3,2012-11-03,30-349,CHI,NOH,-7,1,25:48,1,8,.125,0,0,,2,2,1.000,2,5,7,2,0,0,2,2,4,0.3,-2
3,639,4,2012-11-06,30-352,CHI,ORL,6,1,28:29,6,18,.333,0,0,,0,0,,2,6,8,3,1,0,1,3,12,5.9,+1
4,640,5,2012-11-08,30-354,CHI,OKC,-6,1,30:26,3,9,.333,0,0,,3,4,.750,2,9,11,2,0,0,5,4,9,2.4,+4
5,641,6,2012-11-10,30-356,CHI,MIN,7,1,26:39,0,5,.000,0,0,,2,2,1.000,1,8,9,4,3,0,1,4,2,4.8,+5
6,642,7,2012-11-12,30-358,CHI,BOS,-6,1,27:01,7,14,.500,0,0,,1,3,.333,0,4,4,1,1,0,1,2,15,8.3,-17
7,643,8,2012-11-14,30-360,CHI,PHO,6,1,39:35,11,20,.550,0,0,,6,6,1.000,4,10,14,3,1,0,1,3,28,25.1,+11
8,644,9,2012-11-17,30-363,CHI,LAC,-21,1,32:14,10,19,.526,0,0,,2,2,1.000,3,9,12,0,1,1,1,3,22,17.0,-10
9,645,10,2012-11-18,30-364,CHI,POR,-8,1,22:25,2,8,.250,0,0,,0,0,,0,3,3,0,0,0,1,2,4,-1.7,-3
10,646,11,2012-11-21,31-001,CHI,HOU,-4,1,25:25,6,14,.429,0,0,,1,2,.500,3,12,15,0,1,1,1,3,13,10.4,-5
11,647,12,2012-11-24,31-004,CHI,MIL,7,1,35:51,10,15,.667,0,0,,2,2,1.000,8,11,19,1,0,1,3,4,22,21.2,+3
12,648,13,2012-11-26,31-006,CHI,MIL,-1,1,39:27,9,19,.474,0,0,,1,2,.500,4,7,11,2,1,0,3,5,19,11.2,-7
13,649,14,2012-11-28,31-008,CHI,DAL,23,1,18:09,3,7,.429,0,0,,0,0,,1,5,6,0,0,1,2,3,6,2.0,-11
14,650,15,2012-12-01,31-011,CHI,PHI,5,1,32:47,5,14,.357,0,0,,2,4,.500,3,9,12,3,0,1,2,2,12,8.2,-8
15,651,16,2012-12-04,31-014,CHI,IND,-4,1,27:29,7,13,.538,0,0,,0,1,.000,2,8,10,2,0,0,2,4,14,8.9,-13
16,652,17,2012-12-05,31-015,CHI,CLE,10,1,32:07,4,9,.444,0,0,,2,4,.500,2,10,12,4,0,1,2,3,10,9.2,0
17,653,18,2012-12-07,31-017,CHI,DET,4,1,38:57,12,19,.632,0,0,,0,0,,0,6,6,2,2,0,1,2,24,18.9,+10
18,654,19,2012-12-08,31-018,CHI,NYK,8,1,21:51,5,11,.455,0,0,,2,2,1.000,3,7,10,0,1,0,3,4,12,6.9,-2
19,655,20,2012-12-11,31-021,CHI,LAC,-5,1,40:04,11,20,.550,0,0,,2,4,.500,5,8,13,3,1,1,3,2,24,19.5,-6
20,656,21,2012-12-12,31-022,CHI,PHI,7,1,25:44,1,6,.167,0,0,,3,4,.750,1,5,6,2,0,0,2,2,5,1.6,-12
21,657,22,2012-12-15,31-025,CHI,BRK,1,1,30:56,7,14,.500,0,0,,1,1,1.000,1,5,6,2,1,1,2,3,15,10.1,-1
22,658,23,2012-12-17,31-027,CHI,MEM,-9,1,33:34,7,17,.412,0,0,,2,4,.500,3,10,13,2,1,0,2,2,16,10.8,+1
23,659,24,2012-12-18,31-028,CHI,BOS,11,1,30:58,10,17,.588,0,0,,1,2,.500,3,9,12,2,1,2,1,2,21,19.5,-10
24,660,25,2012-12-21,31-031,CHI,NYK,4,1,24:37,4,6,.667,0,0,,1,2,.500,2,5,7,2,1,2,2,4,9,9.1,+16
25,661,26,2012-12-22,31-032,CHI,ATL,-17,1,22:10,2,6,.333,0,0,,4,4,1.000,0,4,4,0,1,0,0,2,8,6.0,-23
26,662,27,2012-12-25,31-035,CHI,HOU,-23,1,21:40,3,11,.273,0,0,,0,0,,0,3,3,3,1,0,1,3,6,1.3,-26
27,663,28,2012-12-29,31-039,CHI,WAS,10,1,29:31,5,12,.417,0,0,,5,7,.714,2,10,12,1,1,1,1,0,15,13.6,+4
28,664,29,2012-12-31,31-041,CHI,CHA,-10,1,35:25,7,18,.389,0,0,,5,8,.625,3,11,14,3,1,0,0,5,19,14.5,-6
29,665,30,2013-01-02,31-043,CHI,ORL,2,1,39:38,13,22,.591,0,0,,5,7,.714,2,9,11,2,2,0,4,3,31,22.3,+4
30,666,31,2013-01-04,31-045,CHI,MIA,7,1,42:09,12,17,.706,0,0,,3,5,.600,6,6,12,1,0,1,3,1,27,23.1,+19
31,667,32,2013-01-07,31-048,CHI,CLE,26,1,29:24,8,16,.500,0,0,,8,8,1.000,2,9,11,4,1,1,1,3,24,22.4,+17
32,668,33,2013-01-09,31-050,CHI,MIL,-8,1,32:39,8,15,.533,0,0,,6,8,.750,4,7,11,3,1,0,2,2,22,19.1,-8
33,669,34,2013-01-11,31-052,CHI,NYK,7,1,35:24,6,14,.429,0,0,,5,6,.833,0,6,6,2,0,0,3,1,17,9.0,+5
34,670,35,2013-01-12,31-053,CHI,PHO,-16,1,25:59,6,14,.429,0,0,,3,3,1.000,4,6,10,2,0,0,1,2,15,11.8,-2
35,671,36,2013-01-14,31-055,CHI,ATL,39,1,31:32,7,14,.500,0,0,,6,8,.750,2,11,13,3,0,1,5,4,20,13.1,+32
36,672,37,2013-01-16,31-057,CHI,TOR,2,1,40:33,16,24,.667,0,1,.000,4,4,1.000,4,8,12,3,1,0,2,5,36,29.9,+20
37,673,38,2013-01-18,31-059,CHI,BOS,1,1,42:39,8,17,.471,0,0,,3,6,.500,6,14,20,4,1,0,2,2,19,18.5,+9
38,674,39,2013-01-19,31-060,CHI,MEM,-3,1,47:17,7,19,.368,0,1,.000,3,6,.500,3,11,14,3,1,0,5,4,17,7.2,-1
39,675,40,2013-01-21,31-062,CHI,LAL,12,1,34:45,7,17,.412,0,0,,0,0,,4,2,6,2,0,2,2,0,14,9.1,+11
40,676,41,2013-01-23,31-064,CHI,DET,3,1,26:31,7,14,.500,0,0,,2,2,1.000,1,5,6,2,0,0,1,3,16,10.4,-2
41,677,42,2013-01-25,31-066,CHI,GSW,16,1,34:12,7,21,.333,0,0,,1,2,.500,5,8,13,1,0,2,5,5,15,3.7,+14
42,678,43,2013-01-26,31-067,CHI,WAS,-13,1,23:36,3,9,.333,0,0,,0,0,,0,2,2,0,0,0,3,4,6,-3.1,-22
43,679,44,2013-01-28,31-069,CHI,CHA,8,1,26:49,6,13,.462,0,0,,1,4,.250,1,3,4,1,0,0,1,4,13,4.8,-12
44,680,48,2013-02-04,31-076,CHI,IND,-10,1,23:08,4,12,.333,0,0,,2,2,1.000,2,3,5,0,0,0,2,3,10,2.3,-23
45,681,49,2013-02-07,31-079,CHI,DEN,-32,1,22:00,9,15,.600,0,0,,0,0,,0,3,3,1,1,0,0,2,18,12.9,-16
46,682,50,2013-02-08,31-080,CHI,UTA,4,1,31:31,6,15,.400,0,0,,7,8,.875,1,4,5,2,1,0,0,4,19,13.2,+6
47,683,51,2013-02-11,31-083,CHI,SAS,-14,1,29:11,7,15,.467,0,0,,0,0,,2,6,8,0,1,0,3,3,14,6.3,-24
48,684,52,2013-02-13,31-085,CHI,BOS,-2,1,34:20,5,14,.357,0,0,,1,1,1.000,3,8,11,0,0,0,3,3,11,3.5,+5
49,685,53,2013-02-19,31-091,CHI,NOH,9,1,28:52,8,16,.500,0,0,,1,1,1.000,4,6,10,3,4,0,1,2,17,17.9,0
50,686,54,2013-02-21,31-093,CHI,MIA,-19,1,32:55,5,9,.556,0,0,,2,2,1.000,4,7,11,3,1,0,3,2,12,11.9,-14
51,687,55,2013-02-22,31-094,CHI,CHA,30,1,25:39,3,9,.333,0,0,,4,4,1.000,0,10,10,4,0,0,0,3,10,9.5,+9
52,688,56,2013-02-24,31-096,CHI,OKC,-30,1,23:45,1,5,.200,0,0,,0,0,,2,5,7,1,2,0,3,2,2,0.7,-14
53,689,57,2013-02-26,31-098,CHI,CLE,-3,1,38:59,13,20,.650,0,0,,1,2,.500,0,5,5,4,0,1,2,3,27,19.6,-1
54,690,58,2013-02-28,31-100,CHI,PHI,11,1,34:25,5,13,.385,0,0,,11,12,.917,2,10,12,1,0,0,2,2,21,15.8,+4
55,691,59,2013-03-02,31-102,CHI,BRK,11,1,31:33,9,16,.563,0,0,,2,2,1.000,0,8,8,3,5,1,4,4,20,17.0,+7
56,692,60,2013-03-03,31-103,CHI,IND,-5,1,16:50,3,9,.333,0,0,,0,0,,1,1,2,1,1,0,2,2,6,0.8,-9
57,693,61,2013-03-06,31-106,CHI,SAS,-18,1,30:14,5,14,.357,0,0,,0,0,,1,7,8,2,2,0,0,4,10,6.8,-9
58,694,62,2013-03-08,31-108,CHI,UTA,1,1,42:40,10,22,.455,0,0,,2,3,.667,3,7,10,1,1,0,0,3,22,14.9,-2
59,695,63,2013-03-10,31-110,CHI,LAL,-9,1,40:01,4,16,.250,0,0,,4,4,1.000,3,7,10,1,0,0,3,3,12,3.1,-11
60,696,64,2013-03-13,31-113,CHI,SAC,-42,1,29:22,8,12,.667,0,0,,5,6,.833,1,6,7,4,0,0,3,4,21,16.1,-19
61,697,65,2013-03-15,31-115,CHI,GSW,18,1,32:30,9,17,.529,0,0,,3,4,.750,2,7,9,5,3,0,0,2,21,21.5,+32
62,698,66,2013-03-18,31-118,CHI,DEN,-1,1,41:38,6,11,.545,0,0,,2,2,1.000,0,9,9,3,0,1,1,4,14,11.6,+9
63,699,67,2013-03-21,31-121,CHI,POR,-10,1,32:17,8,18,.444,0,0,,0,1,.000,2,9,11,3,2,0,2,2,16,11.6,-19
64,700,68,2013-03-23,31-123,CHI,IND,3,1,27:41,8,15,.533,0,0,,2,5,.400,1,9,10,1,1,0,1,4,18,12.0,-3
65,701,69,2013-03-24,31-124,CHI,MIN,7,1,35:58,9,15,.600,0,0,,1,2,.500,5,7,12,4,1,0,5,4,19,14.5,+4
66,702,70,2013-03-27,31-127,CHI,MIA,4,1,38:42,9,17,.529,0,0,,3,5,.600,3,14,17,3,1,1,5,4,21,15.4,+6
67,703,71,2013-03-30,31-130,CHI,DAL,-2,1,36:37,11,16,.688,0,0,,3,7,.429,3,8,11,2,1,1,2,4,25,20.6,-3
68,704,72,2013-03-31,31-131,CHI,DET,1,1,22:22,5,11,.455,0,0,,1,2,.500,3,4,7,1,0,0,3,3,11,4.7,-14
69,705,73,2013-04-02,31-133,CHI,WAS,-4,1,34:55,9,18,.500,0,0,,1,1,1.000,1,11,12,5,0,0,2,3,19,14.3,-5
70,706,74,2013-04-04,31-135,CHI,BRK,2,1,45:02,12,22,.545,0,0,,5,8,.625,5,13,18,3,0,0,3,4,29,22.1,+1
71,707,75,2013-04-05,31-136,CHI,ORL,1,1,39:02,6,16,.375,0,0,,0,0,,1,8,9,4,2,0,6,3,12,3.9,+1
72,708,76,2013-04-07,31-138,CHI,DET,-14,1,40:50,10,18,.556,0,0,,1,1,1.000,1,9,10,3,2,0,3,3,21,15.7,-8
73,709,77,2013-04-09,31-140,CHI,TOR,-3,1,43:52,7,20,.350,0,0,,5,6,.833,2,9,11,8,0,0,4,2,19,12.3,-10
74,710,78,2013-04-11,31-142,CHI,NYK,7,1,46:37,3,11,.273,0,0,,7,8,.875,0,15,15,2,2,2,5,5,13,8.4,+9
75,711,79,2013-04-12,31-143,CHI,TOR,-9,1,31:35,9,19,.474,0,0,,1,1,1.000,1,11,12,0,0,0,2,6,19,8.9,0
76,712,80,2013-04-14,31-145,CHI,MIA,-12,1,38:32,5,14,.357,0,0,,6,7,.857,6,14,20,3,2,0,4,3,16,15.1,-8
77,713,81,2013-04-15,31-146,CHI,ORL,18,1,31:39,11,15,.733,0,0,,0,0,,0,6,6,4,0,0,3,3,22,16.3,+32
78,714,82,2013-04-17,31-148,CHI,WAS,3,1,37:57,8,16,.500,0,0,,3,4,.750,4,11,15,4,0,0,2,5,19,15.5,+13
