,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,487,1,2009-10-27,29-228,WAS,DAL,11,1,38:19,6,17,.353,0,2,.000,4,4,1.000,1,7,8,1,0,2,2,3,16,8.2,+1
1,488,2,2009-10-30,29-231,WAS,ATL,-11,1,17:00,2,5,.400,1,2,.500,0,0,,1,3,4,1,1,0,1,1,5,4.2,-7
2,489,3,2009-11-03,29-235,WAS,CLE,-12,1,37:57,7,18,.389,1,4,.250,7,8,.875,2,4,6,0,1,0,2,1,22,13.0,-1
3,490,4,2009-11-04,29-236,WAS,MIA,-4,1,44:51,6,13,.462,0,0,,1,2,.500,5,5,10,1,1,0,5,3,13,6.4,-2
4,491,5,2009-11-06,29-238,WAS,IND,-16,1,36:21,8,21,.381,1,5,.200,7,9,.778,4,8,12,0,0,0,3,1,24,13.5,-22
5,492,6,2009-11-08,29-240,WAS,PHO,-12,1,41:26,7,20,.350,0,2,.000,5,8,.625,0,6,6,1,4,0,2,1,19,10.7,-11
6,493,7,2009-11-10,29-242,WAS,MIA,-14,1,45:03,8,18,.444,0,2,.000,3,4,.750,2,5,7,0,2,0,4,4,19,8.5,-11
7,494,8,2009-11-14,29-246,WAS,DET,-3,1,39:20,6,14,.429,0,0,,4,4,1.000,2,7,9,3,1,0,2,5,16,11.2,0
8,495,9,2009-11-18,29-250,WAS,CLE,17,1,40:26,6,16,.375,0,2,.000,7,7,1.000,2,4,6,1,1,0,3,3,19,10.3,+20
9,496,10,2009-11-20,29-252,WAS,OKC,-19,1,36:35,7,16,.438,4,6,.667,4,5,.800,1,3,4,4,2,0,3,2,22,15.8,-9
10,497,11,2009-11-21,29-253,WAS,SAS,-22,1,32:22,3,9,.333,1,2,.500,1,2,.500,1,4,5,1,1,0,2,0,8,4.1,-20
11,498,12,2009-11-27,29-259,WAS,MIA,10,1,37:28,4,9,.444,0,1,.000,1,2,.500,3,4,7,1,2,0,3,3,9,5.7,-2
12,499,13,2009-11-28,29-260,WAS,CHA,-16,1,37:08,6,11,.545,0,2,.000,7,7,1.000,0,7,7,1,0,0,3,1,19,13.1,-9
13,500,14,2009-12-01,29-263,WAS,TOR,4,1,38:17,6,12,.500,1,2,.500,6,6,1.000,0,7,7,1,3,1,3,3,19,15.3,-10
14,501,15,2009-12-02,29-264,WAS,MIL,2,1,36:48,4,10,.400,0,0,,7,10,.700,0,6,6,4,0,1,3,2,15,9.9,+8
15,502,16,2009-12-04,29-266,WAS,TOR,-2,1,45:05,4,11,.364,1,3,.333,7,7,1.000,2,2,4,5,2,0,0,3,16,16.2,-3
16,503,17,2009-12-06,29-268,WAS,DET,-4,1,35:03,8,19,.421,3,6,.500,1,1,1.000,4,6,10,0,1,0,4,3,20,10.3,+2
17,504,18,2009-12-10,29-272,WAS,BOS,-2,1,41:25,3,10,.300,0,0,,4,5,.800,2,6,8,5,0,1,1,4,10,8.6,0
18,505,19,2009-12-12,29-274,WAS,IND,-1,1,38:43,9,15,.600,0,2,.000,5,5,1.000,0,3,3,2,0,0,4,1,23,14.0,+4
19,506,20,2009-12-14,29-276,WAS,LAC,-2,1,39:23,6,14,.429,1,2,.500,7,8,.875,0,7,7,5,5,0,5,2,20,17.0,+16
20,507,21,2009-12-16,29-278,WAS,SAC,-3,1,39:23,7,19,.368,0,2,.000,2,2,1.000,2,5,7,1,2,0,2,2,16,8.3,+3
21,508,22,2009-12-18,29-280,WAS,GSW,9,1,46:12,13,22,.591,0,1,.000,2,2,1.000,2,8,10,2,5,0,2,3,28,24.8,+13
22,509,23,2009-12-19,29-281,WAS,PHO,-26,1,28:24,4,9,.444,1,2,.500,1,2,.500,1,3,4,3,1,0,3,3,10,5.4,-18
23,510,24,2009-12-22,29-284,WAS,PHI,7,1,37:43,4,11,.364,0,1,.000,6,6,1.000,1,2,3,4,3,1,1,2,14,13.9,+10
24,511,25,2009-12-23,29-285,WAS,MIL,12,1,42:44,10,17,.588,0,1,.000,5,5,1.000,0,10,10,1,2,0,3,4,25,18.2,+11
25,512,26,2009-12-26,29-288,WAS,MIN,-12,1,39:35,3,9,.333,0,1,.000,7,7,1.000,0,8,8,1,2,0,1,4,13,10.4,-3
26,513,27,2009-12-28,29-290,WAS,MEM,-5,1,49:22,9,18,.500,1,2,.500,5,6,.833,5,4,9,2,1,1,3,2,24,18.6,-3
27,514,28,2009-12-29,29-291,WAS,OKC,-12,1,39:05,3,11,.273,1,3,.333,3,5,.600,1,4,5,3,3,0,1,3,10,7.5,-8
28,515,29,2010-01-02,29-295,WAS,SAS,-11,1,46:41,10,21,.476,1,2,.500,3,5,.600,1,5,6,1,1,0,3,4,24,11.8,-7
29,516,30,2010-01-05,29-298,WAS,PHI,7,1,36:12,3,8,.375,0,0,,2,2,1.000,0,1,1,4,2,0,1,1,8,7.3,0
30,517,31,2010-01-06,29-299,WAS,CLE,-23,1,38:18,3,9,.333,0,0,,2,2,1.000,0,4,4,3,1,0,2,4,8,3.6,-22
31,518,32,2010-01-08,29-301,WAS,ORL,7,1,38:16,7,16,.438,1,3,.333,8,8,1.000,2,5,7,1,1,2,4,3,23,15.4,+16
32,519,33,2010-01-10,29-303,WAS,NOH,-5,1,43:19,5,13,.385,0,0,,2,2,1.000,0,6,6,6,2,0,3,4,12,8.3,-3
33,520,34,2010-01-12,29-305,WAS,DET,-9,1,44:17,7,17,.412,0,2,.000,0,0,,0,4,4,2,1,1,1,3,14,7.0,-3
34,521,35,2010-01-13,29-306,WAS,ATL,-12,1,42:14,6,18,.333,1,1,1.000,2,2,1.000,2,9,11,3,0,0,3,3,15,6.8,-1
35,522,36,2010-01-15,29-308,WAS,CHI,-2,1,55:56,10,26,.385,1,5,.200,6,6,1.000,1,7,8,2,1,1,1,5,27,15.7,+4
36,523,37,2010-01-16,29-309,WAS,SAC,10,1,33:33,6,12,.500,1,3,.333,6,7,.857,1,5,6,1,1,0,1,3,19,14.3,+7
37,524,38,2010-01-18,29-311,WAS,POR,5,1,41:57,8,14,.571,0,1,.000,2,2,1.000,3,6,9,4,0,0,2,1,18,15.7,+10
38,525,39,2010-01-20,29-313,WAS,DAL,-1,1,43:03,7,20,.350,0,1,.000,6,8,.750,2,8,10,1,1,0,1,3,20,11.3,+6
39,526,40,2010-01-22,29-315,WAS,MIA,-24,1,32:59,5,13,.385,0,0,,4,5,.800,1,1,2,1,0,0,0,2,14,7.4,-20
40,527,41,2010-01-24,29-317,WAS,LAC,-14,1,43:27,5,17,.294,0,2,.000,0,0,,1,7,8,4,1,2,2,1,10,5.7,-13
41,528,42,2010-01-26,29-319,WAS,LAL,-12,1,35:59,7,13,.538,1,3,.333,3,3,1.000,1,7,8,3,3,0,0,4,18,18.0,-2
42,529,43,2010-01-29,29-322,WAS,NJN,2,1,30:40,3,9,.333,0,1,.000,2,2,1.000,1,3,4,1,1,2,2,2,8,4.8,-7
43,530,44,2010-01-30,29-323,WAS,NYK,10,1,34:09,5,14,.357,0,1,.000,0,0,,3,3,6,4,1,0,2,3,10,5.8,+22
44,531,45,2010-02-01,29-325,WAS,BOS,-11,1,41:24,6,15,.400,0,2,.000,8,8,1.000,2,9,11,2,3,0,6,3,20,13.2,-14
45,532,46,2010-02-05,29-329,WAS,ORL,1,1,42:40,11,22,.500,1,4,.250,8,8,1.000,3,6,9,2,1,0,3,3,31,22.1,-2
46,533,47,2010-02-09,29-333,WAS,CHA,-2,1,46:39,10,23,.435,1,6,.167,2,2,1.000,0,4,4,8,1,0,5,5,23,11.7,-7
47,534,48,2010-02-16,29-340,DAL,OKC,-13,1,31:24,4,16,.250,1,2,.500,4,4,1.000,4,2,6,1,1,1,4,4,13,3.6,-13
48,535,49,2010-02-17,29-341,DAL,PHO,10,1,39:14,6,16,.375,0,0,,3,4,.750,0,5,5,2,1,0,2,2,15,6.9,+10
49,536,50,2010-02-19,29-343,DAL,ORL,10,1,38:24,7,18,.389,0,3,.000,2,3,.667,2,5,7,2,2,1,0,2,16,12.0,+13
50,537,51,2010-02-20,29-344,DAL,MIA,6,1,41:42,7,13,.538,0,1,.000,6,8,.750,1,3,4,3,1,0,2,4,20,14.0,0
51,538,52,2010-02-22,29-346,DAL,IND,9,1,30:20,3,10,.300,0,0,,2,4,.500,0,5,5,3,2,1,4,1,8,3.3,+22
52,539,53,2010-02-28,29-352,DAL,NOH,8,1,39:42,9,18,.500,0,1,.000,1,2,.500,1,4,5,1,4,1,0,2,19,16.1,+13
53,540,54,2010-03-01,29-353,DAL,CHA,5,1,33:02,10,16,.625,0,3,.000,2,2,1.000,0,2,2,2,3,0,2,2,22,17.0,+5
54,541,55,2010-03-03,29-355,DAL,MIN,3,1,34:26,6,15,.400,0,1,.000,2,2,1.000,0,5,5,4,2,0,2,4,14,8.6,+4
55,542,56,2010-03-05,29-357,DAL,SAC,8,1,34:12,6,11,.545,0,1,.000,0,0,,0,5,5,0,3,1,2,1,12,9.5,+7
56,543,57,2010-03-06,29-358,DAL,CHI,6,1,39:08,10,17,.588,3,4,.750,1,2,.500,1,4,5,2,0,0,1,3,24,16.8,+10
57,544,58,2010-03-08,29-360,DAL,MIN,13,1,41:57,9,19,.474,3,6,.500,2,2,1.000,0,2,2,2,1,1,1,5,23,14.0,+5
58,545,59,2010-03-10,29-362,DAL,NJN,9,1,30:44,7,14,.500,0,1,.000,4,4,1.000,1,1,2,2,1,0,2,4,18,10.8,0
59,546,60,2010-03-13,30-000,DAL,NYK,-34,1,30:21,2,6,.333,0,1,.000,3,6,.500,1,2,3,1,3,0,2,2,7,4.6,-25
60,547,61,2010-03-17,30-004,DAL,CHI,7,1,35:08,6,11,.545,1,2,.500,14,16,.875,1,4,5,3,1,0,0,4,27,24.3,+7
61,548,62,2010-03-20,30-007,DAL,BOS,-9,1,29:44,3,14,.214,0,2,.000,3,4,.750,3,1,4,1,3,0,2,2,9,3.3,-6
62,549,63,2010-03-22,30-009,DAL,NOH,-16,1,32:40,5,13,.385,0,1,.000,2,4,.500,2,4,6,3,0,1,1,1,12,8.1,-10
63,550,64,2010-03-23,30-010,DAL,LAC,10,1,32:52,2,9,.222,0,1,.000,0,0,,1,5,6,1,2,0,1,1,4,2.0,+6
