,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,469,1,1990-11-02,27-255,PHI,CHI,8,1,36:00,15,21,.714,0,1,.000,7,9,.778,5,5,10,5,0,0,2,2,37,33.2,
1,470,2,1990-11-03,27-256,PHI,NJN,2,1,47:00,10,17,.588,1,2,.500,6,13,.462,6,4,10,8,1,2,6,5,27,21.7,
2,471,3,1990-11-07,27-260,PHI,DAL,-3,1,41:00,9,15,.600,0,2,.000,5,7,.714,2,2,4,2,1,0,3,2,23,15.9,
3,472,4,1990-11-08,27-261,PHI,MIL,-30,1,27:00,9,11,.818,1,2,.500,8,9,.889,3,3,6,2,1,0,4,1,27,23.5,
4,473,5,1990-11-10,27-263,PHI,CLE,-16,1,41:00,8,15,.533,1,3,.333,14,19,.737,5,6,11,2,1,0,0,3,31,28.2,
5,474,6,1990-11-13,27-266,PHI,IND,8,1,38:00,7,15,.467,0,5,.000,9,12,.750,1,12,13,5,2,1,3,2,23,20.8,
6,475,7,1990-11-14,27-267,PHI,ATL,8,1,36:00,12,20,.600,1,3,.333,9,12,.750,4,9,13,5,1,0,2,2,34,30.8,
7,476,8,1990-11-16,27-269,PHI,WSB,13,1,38:00,10,20,.500,0,0,,15,20,.750,11,7,18,1,1,0,3,6,35,29.1,
8,477,9,1990-11-17,27-270,PHI,NYK,-27,1,26:00,4,14,.286,0,3,.000,2,4,.500,4,5,9,3,0,0,2,2,10,4.6,
9,478,10,1990-11-19,27-272,PHI,CHH,8,1,36:00,10,21,.476,0,2,.000,11,14,.786,6,6,12,5,3,1,3,2,31,28.5,
10,479,11,1990-11-21,27-274,PHI,SAC,2,1,37:00,10,20,.500,0,1,.000,11,14,.786,8,2,10,4,1,2,4,2,31,26.4,
11,480,12,1990-11-23,27-276,PHI,CLE,6,1,42:00,15,19,.789,0,0,,6,10,.600,2,10,12,6,4,1,3,0,36,37.4,
12,481,13,1990-11-24,27-277,PHI,ATL,3,1,33:00,6,10,.600,1,3,.333,10,11,.909,3,4,7,4,1,0,1,4,23,22.5,
13,482,14,1990-11-27,27-280,PHI,NJN,-6,1,40:00,8,14,.571,0,2,.000,6,9,.667,4,5,9,6,3,1,3,3,22,22.2,
14,483,15,1990-11-28,27-281,PHI,IND,10,1,38:00,9,13,.692,0,0,,15,17,.882,3,9,12,5,1,0,3,2,33,32.2,
15,484,16,1990-11-30,27-283,PHI,DET,-2,1,32:00,9,15,.600,1,3,.333,3,5,.600,2,5,7,5,2,1,1,5,22,20.4,
16,485,17,1990-12-01,27-284,PHI,BOS,6,1,45:00,16,23,.696,1,2,.500,4,6,.667,6,7,13,8,1,0,2,1,37,37.0,
17,486,18,1990-12-04,27-287,PHI,MIL,1,1,44:00,13,20,.650,0,0,,16,20,.800,5,4,9,0,3,0,3,2,42,35.5,
18,487,19,1990-12-07,27-290,PHI,DEN,9,1,36:00,14,19,.737,1,2,.500,11,18,.611,6,16,22,2,3,0,7,2,40,35.1,
19,488,20,1990-12-11,27-294,PHI,ORL,5,1,34:00,8,17,.471,0,3,.000,12,16,.750,1,8,9,6,2,0,0,5,28,25.0,
20,489,21,1990-12-12,27-295,PHI,HOU,-8,1,36:00,11,17,.647,0,1,.000,7,11,.636,5,4,9,5,3,0,6,3,29,23.9,
