,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,103,1,2008-04-20,31-208,DET,PHI,-4,1,35:20,3,9,.333,1,3,.333,7,10,.700,0,2,2,4,1,0,0,3,14,10.9,-7
1,104,2,2008-04-23,31-211,DET,PHI,17,1,30:03,3,6,.500,2,4,.500,1,1,1.000,0,4,4,6,0,1,1,3,9,9.9,+26
2,105,3,2008-04-25,31-213,DET,PHI,-20,1,33:17,2,11,.182,0,5,.000,7,8,.875,0,4,4,4,0,0,3,2,11,3.9,-15
3,106,4,2008-04-27,31-215,DET,PHI,9,1,40:42,4,16,.250,1,7,.143,9,10,.900,1,5,6,7,2,0,3,2,18,13.3,+4
4,107,5,2008-04-29,31-217,DET,PHI,17,1,37:26,7,14,.500,3,6,.500,4,6,.667,0,2,2,12,0,0,3,2,21,18.4,+24
5,108,6,2008-05-01,31-219,DET,PHI,23,1,31:29,8,11,.727,3,5,.600,1,1,1.000,1,2,3,7,2,0,1,3,20,21.5,+37
6,109,7,2008-05-03,31-221,DET,ORL,19,1,32:47,5,14,.357,1,2,.500,8,9,.889,0,2,2,7,0,0,1,1,19,14.9,+6
7,110,8,2008-05-05,31-223,DET,ORL,7,1,35:33,8,19,.421,2,5,.400,10,10,1.000,1,4,5,4,1,0,1,2,28,21.8,+2
8,111,9,2008-05-07,31-225,DET,ORL,-25,1,3:49,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-4
9,112,10,2008-05-20,31-238,DET,BOS,-9,1,31:03,3,6,.500,1,3,.333,2,4,.500,0,2,2,2,2,0,2,1,9,6.8,-18
10,113,11,2008-05-22,31-240,DET,BOS,6,1,32:24,5,10,.500,2,2,1.000,7,8,.875,0,0,0,7,1,0,0,2,19,18.7,+4
11,114,12,2008-05-24,31-242,DET,BOS,-14,1,26:55,1,6,.167,1,4,.250,3,4,.750,0,3,3,4,0,0,2,3,6,2.3,-25
12,115,13,2008-05-26,31-244,DET,BOS,19,1,32:27,3,12,.250,1,3,.333,3,5,.600,0,0,0,7,2,0,0,3,10,7.7,+15
13,116,14,2008-05-28,31-246,DET,BOS,-4,1,35:32,7,17,.412,3,7,.429,9,9,1.000,0,5,5,6,1,0,3,4,26,19.0,-13
14,117,15,2008-05-30,31-248,DET,BOS,-8,1,41:23,9,20,.450,3,8,.375,8,10,.800,3,3,6,6,0,0,0,1,29,24.6,-9
