,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,11,1,1965-03-24,25-030,PHI,CIN,2,,,9,13,.692,,,,4,5,.800,,,5,1,,,,4,22,,
1,12,2,1965-03-26,25-032,PHI,CIN,-1,,,8,18,.444,,,,6,8,.750,,,14,4,,,,5,22,,
2,13,3,1965-03-28,25-034,PHI,CIN,14,,,5,11,.455,,,,8,9,.889,,,8,2,,,,2,18,,
3,14,4,1965-03-31,25-037,PHI,CIN,7,,,7,16,.438,,,,6,6,1.000,,,5,3,,,,2,20,,
4,15,5,1965-04-04,25-041,PHI,BOS,-10,,30:00,4,12,.333,,,,3,5,.600,,,6,2,,,,3,11,,
5,16,6,1965-04-06,25-043,PHI,BOS,6,,42:00,9,19,.474,,,,5,8,.625,,,7,0,,,,4,23,,
6,17,7,1965-04-08,25-045,PHI,BOS,-18,,33:00,6,11,.545,,,,6,8,.750,,,3,0,,,,0,18,,
7,18,8,1965-04-09,25-046,PHI,BOS,3,,15:00,11,22,.500,,,,9,11,.818,,,11,1,,,,5,31,,
8,19,9,1965-04-11,25-048,PHI,BOS,-6,,38:00,5,11,.455,,,,2,4,.500,,,4,2,,,,5,12,,
9,20,10,1965-04-13,25-050,PHI,BOS,6,,,9,21,.429,,,,4,6,.667,,,11,2,,,,4,22,,
10,21,11,1965-04-15,25-052,PHI,BOS,-1,,48:00,10,19,.526,,,,4,5,.800,,,5,1,,,,4,24,,
