,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2003-10-29,19-219,TOR,NJN,3,0,24:00,5,8,.625,0,0,,1,1,1.000,2,2,4,0,0,2,1,3,11,8.6,+9
1,2,2,2003-10-31,19-221,TOR,WAS,3,0,22:00,2,5,.400,0,0,,1,2,.500,1,1,2,0,0,0,0,1,5,2.5,+14
2,3,3,2003-11-01,19-222,TOR,MIN,-17,0,19:00,2,4,.500,0,0,,1,2,.500,2,1,3,0,1,0,2,3,5,2.1,-14
3,4,4,2003-11-06,19-227,TOR,DAL,6,0,30:00,2,7,.286,0,0,,2,2,1.000,2,7,9,0,2,2,0,1,6,8.4,+14
4,5,5,2003-11-07,19-228,TOR,WAS,-26,0,25:00,1,3,.333,0,0,,0,0,,1,3,4,1,0,2,1,3,2,1.8,-8
5,6,6,2003-11-09,19-230,TOR,DEN,13,0,27:00,3,4,.750,0,0,,0,0,,2,2,4,0,1,1,1,5,6,5.1,+1
6,7,7,2003-11-11,19-232,TOR,POR,-3,0,30:00,4,6,.667,0,0,,4,6,.667,1,1,2,0,1,1,0,0,12,11.3,-1
7,8,8,2003-11-12,19-233,TOR,LAL,-15,0,28:00,4,6,.667,0,0,,2,2,1.000,0,8,8,0,1,0,3,6,10,5.4,-8
8,9,9,2003-11-14,19-235,TOR,SAC,-30,1,31:00,2,8,.250,0,0,,2,2,1.000,2,4,6,1,0,3,3,2,6,2.8,-25
9,10,10,2003-11-16,19-237,TOR,HOU,4,0,39:00,7,11,.636,1,1,1.000,10,10,1.000,6,3,9,1,0,0,1,3,25,23.7,+2
10,11,11,2003-11-19,19-240,TOR,PHI,-6,0,34:00,5,11,.455,0,0,,6,8,.750,2,4,6,0,0,6,1,2,16,14.5,+4
11,12,12,2003-11-22,19-243,TOR,NJN,1,0,31:00,4,6,.667,1,1,1.000,2,4,.500,3,3,6,1,0,3,1,1,11,12.0,-5
12,13,13,2003-11-23,19-244,TOR,MIL,-20,0,31:00,5,9,.556,0,0,,3,4,.750,3,3,6,0,0,2,1,3,13,10.5,-23
13,14,14,2003-11-26,19-247,TOR,ATL,2,1,42:00,5,12,.417,1,1,1.000,6,8,.750,5,2,7,1,1,3,2,5,17,13.7,+7
14,15,15,2003-11-28,19-249,TOR,ORL,1,1,41:00,7,15,.467,0,0,,2,3,.667,2,6,8,0,3,1,2,3,16,11.6,0
15,16,16,2003-11-29,19-250,TOR,MIA,-12,1,46:00,4,17,.235,0,0,,3,4,.750,2,8,10,2,0,1,4,3,11,1.0,-8
16,17,17,2003-12-02,19-253,TOR,PHI,7,1,26:00,4,10,.400,0,0,,2,6,.333,4,7,11,0,1,2,1,5,10,7.3,+7
17,18,18,2003-12-03,19-254,TOR,BOS,10,1,38:00,7,14,.500,0,0,,2,2,1.000,5,3,8,1,0,1,0,1,16,14.4,+7
18,19,19,2003-12-05,19-256,TOR,ATL,5,1,42:00,5,9,.556,0,0,,1,1,1.000,2,5,7,4,3,1,0,5,11,14.1,+5
19,20,20,2003-12-07,19-258,TOR,SEA,10,1,45:00,8,13,.615,0,0,,6,10,.600,7,9,16,2,0,2,1,2,22,23.1,+7
20,21,21,2003-12-09,19-260,TOR,CLE,7,1,36:00,5,10,.500,0,0,,4,4,1.000,2,5,7,0,0,1,0,4,14,11.0,+11
21,22,22,2003-12-12,19-263,TOR,BOS,-3,1,33:00,7,12,.583,0,0,,1,3,.333,2,3,5,3,0,2,1,3,15,12.2,0
22,23,23,2003-12-14,19-265,TOR,MIA,-1,1,32:00,1,8,.125,0,1,.000,2,6,.333,2,8,10,1,0,1,0,4,4,0.8,-6
23,24,24,2003-12-15,19-266,TOR,DAL,-17,1,43:00,4,9,.444,0,1,.000,6,6,1.000,2,6,8,3,0,2,2,1,14,13.6,-13
24,25,25,2003-12-17,19-268,TOR,SAS,-3,1,36:00,3,12,.250,0,0,,0,2,.000,5,7,12,1,0,0,2,0,6,2.3,+1
25,26,26,2003-12-19,19-270,TOR,NYK,6,1,38:00,6,11,.545,0,1,.000,0,2,.000,2,3,5,3,0,3,1,4,12,9.8,+12
26,27,27,2003-12-21,19-272,TOR,ORL,-11,1,37:00,7,10,.700,0,1,.000,2,5,.400,7,3,10,1,1,1,3,4,16,14.2,-3
27,28,28,2003-12-26,19-277,TOR,UTA,-3,1,39:00,3,6,.500,0,0,,0,2,.000,1,6,7,1,1,2,1,6,6,4.4,-2
28,29,29,2003-12-28,19-279,TOR,LAC,6,1,33:00,2,8,.250,0,0,,3,6,.500,4,2,6,0,2,0,1,3,7,4.2,-6
29,30,30,2003-12-30,19-281,TOR,DEN,7,1,28:00,5,10,.500,0,0,,1,1,1.000,3,9,12,1,0,0,1,2,11,9.7,-3
30,31,31,2004-01-02,19-284,TOR,NOH,-12,1,23:00,1,5,.200,0,0,,1,1,1.000,1,2,3,1,1,2,3,1,3,0.9,-16
31,32,32,2004-01-04,19-286,TOR,PHO,10,1,32:00,1,9,.111,0,0,,4,6,.667,3,7,10,1,2,1,5,2,6,1.1,+11
32,33,33,2004-01-07,19-289,TOR,CLE,6,1,24:00,3,5,.600,0,1,.000,2,4,.500,2,4,6,1,0,1,1,0,8,7.9,-7
33,34,34,2004-01-17,19-299,TOR,ATL,-5,1,30:00,2,7,.286,0,0,,2,9,.222,4,6,10,0,1,1,1,4,6,2.8,-2
34,35,35,2004-01-19,19-301,TOR,NYK,-11,1,39:00,7,12,.583,0,0,,4,6,.667,1,7,8,3,0,4,2,3,18,16.1,-4
35,36,36,2004-01-21,19-303,TOR,MIN,-11,1,36:00,6,14,.429,0,0,,3,3,1.000,1,4,5,1,1,2,1,2,15,10.8,-13
36,37,37,2004-01-23,19-305,TOR,MIL,-12,1,33:00,5,8,.625,0,0,,4,6,.667,4,2,6,1,0,0,2,3,14,10.5,-7
37,38,38,2004-01-25,19-307,TOR,CHI,-7,1,43:00,7,12,.583,0,0,,9,12,.750,4,6,10,1,3,0,3,2,23,20.7,-4
38,39,39,2004-01-28,19-310,TOR,PHI,10,1,26:00,5,7,.714,0,0,,2,2,1.000,3,3,6,2,1,2,0,5,12,13.9,+9
