,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,263,1,2000-11-03,26-236,BOS,TOR,2,0,9:00,2,2,1.000,0,0,,1,2,.500,1,1,2,0,0,0,1,3,5,2.8,-12
1,264,2,2000-11-04,26-237,BOS,CLE,-2,0,6:00,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,1,2,0.9,-10
2,265,3,2000-11-07,26-240,BOS,TOR,-30,0,16:00,1,4,.250,1,2,.500,4,4,1.000,0,1,1,0,0,0,1,1,7,3.5,-19
3,266,4,2000-11-10,26-243,BOS,NYK,-2,0,1:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+3
4,267,5,2000-11-11,26-244,BOS,PHI,-2,0,7:00,2,3,.667,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,5,4.0,-5
5,268,6,2000-11-15,26-248,BOS,WAS,7,0,5:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-2
6,269,7,2000-11-17,26-250,BOS,ATL,7,0,8:00,2,4,.500,1,1,1.000,1,2,.500,0,3,3,0,0,0,0,0,6,4.5,-3
7,270,8,2000-11-18,26-251,BOS,WAS,-20,0,20:00,5,9,.556,2,6,.333,2,2,1.000,1,2,3,0,0,0,1,3,14,8.8,-4
8,271,9,2000-11-20,26-253,BOS,PHI,-24,0,5:00,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,1,0,0,0,4,5.0,-3
9,272,10,2000-11-22,26-255,BOS,HOU,15,0,16:00,4,6,.667,1,2,.500,5,6,.833,0,1,1,1,0,0,2,4,14,8.4,-13
10,273,11,2000-11-26,26-259,BOS,VAN,-11,0,3:00,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,1,1,0.2,-3
11,274,12,2000-12-03,26-266,BOS,LAC,9,0,4:00,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.2,-2
12,275,13,2000-12-05,26-268,BOS,ORL,-3,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
13,276,14,2000-12-20,26-283,BOS,NJN,13,0,4:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,1,1,1,0,-1.1,-1
14,277,15,2000-12-30,26-293,BOS,ORL,-5,0,19:00,6,9,.667,0,1,.000,2,2,1.000,0,3,3,0,0,0,0,1,14,10.6,+5
15,278,16,2001-01-06,26-300,BOS,MIA,-26,0,12:00,0,3,.000,0,0,,2,4,.500,1,2,3,0,0,0,0,2,2,-0.4,-3
16,279,17,2001-01-12,26-306,BOS,TOR,-21,0,1:00,0,0,,0,0,,1,2,.500,2,0,2,0,0,0,0,0,1,2.0,+1
17,280,18,2001-01-21,26-315,BOS,GSW,-3,0,5:00,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,2,4,1.9,-1
18,281,19,2001-01-26,26-320,BOS,PHO,16,0,4:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-2
19,282,20,2001-02-02,26-327,BOS,DET,7,0,9:00,3,4,.750,0,1,.000,1,3,.333,0,2,2,0,1,1,2,2,7,4.1,-6
20,283,21,2001-02-04,26-329,BOS,CLE,21,0,7:00,0,4,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,2,0,-3.9,-5
21,284,22,2001-02-05,26-330,BOS,TOR,-12,0,9:00,3,5,.600,1,2,.500,4,4,1.000,0,2,2,0,0,0,1,0,11,8.3,+2
22,285,23,2001-02-07,26-332,BOS,MIL,3,0,4:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,0
23,286,24,2001-02-13,26-338,BOS,VAN,-1,0,1:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+3
24,287,25,2001-02-15,26-340,BOS,SEA,20,0,19:00,2,7,.286,2,3,.667,2,3,.667,1,0,1,1,1,0,0,2,8,5.1,+6
25,288,26,2001-02-19,26-344,BOS,UTA,-15,0,20:00,3,8,.375,3,3,1.000,6,8,.750,3,2,5,0,0,0,1,3,15,10.3,+2
26,289,27,2001-02-20,26-345,BOS,HOU,-17,0,14:00,3,5,.600,1,2,.500,1,1,1.000,0,2,2,0,0,0,2,3,8,3.1,+1
27,290,28,2001-02-22,26-347,BOS,DAL,-7,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4
28,291,29,2001-02-23,26-348,BOS,SAS,-18,0,27:00,3,7,.429,0,1,.000,4,4,1.000,2,5,7,1,0,0,0,2,10,9.1,+14
29,292,30,2001-02-26,26-351,BOS,SEA,3,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,+2
30,293,31,2001-03-01,26-354,BOS,NYK,-7,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
31,294,32,2001-03-02,26-355,BOS,UTA,4,0,6:00,0,3,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,-2.4,-6
32,295,33,2001-03-04,26-357,BOS,CHH,-19,0,14:00,2,4,.500,1,2,.500,0,0,,0,0,0,1,0,1,0,1,5,4.0,-3
33,296,34,2001-03-07,26-360,BOS,MIL,-7,0,20:00,4,7,.571,1,3,.333,2,3,.667,0,1,1,2,0,0,2,6,11,4.6,-3
34,297,35,2001-03-09,26-362,BOS,WAS,32,0,10:00,1,3,.333,0,1,.000,3,4,.750,0,3,3,1,0,0,1,0,5,3.5,+8
