,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,461,1,2001-10-30,33-344,TOR,ORL,-29,0,22:00,3,3,1.000,1,1,1.000,6,6,1.000,0,1,1,3,1,0,3,2,13,11.7,-7
1,462,2,2001-10-31,33-345,TOR,MIA,-5,0,19:00,3,5,.600,1,2,.500,0,0,,0,2,2,5,1,0,3,1,7,6.4,-13
2,463,3,2001-11-02,33-347,TOR,DAL,17,0,22:00,3,8,.375,1,5,.200,0,0,,0,3,3,6,2,0,0,4,7,8.1,+8
3,464,4,2001-11-04,33-349,TOR,IND,13,0,24:00,2,4,.500,2,4,.500,0,0,,0,2,2,9,0,0,2,3,6,7.7,+6
4,465,5,2001-11-07,33-352,TOR,GSW,17,0,21:00,1,1,1.000,0,0,,0,0,,0,2,2,5,1,0,1,2,2,5.0,0
5,466,6,2001-11-10,33-355,TOR,UTA,21,0,24:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,4,2,0,2,4,3,3.9,+8
6,467,7,2001-11-11,33-356,TOR,DEN,-11,0,22:00,0,2,.000,0,0,,0,0,,0,3,3,1,3,1,4,3,0,-1.3,-10
7,468,8,2001-11-13,33-358,TOR,SAC,-9,0,22:00,2,4,.500,2,2,1.000,0,0,,0,1,1,4,1,0,1,1,6,6.7,-2
8,469,9,2001-11-14,33-359,TOR,GSW,7,0,25:00,1,5,.200,1,2,.500,5,6,.833,0,5,5,4,1,1,1,2,8,8.7,+16
9,470,10,2001-11-16,33-361,TOR,LAC,9,0,24:00,4,9,.444,2,5,.400,3,4,.750,0,1,1,5,2,0,0,1,13,13.3,+18
10,471,11,2001-11-18,33-363,TOR,PHO,6,0,17:00,1,2,.500,1,1,1.000,1,2,.500,0,2,2,4,0,0,3,3,4,1.8,+5
11,472,12,2001-11-20,34-000,TOR,DET,-4,0,24:00,0,4,.000,0,3,.000,1,1,1.000,0,0,0,5,0,0,0,1,1,1.3,-9
12,473,13,2001-11-22,34-002,TOR,MIL,-3,0,29:00,4,6,.667,2,4,.500,0,0,,0,2,2,4,0,0,2,4,10,7.2,-1
13,474,14,2001-11-23,34-003,TOR,BOS,2,0,27:00,1,5,.200,0,4,.000,0,1,.000,1,5,6,2,0,0,0,1,2,1.7,-2
14,475,15,2001-11-25,34-005,TOR,PHI,19,0,17:00,0,2,.000,0,2,.000,2,2,1.000,0,1,1,5,0,0,1,2,2,2.6,+7
