,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,10,2,2014-04-22,30-036,IND,ATL,16,0,4:58,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,4,2.0,-8
1,11,3,2014-04-24,30-038,IND,ATL,-13,0,0:26,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
2,12,5,2014-04-28,30-042,IND,ATL,-10,0,19:43,2,7,.286,2,6,.333,0,0,,0,1,1,0,1,3,1,3,6,3.1,+17
3,13,6,2014-05-01,30-045,IND,ATL,7,0,18:28,1,2,.500,1,1,1.000,2,2,1.000,1,2,3,0,1,0,3,3,5,2.1,+7
4,14,7,2014-05-03,30-047,IND,ATL,12,0,6:48,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,2,3,1.2,-2
5,15,8,2014-05-05,30-049,IND,WAS,-6,0,1:08,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,3.4,+4
6,16,9,2014-05-07,30-051,IND,WAS,4,0,0:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
7,17,12,2014-05-13,30-057,IND,WAS,-23,0,10:04,3,5,.600,0,1,.000,3,6,.500,0,1,1,0,1,0,0,3,9,5.6,+2
8,18,13,2014-05-15,30-059,IND,WAS,13,0,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
9,19,14,2014-05-18,30-062,IND,MIA,11,0,0:33,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
10,20,17,2014-05-26,30-070,IND,MIA,-12,0,2:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+11
11,21,19,2014-05-30,30-074,IND,MIA,-25,0,16:45,2,6,.333,1,3,.333,1,1,1.000,0,0,0,0,0,0,0,1,6,2.2,+7
