,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,189,1,1958-10-19,27-087,DET,SYR,-9,,13:00,0,3,.000,,,,0,0,,,,2,,,,,1,0,,
1,190,2,1958-10-23,27-091,DET,STL,-1,,,1,,,,,,0,0,,,,,,,,,2,2,,
2,191,3,1958-10-25,27-093,DET,STL,5,,,0,,,,,,1,1,1.000,,,,,,,,0,1,,
3,192,4,1958-10-26,27-094,DET,MNL,-8,,,1,,,,,,1,1,1.000,,,,,,,,2,3,,
4,193,5,1958-10-31,27-099,DET,CIN,7,,,1,,,,,,0,,,,,,,,,,1,2,,
5,194,6,1958-11-01,27-100,DET,BOS,-14,,,2,,,,,,4,5,.800,,,,,,,,3,8,,
6,195,7,1958-11-07,27-106,DET,NYK,-14,,,10,,,,,,3,6,.500,,,,,,,,5,23,,
7,196,8,1958-11-13,27-112,DET,MNL,9,,,1,,,,,,0,1,.000,,,,,,,,4,2,,
8,197,9,1958-11-14,27-113,DET,SYR,-2,,,3,,,,,,4,5,.800,,,,,,,,2,10,,
9,198,10,1958-11-15,27-114,DET,STL,-11,,,5,,,,,,1,3,.333,,,,,,,,1,11,,
10,199,11,1958-11-18,27-117,DET,BOS,-13,,,4,,,,,,0,0,,,,,,,,,2,8,,
11,200,12,1958-11-22,27-121,DET,CIN,17,,,6,,,,,,1,1,1.000,,,,,,,,2,13,,
12,201,13,1958-11-23,27-122,DET,MNL,15,,,1,,,,,,0,0,,,,,,,,,0,2,,
13,202,14,1958-11-25,27-124,DET,MNL,-8,,,2,,,,,,4,6,.667,,,,,,,,1,8,,
14,203,15,1958-11-26,27-125,DET,CIN,17,,,6,,,,,,1,,,,,,,,,,1,13,,
15,204,16,1958-11-28,27-127,DET,SYR,8,,,7,19,.368,,,,6,6,1.000,,,2,1,,,,3,20,,
16,205,17,1958-11-29,27-128,DET,BOS,-14,,,4,,,,,,0,0,,,,,,,,,4,8,,
17,206,18,1958-12-02,27-131,DET,PHW,4,,,0,,,,,,0,0,,,,,,,,,1,0,,
18,207,19,1958-12-05,27-134,DET,NYK,-2,,,0,,,,,,0,,,,,,,,,,0,0,,
19,208,20,1958-12-06,27-135,DET,NYK,7,,,9,,,,,,2,2,1.000,,,,,,,,,20,,
20,209,21,1958-12-10,27-139,DET,STL,7,,,2,,,,,,2,2,1.000,,,,,,,,5,6,,
21,210,22,1958-12-12,27-141,DET,PHW,2,,,0,,,,,,0,0,,,,,,,,,,0,,
22,211,23,1958-12-14,27-143,DET,SYR,-6,,9:00,4,11,.364,,,,0,0,,,,3,,,,,2,8,,
23,212,24,1958-12-17,27-146,DET,BOS,-7,,,1,,,,,,0,,,,,,,,,,,2,,
24,213,25,1958-12-18,27-147,DET,MNL,-9,,,1,5,.200,,,,0,0,,,,,,,,,2,2,,
25,214,26,1958-12-20,27-149,DET,STL,-7,,,1,,,,,,2,3,.667,,,,,,,,,4,,
26,215,27,1958-12-25,27-154,DET,MNL,1,,,1,,,,,,1,1,1.000,,,,,,,,1,3,,
27,216,28,1958-12-26,27-155,DET,CIN,40,,,8,,,,,,2,2,1.000,,,,,,,,3,18,,
28,217,29,1958-12-30,27-159,DET,NYK,-3,,,3,,,,,,1,1,1.000,,,,,,,,4,7,,
29,218,30,1959-01-02,27-162,DET,CIN,-7,,,1,,,,,,2,2,1.000,,,,,,,,3,4,,
30,219,31,1959-01-03,27-163,DET,NYK,-4,,,2,,,,,,4,4,1.000,,,,,,,,2,8,,
31,220,32,1959-01-06,27-166,DET,PHW,2,,,1,,,,,,0,0,,,,,,,,,2,2,,
32,221,33,1959-01-09,27-169,DET,BOS,-13,,,6,,,,,,2,3,.667,,,,,,,,4,14,,
33,222,34,1959-01-10,27-170,DET,CIN,32,,,2,,,,,,0,,,,,,,,,,,4,,
34,223,35,1959-01-11,27-171,DET,STL,-11,,,6,,,,,,1,,,,,,,,,,,13,,
35,224,36,1959-01-13,27-173,DET,CIN,20,,,3,,,,,,3,3,1.000,,,,,,,,2,9,,
36,225,37,1959-01-14,27-174,DET,STL,-6,,,3,,,,,,2,,,,,,,,,,,8,,
37,226,38,1959-01-17,27-177,DET,PHW,-2,,,3,,,,,,1,2,.500,,,,,,,,2,7,,
38,227,39,1959-01-18,27-178,DET,CIN,-19,,,2,,,,,,2,5,.400,,,,,,,,2,6,,
39,228,40,1959-01-21,27-181,DET,PHW,-7,,,11,,,,,,1,1,1.000,,,,,,,,4,23,,
40,229,41,1959-01-24,27-184,DET,NYK,-4,,,5,,,,,,1,2,.500,,,,,,,,4,11,,
41,230,42,1959-01-25,27-185,DET,BOS,-1,,,10,,,,,,5,5,1.000,,,,,,,,3,25,,
42,231,43,1959-01-26,27-186,DET,PHW,-4,,,1,,,,,,0,,,,,,,,,,,2,,
43,232,44,1959-01-27,27-187,DET,SYR,-14,,,5,,,,,,0,0,,,,,,,,,3,10,,
44,233,45,1959-01-30,27-190,DET,MNL,-2,,,0,,,,,,0,0,,,,,,,,,1,0,,
45,234,46,1959-01-31,27-191,DET,CIN,15,,,1,,,,,,2,,,,,,,,,,1,4,,
46,235,47,1959-02-01,27-192,DET,STL,-34,,,9,,,,,,0,,,,,,,,,,0,18,,
47,236,48,1959-02-04,27-195,DET,PHW,2,,,1,,,,,,1,1,1.000,,,,,,,,1,3,,
48,237,49,1959-02-06,27-197,DET,SYR,-19,,,1,,,,,,1,2,.500,,,,,,,,3,3,,
49,238,50,1959-02-08,27-199,DET,MNL,-12,,,5,,,,,,5,7,.714,,,,,,,,1,15,,
50,239,51,1959-02-09,27-200,DET,CIN,25,,,5,,,,,,0,1,.000,,,,,,,,2,10,,
51,240,52,1959-02-11,27-202,DET,SYR,4,,9:00,1,3,.333,,,,1,2,.500,,,2,0,,,,1,3,,
52,241,53,1959-02-13,27-204,DET,NYK,6,,,0,,,,,,1,1,1.000,,,,,,,,0,1,,
53,242,54,1959-02-15,27-206,DET,BOS,-26,,,2,,,,,,1,2,.500,,,,,,,,2,5,,
54,243,55,1959-02-17,27-208,DET,MNL,-7,,,0,,,,,,0,0,,,,,,,,,0,0,,
55,244,56,1959-02-18,27-209,DET,MNL,-10,,,3,,,,,,1,2,.500,,,,,,,,4,7,,
56,245,57,1959-02-20,27-211,DET,BOS,-5,,,1,,,,,,2,2,1.000,,,,,,,,4,4,,
57,246,58,1959-02-21,27-212,DET,NYK,13,,,1,,,,,,0,0,,,,,,,,,0,2,,
58,247,59,1959-02-22,27-213,DET,SYR,-31,,25:00,2,9,.222,,,,1,1,1.000,,,0,4,,,,2,5,,
59,248,60,1959-02-25,27-216,DET,STL,-4,,,1,5,.200,,,,2,2,1.000,,,0,,,,,2,4,,
60,249,61,1959-02-26,27-217,DET,CIN,-5,,,2,,,,,,2,2,1.000,,,,,,,,2,6,,
61,250,62,1959-03-01,27-220,DET,CIN,16,,,0,,,,,,2,3,.667,,,,,,,,1,2,,
62,251,63,1959-03-03,27-222,DET,PHW,-9,,,3,,,,,,1,2,.500,,,,,,,,1,7,,
63,252,64,1959-03-04,27-223,DET,STL,30,,,3,6,.500,,,,0,0,,,,0,,,,,2,6,,
64,253,65,1959-03-07,27-226,DET,STL,-9,,,3,,,,,,0,0,,,,,,,,,2,6,,
