,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,323,1,1977-11-10,27-302,ATL,HOU,31,,,2,,,,,,0,0,,,,,,,,,,4,,
1,324,2,1977-11-11,27-303,ATL,POR,-40,,,1,,,,,,0,0,,,,,,,,,,2,,
2,325,3,1977-11-12,27-304,ATL,SAS,-17,,,0,,,,,,0,0,,,,,,,,,,0,,
3,326,4,1977-11-29,27-321,ATL,BOS,7,,,2,,,,,,2,3,.667,,,,,,,,,6,,
4,327,5,1977-11-30,27-322,ATL,BUF,-12,,,1,,,,,,0,0,,,,,,,,,,2,,
5,328,6,1977-12-03,27-325,ATL,GSW,-17,,,1,,,,,,0,0,,,,,,,,,,2,,
6,329,7,1977-12-04,27-326,ATL,PHO,7,,,1,,,,,,0,0,,,,,,,,,,2,,
7,330,8,1977-12-05,27-327,ATL,SEA,-11,,,0,,,,,,0,0,,,,,,,,,,0,,
8,331,9,1977-12-30,27-352,ATL,DEN,-2,,,1,,,,,,1,2,.500,,,,,,,,,3,,
9,332,10,1978-01-07,27-360,ATL,HOU,23,,,2,,,,,,0,0,,,,,,,,,,4,,
10,333,11,1978-01-17,28-005,ATL,KCK,21,,,1,,,,,,0,0,,,,,,,,,,2,,
11,334,12,1978-01-19,28-007,ATL,CHI,-10,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
12,335,13,1978-01-21,28-009,ATL,IND,11,,,0,,,,,,0,0,,,,,,,,,,0,,
13,336,14,1978-01-22,28-010,ATL,CLE,-4,,,0,,,,,,0,0,,,,,,,,,,0,,
14,337,15,1978-02-08,28-027,ATL,DEN,-5,,,2,,,,,,0,0,,,,,,,,,,4,,
15,338,16,1978-02-09,28-028,ATL,PHO,-27,,,0,,,,,,0,0,,,,,,,,,,0,,
16,339,17,1978-02-12,28-031,ATL,LAL,13,,,1,,,,,,0,0,,,,,,,,,,2,,
17,340,18,1978-02-23,28-042,ATL,SAS,-13,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
18,341,19,1978-02-28,28-047,ATL,BOS,32,,,1,,,,,,0,0,,,,,,,,,,2,,
19,342,20,1978-03-03,28-050,ATL,HOU,23,,,3,,,,,,0,0,,,,,,,,,,6,,
20,343,21,1978-03-07,28-054,ATL,DET,14,,,0,,,,,,0,0,,,,,,,,,,0,,
21,344,22,1978-03-08,28-055,ATL,PHI,-11,,,1,,,,,,0,0,,,,,,,,,,2,,
22,345,23,1978-03-16,28-063,ATL,GSW,-6,,,0,,,,,,0,0,,,,,,,,,,0,,
23,346,24,1978-03-19,28-066,ATL,LAL,-14,,,0,,,,,,0,0,,,,,,,,,,0,,
24,347,25,1978-03-21,28-068,ATL,MIL,-14,,,0,,,,,,0,0,,,,,,,,,,0,,
25,348,26,1978-04-09,28-087,ATL,CHI,14,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
