,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,201,1,1982-10-29,22-230,CLE,BOS,-11,1,41:00,4,15,.267,0,0,,11,14,.786,5,8,13,4,2,1,4,3,19,15.1,
1,202,2,1982-10-31,22-232,CLE,MIL,-24,1,31:00,7,17,.412,0,0,,4,6,.667,4,7,11,2,0,1,1,4,18,12.5,
2,203,3,1982-11-02,22-234,CLE,DET,-9,1,14:00,5,6,.833,0,,,2,2,1.000,0,1,1,2,0,1,2,5,12,8.2,
3,204,4,1982-11-04,22-236,CLE,CHI,-7,1,38:00,11,22,.500,0,0,,4,8,.500,0,6,6,4,2,0,2,4,26,16.4,
4,205,5,1982-11-05,22-237,CLE,NJN,-8,1,40:00,5,18,.278,0,,,6,6,1.000,,,10,1,,2,,3,16,,
5,206,6,1982-11-10,22-242,CLE,GSW,12,1,41:00,8,15,.533,0,0,,1,1,1.000,4,16,20,0,0,1,5,2,17,12.2,
6,207,7,1982-11-12,22-244,CLE,PHO,-13,1,27:00,2,12,.167,0,0,,0,0,,,,10,2,1,0,4,2,4,,
7,208,8,1982-11-14,22-246,CLE,LAL,-13,1,39:00,10,20,.500,0,0,,0,0,,2,9,11,2,0,1,2,3,20,13.0,
8,209,9,1982-11-18,22-250,CLE,SDC,-9,1,27:00,6,12,.500,0,0,,1,4,.250,0,5,5,2,2,2,3,5,13,7.1,
9,210,10,1982-11-19,22-251,CLE,SEA,-7,1,39:00,7,22,.318,0,1,.000,2,2,1.000,1,11,12,3,1,0,1,3,16,8.3,
10,211,11,1982-11-21,22-253,CLE,POR,-50,1,28:00,5,10,.500,0,0,,2,3,.667,3,6,9,1,0,1,3,3,12,7.7,
11,212,12,1982-11-23,22-255,CLE,UTA,-22,1,26:00,5,12,.417,0,0,,7,8,.875,4,5,9,3,0,0,1,3,17,14.4,
12,213,13,1982-11-26,22-258,CLE,PHI,-18,1,33:00,9,18,.500,0,0,,5,6,.833,,,7,3,,1,,2,23,,
13,214,14,1982-11-28,22-260,CLE,KCK,8,1,29:00,6,14,.429,0,0,,5,6,.833,1,12,13,2,3,1,0,5,17,16.6,
14,215,15,1982-11-30,22-262,CLE,MIL,-10,1,30:00,5,13,.385,0,0,,2,2,1.000,3,8,11,3,0,2,5,4,12,6.3,
