,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,83,1,1972-10-10,23-263,CHI,PHI,6,,31:00,4,8,.500,,,,0,0,,,,20,2,,,,6,8,,
1,84,2,1972-10-13,23-266,CHI,DET,-9,,34:00,5,7,.714,,,,3,4,.750,,,15,3,,,,5,13,,
2,85,3,1972-10-14,23-267,CHI,BOS,-8,,,4,,,,,,2,2,1.000,,,,,,,,6,10,,
3,86,4,1972-10-21,23-274,CHI,HOU,33,,,2,,,,,,2,3,.667,,,,,,,,,6,,
4,87,5,1972-10-22,23-275,CHI,LAL,-5,,37:00,9,19,.474,,,,2,5,.400,,,11,3,,,,3,20,,
5,88,6,1972-10-24,23-277,CHI,PHO,1,1,42:00,2,5,.400,,,,3,5,.600,,,14,6,,,,,7,,
6,89,7,1972-10-26,23-279,CHI,GSW,1,,36:00,5,6,.833,,,,0,0,,,,17,4,,,,3,10,,
7,90,8,1972-10-27,23-280,CHI,POR,23,1,31:00,5,7,.714,,,,2,4,.500,,,12,6,,,,3,12,,
8,91,9,1972-10-29,23-282,CHI,SEA,1,,,5,,,,,,2,5,.400,,,,,,,,,12,,
9,92,10,1972-10-31,23-284,CHI,KCO,9,,22:00,3,6,.500,,,,2,2,1.000,,,7,6,,,,5,8,,
10,93,11,1972-11-03,23-287,CHI,PHO,15,,,10,,,,,,0,0,,,,,,,,,,20,,
11,94,12,1972-11-04,23-288,CHI,BUF,-2,,,2,,,,,,2,3,.667,,,,,,,,,6,,
12,95,13,1972-11-11,23-295,CHI,BAL,5,,,5,12,.417,,,,4,7,.571,,,12,,,,,3,14,,
13,96,14,1972-11-14,23-298,CHI,SEA,17,,41:00,5,10,.500,,,,6,10,.600,,,19,3,,,,2,16,,
14,97,15,1972-11-17,23-301,CHI,DET,-13,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
15,98,16,1972-11-18,23-302,CHI,BAL,16,,42:00,5,12,.417,,,,1,3,.333,,,8,7,,,,2,11,,
16,99,17,1972-11-21,23-305,CHI,HOU,8,,35:00,6,10,.600,,,,2,2,1.000,,,13,9,,,,3,14,,
17,100,18,1972-11-24,23-308,CHI,GSW,4,,35:00,1,7,.143,,,,1,2,.500,,,14,2,,,,2,3,,
18,101,19,1972-11-25,23-309,CHI,ATL,1,,,7,,,,,,2,3,.667,,,,,,,,,16,,
19,102,20,1972-11-28,23-312,CHI,KCO,-1,,29:00,3,7,.429,,,,6,6,1.000,,,11,4,,,,3,12,,
20,103,21,1972-11-29,23-313,CHI,MIL,-8,,21:00,1,4,.250,,,,0,0,,,,7,0,,,,2,2,,
21,104,22,1972-12-01,23-315,CHI,KCO,9,,39:00,2,8,.250,,,,6,7,.857,,,18,4,,,,6,10,,
22,105,23,1972-12-02,23-316,CHI,SEA,9,,,3,,,,,,1,2,.500,,,,,,,,,7,,
23,106,24,1972-12-05,23-319,CHI,DET,22,,28:00,3,5,.600,,,,0,0,,,,7,1,,,,3,6,,
24,107,25,1972-12-07,23-321,CHI,ATL,-5,,44:00,5,11,.455,,,,2,4,.500,,,19,3,,,,5,12,,
25,108,26,1972-12-08,23-322,CHI,PHI,16,,30:00,4,8,.500,,,,3,4,.750,,,16,4,,,,3,11,,
26,109,27,1972-12-09,23-323,CHI,BUF,11,,,4,,,,,,0,0,,,,,,,,,,8,,
27,110,28,1972-12-12,23-326,CHI,LAL,-1,,36:00,5,10,.500,,,,0,3,.000,,,20,2,,,,1,10,,
