,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,38,1,1992-04-23,25-129,POR,LAL,13,0,34:00,9,15,.600,0,0,,6,13,.462,2,1,3,3,3,0,1,3,24,18.9,
1,39,2,1992-04-25,25-131,POR,LAL,22,0,15:00,5,10,.500,0,0,,0,0,,1,2,3,1,0,0,2,3,10,3.8,
2,40,3,1992-04-29,25-135,POR,LAL,-2,0,35:00,4,6,.667,0,0,,3,4,.750,2,2,4,4,1,0,2,6,11,9.4,
3,41,4,1992-05-03,25-139,POR,LAL,26,0,27:00,4,8,.500,1,1,1.000,5,10,.500,1,7,8,6,1,0,1,3,14,13.8,
4,42,5,1992-05-05,25-141,POR,PHO,2,0,27:00,4,10,.400,0,0,,5,7,.714,2,4,6,0,1,0,2,5,13,6.4,
5,43,6,1992-05-07,25-143,POR,PHO,7,0,31:00,6,13,.462,0,0,,1,3,.333,1,5,6,1,1,2,2,4,13,7.2,
6,44,7,1992-05-09,25-145,POR,PHO,-7,0,19:00,3,7,.429,0,1,.000,0,0,,1,1,2,1,0,0,2,5,6,0.0,
7,45,8,1992-05-11,25-147,POR,PHO,2,0,20:00,7,10,.700,0,0,,2,2,1.000,1,3,4,0,1,2,1,6,16,12.4,
8,46,9,1992-05-14,25-150,POR,PHO,12,0,23:00,5,10,.500,0,0,,1,2,.500,0,7,7,1,0,5,2,3,11,8.7,
9,47,10,1992-05-16,25-152,POR,UTA,25,0,30:00,2,11,.182,0,2,.000,2,2,1.000,2,3,5,6,2,3,1,3,6,7.5,
10,48,11,1992-05-19,25-155,POR,UTA,17,0,23:00,2,14,.143,0,0,,0,0,,5,2,7,0,1,2,2,3,4,-1.7,
11,49,12,1992-05-22,25-158,POR,UTA,-8,0,19:00,4,6,.667,0,0,,0,0,,0,2,2,1,0,0,2,3,8,3.5,
12,50,13,1992-05-24,25-160,POR,UTA,-9,0,27:00,6,10,.600,0,0,,1,3,.333,2,4,6,4,1,1,1,5,13,11.7,
13,51,14,1992-05-26,25-162,POR,UTA,6,0,18:00,2,5,.400,0,0,,2,4,.500,0,1,1,1,2,1,1,4,6,3.6,
14,52,15,1992-05-28,25-164,POR,UTA,8,0,28:00,5,10,.500,0,1,.000,0,0,,1,5,6,1,3,1,2,5,10,7.6,
15,53,16,1992-06-03,25-170,POR,CHI,-33,0,24:00,7,14,.500,0,0,,2,2,1.000,0,2,2,0,0,0,0,5,16,7.6,
16,54,17,1992-06-05,25-172,POR,CHI,11,0,18:00,0,2,.000,0,0,,3,8,.375,0,2,2,2,0,0,0,4,3,0.0,
17,55,18,1992-06-07,25-174,POR,CHI,-10,0,25:00,2,11,.182,0,1,.000,1,2,.500,1,2,3,1,1,1,2,3,5,-1.8,
18,56,19,1992-06-10,25-177,POR,CHI,5,0,27:00,6,11,.545,0,0,,5,10,.500,2,4,6,4,2,1,1,4,17,15.2,
19,57,20,1992-06-12,25-179,POR,CHI,-13,0,26:00,3,4,.750,0,0,,5,5,1.000,1,3,4,4,0,0,0,6,11,11.4,
20,58,21,1992-06-14,25-181,POR,CHI,-4,0,26:00,5,10,.500,0,0,,0,0,,0,1,1,2,2,2,1,1,10,8.7,
