,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,725,1,1999-02-05,32-051,PHO,LAC,9,1,36:00,8,15,.533,0,0,,3,9,.333,1,1,2,2,1,2,0,3,19,12.9,
1,726,2,1999-02-07,32-053,PHO,DEN,7,1,35:00,3,10,.300,0,0,,6,10,.600,2,5,7,2,1,0,1,4,12,7.3,
2,727,3,1999-02-09,32-055,PHO,SAC,-17,1,33:00,4,10,.400,0,0,,4,5,.800,4,4,8,1,1,1,1,2,12,10.8,
3,728,4,1999-02-11,32-057,PHO,UTA,-8,0,23:00,2,3,.667,0,0,,4,6,.667,0,1,1,1,4,0,2,3,8,7.7,
4,729,5,1999-02-13,32-059,PHO,LAC,3,0,33:00,8,15,.533,2,3,.667,5,7,.714,2,2,4,1,0,1,2,2,23,15.5,
5,730,6,1999-02-15,32-061,PHO,DEN,9,0,30:00,5,8,.625,0,0,,1,4,.250,0,4,4,2,2,0,0,2,11,10.0,
6,731,7,1999-02-16,32-062,PHO,HOU,-17,0,18:00,4,8,.500,2,2,1.000,2,3,.667,4,1,5,2,1,0,5,2,12,7.3,
7,732,8,1999-02-17,32-063,PHO,SAS,3,0,16:00,0,0,,0,0,,1,2,.500,0,2,2,0,1,0,0,3,1,1.0,
8,733,9,1999-02-19,32-065,PHO,DET,-8,0,36:00,9,13,.692,3,4,.750,5,7,.714,0,6,6,5,0,3,0,2,26,26.3,
9,734,10,1999-02-22,32-068,PHO,DAL,18,0,31:00,3,9,.333,0,2,.000,3,4,.750,1,4,5,2,2,0,2,3,9,5.6,
10,735,11,1999-02-25,32-071,PHO,VAN,8,0,30:00,2,6,.333,0,1,.000,5,7,.714,1,3,4,1,3,2,4,3,9,6.3,
11,736,12,1999-02-26,32-072,PHO,GSW,-4,0,32:00,6,15,.400,2,4,.500,3,4,.750,2,3,5,1,1,1,1,5,17,10.2,
12,737,13,1999-02-28,32-074,PHO,GSW,13,0,34:00,8,13,.615,1,2,.500,3,3,1.000,0,7,7,1,1,3,2,1,20,17.6,
13,738,14,1999-03-01,32-075,PHO,LAL,-6,0,26:00,6,13,.462,0,1,.000,1,2,.500,1,2,3,0,1,0,0,2,13,7.4,
14,739,15,1999-03-03,32-077,PHO,LAL,-6,0,20:00,8,13,.615,1,3,.333,3,6,.500,0,0,0,0,2,0,0,5,20,12.9,
15,740,16,1999-03-04,32-078,PHO,SEA,8,0,31:00,5,9,.556,1,1,1.000,2,2,1.000,1,0,1,0,0,0,1,2,13,7.6,
16,741,17,1999-03-06,32-080,PHO,SAC,-12,0,28:00,7,17,.412,1,3,.333,0,2,.000,2,7,9,0,1,1,3,1,15,6.9,
17,742,18,1999-03-09,32-083,PHO,DAL,12,1,43:00,6,14,.429,4,6,.667,2,4,.500,0,6,6,4,0,1,2,2,18,12.3,
18,743,19,1999-03-10,32-084,PHO,CLE,-13,0,24:00,3,14,.214,0,4,.000,2,3,.667,1,5,6,2,1,1,0,5,8,2.3,
19,744,20,1999-03-12,32-086,PHO,SAS,-2,1,38:00,9,11,.818,1,3,.333,1,2,.500,1,1,2,3,1,3,1,2,20,19.9,
20,745,21,1999-03-14,32-088,PHO,HOU,14,1,36:00,6,11,.545,0,2,.000,1,2,.500,1,3,4,3,4,1,1,5,13,12.7,
21,746,22,1999-03-16,32-090,PHO,MIL,18,1,35:00,9,14,.643,0,0,,2,2,1.000,2,3,5,2,1,1,3,3,20,15.0,
22,747,23,1999-03-17,32-091,PHO,CHH,-8,1,39:00,8,13,.615,1,2,.500,2,2,1.000,3,8,11,3,5,0,2,5,19,20.7,
23,748,24,1999-03-19,32-093,PHO,ATL,-8,1,33:00,4,14,.286,0,2,.000,7,9,.778,2,2,4,0,2,1,0,4,15,9.1,
24,749,25,1999-03-20,32-094,PHO,HOU,-10,1,43:00,6,13,.462,1,2,.500,4,6,.667,1,4,5,4,1,2,0,4,17,15.0,
25,750,26,1999-03-22,32-096,PHO,VAN,5,1,36:00,3,8,.375,1,2,.500,3,4,.750,2,6,8,4,4,4,3,3,10,13.8,
26,751,27,1999-03-24,32-098,PHO,LAL,5,1,40:00,5,13,.385,1,1,1.000,13,14,.929,2,3,5,3,0,2,0,2,24,21.5,
27,752,28,1999-03-25,32-099,PHO,POR,-13,1,46:00,8,15,.533,3,5,.600,2,3,.667,1,1,2,5,4,1,1,1,21,21.1,
28,753,29,1999-03-26,32-100,PHO,NYK,-7,1,42:00,6,13,.462,1,3,.333,4,5,.800,2,2,4,5,3,3,4,2,17,15.7,
29,754,30,1999-03-28,32-102,PHO,POR,-2,1,40:00,5,12,.417,1,3,.333,0,1,.000,1,4,5,5,2,0,2,1,11,9.2,
30,755,31,1999-03-31,32-105,PHO,GSW,15,1,34:00,5,15,.333,1,1,1.000,5,8,.625,3,1,4,3,0,0,0,0,16,10.8,
31,756,32,1999-04-02,32-107,PHO,LAL,-1,1,39:00,10,14,.714,2,3,.667,8,8,1.000,0,0,0,3,2,2,4,2,30,24.9,
32,757,33,1999-04-03,32-108,PHO,POR,-5,1,40:00,5,12,.417,2,4,.500,5,8,.625,1,1,2,6,2,4,3,3,17,15.2,
33,758,34,1999-04-06,32-111,PHO,LAC,5,1,44:00,9,17,.529,1,5,.200,3,4,.750,1,3,4,3,0,1,4,3,22,12.5,
34,759,35,1999-04-07,32-112,PHO,MIN,8,1,39:00,11,20,.550,2,4,.500,3,5,.600,3,1,4,4,5,5,3,4,27,25.7,
35,760,36,1999-04-09,32-114,PHO,UTA,-1,1,27:00,4,8,.500,1,3,.333,1,2,.500,0,1,1,2,2,2,0,6,10,8.3,
36,761,37,1999-04-10,32-115,PHO,SAS,26,1,28:00,9,16,.563,2,3,.667,2,2,1.000,0,2,2,6,0,1,3,4,22,15.3,
37,762,38,1999-04-12,32-117,PHO,SAS,-17,1,39:00,10,23,.435,3,7,.429,2,4,.500,1,0,1,2,1,1,3,6,25,10.5,
38,763,39,1999-04-14,32-119,PHO,SEA,7,1,32:00,7,12,.583,2,3,.667,2,2,1.000,0,2,2,2,0,0,0,4,18,12.8,
39,764,40,1999-04-16,32-121,PHO,DAL,7,1,39:00,9,16,.563,1,5,.200,2,4,.500,0,5,5,2,0,1,5,4,21,9.6,
40,765,41,1999-04-18,32-123,PHO,SEA,6,1,45:00,8,16,.500,0,3,.000,7,8,.875,4,3,7,2,2,1,1,3,23,20.2,
41,766,42,1999-04-20,32-125,PHO,DAL,-4,1,42:00,7,16,.438,0,1,.000,3,5,.600,3,2,5,5,2,2,3,4,17,12.8,
42,767,43,1999-04-21,32-126,PHO,UTA,9,1,40:00,5,17,.294,1,3,.333,2,3,.667,1,6,7,3,1,0,1,4,13,5.7,
43,768,44,1999-04-25,32-130,PHO,HOU,24,1,28:00,5,10,.500,1,3,.333,4,6,.667,0,5,5,1,0,3,1,4,15,10.9,
44,769,45,1999-04-26,32-131,PHO,UTA,14,1,42:00,3,10,.300,0,3,.000,5,6,.833,1,3,4,2,4,0,3,5,11,6.8,
45,770,46,1999-04-28,32-133,PHO,MIN,-5,1,41:00,4,11,.364,0,2,.000,5,6,.833,2,6,8,3,1,0,1,2,13,11.0,
46,771,47,1999-04-29,32-134,PHO,DEN,11,1,42:00,7,18,.389,6,10,.600,5,6,.833,4,2,6,5,1,0,2,4,25,19.1,
47,772,48,1999-05-01,32-136,PHO,VAN,30,1,35:00,5,12,.417,1,6,.167,0,0,,3,4,7,4,2,0,4,4,11,7.1,
48,773,49,1999-05-02,32-137,PHO,SAC,-11,1,36:00,5,12,.417,4,5,.800,0,0,,2,6,8,2,0,1,1,4,14,10.3,
49,774,50,1999-05-05,32-140,PHO,MIN,4,1,41:00,5,12,.417,1,4,.250,5,7,.714,0,5,5,4,0,1,3,0,16,10.8,
