,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,67,1,1992-04-23,29-306,POR,LAL,13,1,35:00,9,17,.529,0,4,.000,4,6,.667,2,4,6,10,1,0,0,5,22,21.5,
1,68,2,1992-04-25,29-308,POR,LAL,22,1,32:00,7,20,.350,1,3,.333,0,2,.000,3,7,10,5,1,2,0,3,15,11.9,
2,69,3,1992-04-29,29-312,POR,LAL,-2,1,46:00,14,23,.609,2,5,.400,12,13,.923,3,6,9,12,2,0,6,3,42,38.2,
3,70,4,1992-05-03,29-316,POR,LAL,26,1,40:00,7,17,.412,0,3,.000,12,13,.923,3,7,10,7,1,2,1,3,26,25.8,
4,71,5,1992-05-05,29-318,POR,PHO,2,1,37:00,10,24,.417,0,4,.000,6,10,.600,6,4,10,2,3,2,2,5,26,18.8,
5,72,6,1992-05-07,29-320,POR,PHO,7,1,40:00,9,18,.500,1,4,.250,8,12,.667,5,3,8,13,2,0,1,5,27,28.9,
6,73,7,1992-05-09,29-322,POR,PHO,-7,1,39:00,15,30,.500,2,6,.333,5,7,.714,6,1,7,1,2,0,3,4,37,23.8,
7,74,8,1992-05-11,29-324,POR,PHO,2,1,51:00,12,23,.522,1,2,.500,8,11,.727,2,6,8,11,0,3,7,3,33,25.3,
8,75,9,1992-05-14,29-327,POR,PHO,12,1,42:00,14,22,.636,1,4,.250,5,6,.833,1,7,8,8,2,3,3,2,34,32.5,
9,76,10,1992-05-16,29-329,POR,UTA,25,1,30:00,5,13,.385,0,2,.000,1,1,1.000,0,3,3,8,1,0,1,1,11,10.0,
10,77,11,1992-05-19,29-332,POR,UTA,17,1,43:00,12,23,.522,3,6,.500,9,10,.900,2,4,6,12,3,0,1,2,36,36.5,
11,78,12,1992-05-22,29-335,POR,UTA,-8,1,42:00,9,19,.474,2,7,.286,6,6,1.000,1,4,5,7,2,0,4,3,26,19.9,
12,79,13,1992-05-24,29-337,POR,UTA,-9,1,41:00,9,21,.429,2,5,.400,7,9,.778,2,1,3,5,2,0,4,5,27,16.3,
13,80,14,1992-05-26,29-339,POR,UTA,6,1,50:00,9,19,.474,1,4,.250,5,6,.833,3,5,8,7,0,2,3,3,24,19.6,
14,81,15,1992-05-28,29-341,POR,UTA,8,1,41:00,9,18,.500,0,2,.000,0,3,.000,3,4,7,7,1,0,4,3,18,11.8,
15,82,16,1992-06-03,29-347,POR,CHI,-33,1,31:00,5,14,.357,0,2,.000,6,7,.857,4,1,5,7,2,0,4,4,16,12.2,
16,83,17,1992-06-05,29-349,POR,CHI,11,1,38:00,8,20,.400,0,4,.000,10,10,1.000,2,5,7,8,2,0,0,6,26,23.3,
17,84,18,1992-06-07,29-351,POR,CHI,-10,1,42:00,9,17,.529,2,4,.500,12,12,1.000,1,8,9,3,0,0,5,4,32,22.3,
18,85,19,1992-06-10,29-354,POR,CHI,5,1,43:00,9,22,.409,0,4,.000,3,6,.500,3,5,8,9,2,3,2,2,21,19.2,
19,86,20,1992-06-12,29-356,POR,CHI,-13,1,41:00,9,21,.429,0,3,.000,12,14,.857,5,5,10,3,0,1,4,6,30,19.5,
20,87,21,1992-06-14,29-358,POR,CHI,-4,1,43:00,8,24,.333,1,3,.333,7,7,1.000,3,5,8,2,2,2,3,5,24,13.8,
