,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,494,1,1954-11-27,29-257,SYR,NYK,6,,,4,,,,,,2,2,1.000,,,,,,,,2,10,,
1,495,2,1954-11-28,29-258,SYR,NYK,2,,,3,,,,,,1,3,.333,,,,,,,,6,7,,
2,496,3,1954-12-01,29-261,SYR,NYK,-2,,,10,,,,,,3,7,.429,,,,,,,,5,23,,
3,497,4,1954-12-02,29-262,SYR,ROC,4,,,1,,,,,,,,,,,,,,,,2,2,,
4,498,5,1954-12-04,29-264,SYR,PHW,-6,,,3,12,.250,,,,3,3,1.000,,,9,1,,,,1,9,,
5,499,6,1954-12-05,29-265,SYR,PHW,17,,,,,,,,,1,,,,,,,,,,2,1,,
6,500,7,1954-12-07,29-267,SYR,PHW,7,,,2,,,,,,3,,,,,,,,,,1,7,,
7,501,8,1954-12-08,29-268,SYR,ROC,-27,,,1,,,,,,1,,,,,,,,,,2,3,,
8,502,9,1954-12-09,29-269,SYR,BOS,13,,,1,,,,,,2,,,,,,,,,,2,4,,
9,503,10,1954-12-11,29-271,SYR,BOS,-4,,,6,,,,,,,,,,,,,,,,4,12,,
10,504,11,1954-12-12,29-272,SYR,PHW,-9,,,5,,,,,,1,,,,,,,,,,5,11,,
11,505,12,1954-12-14,29-274,SYR,NYK,9,,,5,,,,,,6,11,.545,,,,,,,,5,16,,
12,506,13,1954-12-15,29-275,SYR,NYK,-7,,,2,,,,,,2,4,.500,,,,,,,,5,6,,
13,507,14,1954-12-18,29-278,SYR,MNL,-3,,,2,,,,,,3,,,,,,,,,,2,7,,
14,508,15,1954-12-19,29-279,SYR,MNL,15,,,,,,,,,,,,,,,,,,,,,,
15,509,16,1954-12-25,29-285,SYR,NYK,-8,,,4,,,,,,1,3,.333,,,,,,,,1,9,,
16,510,17,1954-12-26,29-286,SYR,NYK,5,,,4,,,,,,2,2,1.000,,,,,,,,3,10,,
17,511,18,1954-12-28,29-288,SYR,ROC,2,,,4,,,,,,,,,,,,,,,,1,8,,
18,512,19,1954-12-29,29-289,SYR,PHW,-2,,,8,,,,,,3,,,,,,,,,,4,19,,
19,513,20,1955-01-01,29-292,SYR,BOS,6,,,2,,,,,,,1,,,,,,,,,2,4,,
20,514,21,1955-01-02,29-293,SYR,MLH,-12,,,1,,,,,,3,3,1.000,,,,,,,,2,5,,
21,515,22,1955-01-06,29-297,SYR,MNL,-11,,,1,,,,,,,,,,,,,,,,2,2,,
22,516,23,1955-01-08,29-299,SYR,MNL,3,,,3,,,,,,,,,,,,,,,,2,6,,
23,517,24,1955-01-09,29-300,SYR,MLH,-5,,,3,,,,,,1,3,.333,,,,,,,,4,7,,
24,518,25,1955-01-11,29-302,SYR,MNL,-11,,,2,,,,,,1,1,1.000,,,,,,,,5,5,,
