,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,80,1,2000-11-11,22-261,CHI,TOR,-23,0,4:00,1,2,.500,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,2.0,-3
1,81,2,2000-11-14,22-264,CHI,HOU,-27,0,15:00,6,13,.462,1,1,1.000,0,0,,2,0,2,0,1,0,0,3,13,7.5,-2
2,82,3,2000-11-16,22-266,CHI,DEN,-4,0,12:00,2,6,.333,1,3,.333,3,6,.500,1,2,3,1,1,0,0,0,8,6.4,+1
3,83,4,2000-11-18,22-268,CHI,UTA,-45,0,11:00,0,5,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,2,-2.3,-12
4,84,5,2000-11-19,22-269,CHI,LAL,-8,0,16:00,3,7,.429,1,4,.250,0,1,.000,0,0,0,1,0,0,1,4,7,1.0,-11
5,85,6,2000-11-22,22-272,CHI,SAC,-29,0,22:00,4,13,.308,0,1,.000,2,4,.500,0,1,1,2,3,3,3,4,10,3.9,-18
6,86,7,2000-11-26,22-276,CHI,TOR,-12,0,29:00,6,12,.500,2,6,.333,0,0,,1,0,1,1,1,1,2,6,14,6.7,-14
7,87,8,2000-11-28,22-278,CHI,MIN,-20,0,21:00,2,5,.400,1,2,.500,2,2,1.000,1,3,4,3,0,0,1,1,7,6.6,-4
8,88,9,2000-11-30,22-280,CHI,ATL,9,0,17:00,3,6,.500,0,1,.000,1,2,.500,0,3,3,0,1,0,1,3,7,3.3,+1
9,89,10,2000-12-01,22-281,CHI,NYK,-5,1,10:00,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,1,3,2,-0.5,-9
10,90,11,2000-12-05,22-285,CHI,MIN,-10,1,42:00,3,15,.200,0,2,.000,1,3,.333,5,1,6,2,2,1,4,5,7,-1.2,-15
11,91,12,2000-12-06,22-286,CHI,CLE,-4,0,19:00,2,5,.400,1,2,.500,0,0,,1,0,1,1,1,0,1,0,5,3.7,-7
12,92,13,2000-12-08,22-288,CHI,DAL,-19,0,19:00,6,10,.600,2,4,.500,2,3,.667,1,2,3,1,1,0,1,4,16,11.4,-5
13,93,14,2000-12-09,22-289,CHI,SAS,-24,0,28:00,5,12,.417,1,3,.333,1,1,1.000,0,1,1,1,0,0,1,2,12,4.8,-15
14,94,15,2000-12-11,22-291,CHI,PHO,-6,1,18:00,2,5,.400,1,3,.333,0,0,,0,2,2,3,0,1,1,2,5,3.9,+5
15,95,16,2000-12-13,22-293,CHI,BOS,18,1,24:00,3,6,.500,2,3,.667,0,0,,0,2,2,3,0,1,1,4,8,5.8,+8
16,96,17,2000-12-15,22-295,CHI,ATL,-11,0,6:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,2,2,2,-0.4,+1
17,97,18,2000-12-16,22-296,CHI,PHI,-8,0,8:00,1,3,.333,1,2,.500,0,0,,0,0,0,1,0,0,0,1,3,1.6,-16
18,98,19,2000-12-19,22-299,CHI,IND,-5,0,10:00,0,3,.000,0,2,.000,0,0,,0,0,0,2,0,0,0,1,0,-1.1,+12
19,99,20,2000-12-21,22-301,CHI,ORL,-11,0,7:00,0,1,.000,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1,0.9,0
20,100,21,2000-12-23,22-303,CHI,DET,-13,0,10:00,0,2,.000,0,2,.000,2,2,1.000,0,0,0,0,0,0,1,4,2,-2.0,-7
21,101,22,2000-12-28,22-308,CHI,SAS,1,0,4:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-1
22,102,23,2000-12-29,22-309,CHI,NYK,-27,0,14:00,2,4,.500,2,4,.500,0,0,,0,0,0,1,2,1,0,2,6,6.6,+5
23,103,24,2000-12-31,22-311,CHI,NJN,9,0,6:00,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,1,0,2,1.7,+5
24,104,25,2001-01-02,22-313,CHI,MIL,-34,0,22:00,1,10,.100,0,2,.000,3,4,.750,0,1,1,2,0,0,0,5,5,-2.3,-11
25,105,26,2001-01-08,22-319,CHI,DAL,-13,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
26,106,27,2001-01-09,22-320,CHI,CHH,-7,0,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+5
27,107,28,2001-01-15,22-326,CHI,ORL,-9,0,6:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-5
28,108,29,2001-01-17,22-328,CHI,PHI,-11,0,5:00,1,2,.500,0,0,,4,6,.667,2,0,2,1,0,0,0,1,6,5.9,-7
29,109,30,2001-01-18,22-329,CHI,DET,-6,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
30,110,31,2001-01-20,22-331,CHI,NJN,-20,0,14:00,1,4,.250,0,1,.000,0,0,,0,2,2,1,0,0,1,1,2,-0.5,-8
31,111,32,2001-01-23,22-334,CHI,POR,-4,0,21:00,2,7,.286,0,2,.000,1,2,.500,2,3,5,4,1,0,2,3,5,3.4,+2
32,112,33,2001-01-24,22-335,CHI,CLE,-8,0,12:00,1,2,.500,0,1,.000,2,4,.500,0,2,2,1,0,1,0,6,4,1.8,+13
33,113,34,2001-01-30,22-341,CHI,POR,-11,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
34,114,35,2001-02-05,22-347,CHI,LAC,-20,0,2:00,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,1,2,2.3,+1
35,115,36,2001-02-06,22-348,CHI,PHO,-17,0,14:00,1,4,.250,0,1,.000,1,1,1.000,0,1,1,0,1,0,1,2,3,0.1,-1
36,116,37,2001-02-19,22-361,CHI,CLE,-1,0,14:00,0,2,.000,0,1,.000,2,2,1.000,0,0,0,1,0,1,0,2,2,1.2,0
37,117,38,2001-02-20,22-362,CHI,MIL,-9,0,26:00,4,10,.400,0,3,.000,2,3,.667,1,4,5,6,3,0,2,4,10,9.7,-7
