,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,347,1,2004-11-03,24-357,LAC,SEA,30,1,39:00,5,14,.357,1,4,.250,7,10,.700,1,3,4,6,2,0,2,2,18,14.0,+27
1,348,2,2004-11-05,24-359,LAC,POR,-13,1,35:00,5,20,.250,1,3,.333,1,1,1.000,0,1,1,3,0,0,2,3,12,-0.8,-11
2,349,3,2004-11-06,24-360,LAC,GSW,8,1,40:00,9,16,.563,1,2,.500,7,9,.778,2,2,4,6,1,0,7,4,26,16.2,+3
3,350,4,2004-11-08,24-362,LAC,DET,-3,1,47:00,6,13,.462,0,3,.000,13,15,.867,2,17,19,4,1,0,5,5,25,20.8,-1
4,351,5,2004-11-10,24-364,LAC,IND,34,1,29:00,5,13,.385,0,1,.000,3,4,.750,1,5,6,7,2,0,0,0,13,14.6,+13
5,352,6,2004-11-12,25-000,LAC,NYK,-14,1,37:00,10,17,.588,0,1,.000,9,11,.818,0,3,3,3,1,0,3,3,29,20.1,-18
6,353,7,2004-11-13,25-001,LAC,CHI,1,1,38:00,6,14,.429,0,1,.000,11,13,.846,1,5,6,4,1,0,2,1,23,18.4,+4
7,354,8,2004-11-16,25-004,LAC,TOR,12,1,29:00,7,12,.583,1,1,1.000,7,9,.778,0,1,1,2,1,0,4,2,22,13.5,+25
8,355,9,2004-11-17,25-005,LAC,LAL,-14,1,40:00,9,25,.360,3,7,.429,3,3,1.000,2,3,5,2,2,0,5,3,24,9.6,-13
9,356,10,2004-11-20,25-008,LAC,HOU,-5,1,44:00,5,13,.385,1,3,.333,2,4,.500,0,4,4,2,1,0,3,3,13,4.5,-9
10,357,11,2004-11-21,25-009,LAC,PHO,-11,1,26:00,4,12,.333,0,1,.000,1,2,.500,0,2,2,4,0,0,3,2,9,1.4,-13
11,358,12,2004-11-25,25-013,LAC,NJN,13,1,40:00,4,12,.333,0,3,.000,8,8,1.000,0,6,6,3,0,0,3,4,16,8.5,+9
12,359,13,2004-11-26,25-014,LAC,GSW,11,1,14:00,3,5,.600,0,1,.000,5,5,1.000,1,3,4,0,0,0,2,4,11,6.7,+6
13,360,14,2004-12-01,25-019,LAC,IND,12,1,38:00,4,11,.364,0,3,.000,9,10,.900,1,8,9,4,2,0,0,2,17,17.6,+11
14,361,15,2004-12-04,25-022,LAC,MIN,-7,1,41:00,10,19,.526,1,3,.333,13,14,.929,1,8,9,1,0,0,5,5,34,21.1,-10
15,362,16,2004-12-06,25-024,LAC,CHA,6,1,49:00,7,13,.538,0,0,,19,21,.905,3,8,11,3,0,1,5,2,33,27.4,+4
16,363,17,2004-12-11,25-029,LAC,LAL,-2,1,41:00,8,25,.320,1,5,.200,10,13,.769,1,4,5,3,2,0,3,3,27,13.3,-7
17,364,18,2004-12-13,25-031,LAC,BOS,-7,1,49:00,10,21,.476,1,5,.200,17,19,.895,2,5,7,6,1,0,6,4,38,27.0,-5
18,365,19,2004-12-14,25-032,LAC,UTA,-2,1,36:00,9,14,.643,1,2,.500,9,10,.900,1,4,5,2,0,1,5,4,28,18.8,-2
19,366,20,2004-12-17,25-035,LAC,MIN,-27,1,35:00,3,17,.176,1,6,.167,8,9,.889,0,3,3,4,0,1,1,3,15,6.1,-15
20,367,21,2004-12-19,25-037,LAC,MEM,-10,1,36:00,4,10,.400,0,4,.000,14,17,.824,1,4,5,3,1,0,7,4,22,11.8,-16
21,368,22,2004-12-26,25-044,LAC,HOU,-17,1,33:00,7,14,.500,1,2,.500,8,9,.889,2,5,7,8,0,0,4,2,23,19.3,-8
22,369,23,2004-12-27,25-045,LAC,MEM,-20,1,33:00,3,15,.200,0,0,,8,10,.800,0,4,4,1,2,0,5,1,14,2.4,-23
23,370,24,2004-12-29,25-047,LAC,UTA,11,1,42:00,6,15,.400,0,1,.000,10,11,.909,3,3,6,1,0,1,1,4,22,15.3,+16
24,371,25,2004-12-31,25-049,LAC,SAS,-19,1,43:00,4,12,.333,2,3,.667,7,8,.875,1,9,10,2,1,0,2,2,17,12.8,-13
25,372,26,2005-01-02,25-051,LAC,PHI,6,1,44:00,8,14,.571,1,2,.500,9,12,.750,0,5,5,5,3,0,4,2,26,21.4,+12
26,373,27,2005-01-03,25-052,LAC,DEN,4,1,41:00,8,16,.500,1,4,.250,16,19,.842,1,10,11,3,1,0,2,5,33,26.6,-1
27,374,28,2005-01-05,25-054,LAC,POR,4,1,38:00,8,12,.667,2,3,.667,13,13,1.000,0,3,3,4,1,0,2,4,31,26.9,+15
28,375,29,2005-01-08,25-057,LAC,PHO,-17,1,36:00,6,18,.333,0,3,.000,3,4,.750,1,5,6,4,2,0,4,2,15,6.6,-14
29,376,30,2005-01-11,25-060,LAC,SEA,-5,1,37:00,6,15,.400,1,3,.333,7,9,.778,0,3,3,7,0,1,4,2,20,12.8,-5
30,377,31,2005-01-12,25-061,LAC,SEA,11,1,43:00,11,19,.579,2,4,.500,7,7,1.000,1,9,10,5,3,0,0,3,31,30.8,+10
31,378,32,2005-01-14,25-063,LAC,MIA,2,1,41:00,8,22,.364,1,2,.500,11,13,.846,1,9,10,5,0,0,2,4,28,18.3,-18
32,379,33,2005-01-15,25-064,LAC,SAC,-4,1,26:00,4,13,.308,1,1,1.000,5,6,.833,1,2,3,3,1,0,4,1,14,6.1,-2
33,380,34,2005-01-17,25-066,LAC,SAC,-6,1,37:00,2,17,.118,0,3,.000,6,7,.857,2,3,5,1,0,0,1,4,10,-1.1,-13
34,381,35,2005-01-19,25-068,LAC,SAS,-1,1,37:00,7,16,.438,1,3,.333,5,5,1.000,1,4,5,0,2,0,5,3,20,9.3,+7
35,382,36,2005-01-20,25-069,LAC,DAL,-22,1,29:00,4,11,.364,0,1,.000,6,6,1.000,3,2,5,3,0,0,2,3,14,9.5,-26
36,383,37,2005-01-26,25-075,LAC,LAL,16,0,25:00,7,14,.500,2,4,.500,4,5,.800,2,3,5,1,1,0,4,2,20,11.8,+15
37,384,38,2005-01-28,25-077,LAC,POR,-4,0,26:00,4,6,.667,0,0,,0,0,,0,3,3,2,2,0,4,2,8,4.9,-13
38,385,39,2005-02-09,25-089,LAC,BOS,-5,0,30:00,4,12,.333,0,3,.000,13,16,.813,4,4,8,4,2,0,1,4,21,19.2,+8
39,386,40,2005-02-11,25-091,LAC,WAS,-3,0,29:00,6,17,.353,1,6,.167,7,7,1.000,0,3,3,3,0,1,1,2,20,12.4,+4
40,387,41,2005-02-13,25-093,LAC,TOR,-3,0,32:00,5,14,.357,1,2,.500,6,7,.857,0,6,6,3,0,0,1,1,17,11.3,-12
41,388,42,2005-02-15,25-095,LAC,ORL,-5,0,28:00,3,10,.300,0,0,,6,8,.750,2,8,10,0,2,0,1,4,12,8.6,+3
42,389,43,2005-02-16,25-096,LAC,MIA,-18,1,40:00,8,21,.381,1,4,.250,6,8,.750,2,5,7,3,1,0,4,2,23,11.9,-4
43,390,44,2005-02-23,25-103,LAC,PHO,-17,1,38:00,9,22,.409,0,2,.000,2,3,.667,2,6,8,5,2,0,2,3,20,13.3,-10
44,391,45,2005-02-24,25-104,LAC,MIN,6,1,38:00,5,10,.500,0,0,,13,16,.813,1,5,6,4,0,0,4,1,23,17.4,+7
45,392,46,2005-02-27,25-107,LAC,ATL,7,1,34:00,6,13,.462,1,1,1.000,12,12,1.000,0,3,3,2,2,0,2,3,25,19.4,-3
46,393,47,2005-02-28,25-108,LAC,UTA,-1,1,38:00,3,8,.375,0,0,,10,10,1.000,1,4,5,1,2,0,4,2,16,11.4,-2
47,394,48,2005-03-02,25-110,LAC,DAL,9,1,35:00,10,17,.588,0,5,.000,14,16,.875,1,7,8,3,1,0,2,5,34,27.2,+10
48,395,49,2005-03-05,25-113,LAC,DEN,-16,1,39:00,3,14,.214,0,2,.000,4,4,1.000,2,6,8,1,0,0,2,3,10,2.1,-13
49,396,50,2005-03-07,25-115,LAC,MEM,-3,1,41:00,11,18,.611,2,3,.667,13,16,.813,1,5,6,5,0,0,3,5,37,28.3,+5
50,397,51,2005-03-08,25-116,LAC,LAL,9,1,39:00,9,11,.818,0,1,.000,12,13,.923,0,3,3,7,2,0,1,4,30,30.7,+20
51,398,52,2005-03-11,25-119,LAC,SAC,-1,1,35:00,10,22,.455,1,2,.500,5,5,1.000,1,9,10,3,0,0,1,2,26,18.3,+2
52,399,53,2005-03-13,25-121,LAC,CHI,5,1,38:00,6,12,.500,0,0,,7,7,1.000,0,3,3,1,2,1,3,2,19,13.5,+10
53,400,54,2005-03-16,25-124,LAC,ORL,8,1,40:00,9,16,.563,2,2,1.000,11,15,.733,1,5,6,8,2,0,4,2,31,26.8,+19
54,401,55,2005-03-18,25-126,LAC,DEN,-19,1,36:00,6,14,.429,2,3,.667,12,14,.857,0,7,7,1,1,0,2,5,26,17.6,-11
55,402,56,2005-03-19,25-127,LAC,SAC,-4,1,46:00,9,21,.429,0,1,.000,10,11,.909,1,11,12,7,0,1,4,3,28,20.9,+5
56,403,57,2005-03-21,25-129,LAC,POR,7,1,38:00,6,13,.462,0,3,.000,10,14,.714,1,6,7,6,2,0,5,3,22,16.2,+11
57,404,58,2005-03-23,25-131,LAC,MIL,8,1,36:00,10,15,.667,4,5,.800,10,12,.833,1,1,2,4,0,0,2,2,34,27.7,+10
58,405,59,2005-03-25,25-133,LAC,WAS,4,1,36:00,8,16,.500,0,2,.000,10,12,.833,2,3,5,3,2,0,2,1,26,21.2,-12
59,406,60,2005-03-27,25-135,LAC,MIN,-4,1,38:00,4,18,.222,0,4,.000,6,8,.750,3,10,13,5,1,0,2,1,14,9.4,+12
60,407,61,2005-03-29,25-137,LAC,CLE,-10,1,48:00,5,15,.333,1,4,.250,15,18,.833,0,5,5,7,2,0,1,3,26,22.5,-10
61,408,62,2005-03-30,25-138,LAC,NJN,-17,1,37:00,5,15,.333,1,4,.250,6,8,.750,0,2,2,1,1,0,5,4,17,3.4,-12
62,409,63,2005-04-03,25-142,LAC,ATL,20,1,39:00,8,11,.727,1,1,1.000,8,8,1.000,2,4,6,2,1,0,3,2,25,21.7,+21
63,410,64,2005-04-05,25-144,LAC,CHA,2,1,40:00,9,20,.450,1,4,.250,15,16,.938,1,5,6,0,3,0,4,5,34,22.4,+6
64,411,65,2005-04-06,25-145,LAC,SAS,-9,1,38:00,6,16,.375,3,5,.600,8,9,.889,1,4,5,5,1,0,3,2,23,16.4,-14
65,412,66,2005-04-09,25-148,LAC,SAS,-1,1,36:00,6,10,.600,1,1,1.000,11,13,.846,1,3,4,4,1,0,3,6,24,18.6,+7
