,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,288,1,2012-10-30,27-027,BOS,MIA,-13,1,24:00,5,6,.833,1,1,1.000,0,0,,0,1,1,1,0,0,1,5,11,6.8,-7
1,289,2,2012-11-02,27-030,BOS,MIL,-11,1,32:59,3,7,.429,1,3,.333,0,0,,1,1,2,1,1,0,3,2,7,2.2,-14
2,290,3,2012-11-03,27-031,BOS,WAS,3,1,28:47,2,7,.286,0,4,.000,0,0,,0,2,2,1,1,0,0,0,4,2.2,+10
3,291,4,2012-11-07,27-035,BOS,WAS,6,1,18:36,0,3,.000,0,1,.000,2,2,1.000,0,0,0,1,0,0,0,1,2,0.2,-2
4,292,5,2012-11-09,27-037,BOS,PHI,-6,1,18:36,3,5,.600,0,1,.000,0,0,,0,3,3,0,0,0,2,0,6,2.6,-6
5,293,6,2012-11-10,27-038,BOS,MIL,4,0,28:00,0,3,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,0,0,-1.1,+3
6,294,7,2012-11-12,27-040,BOS,CHI,6,0,17:47,2,3,.667,0,1,.000,0,0,,0,0,0,1,0,0,0,1,4,3.0,-17
7,295,8,2012-11-14,27-042,BOS,UTA,5,0,17:37,3,6,.500,0,1,.000,0,0,,0,2,2,1,1,0,1,1,6,3.9,+11
8,296,9,2012-11-15,27-043,BOS,BRK,-5,0,33:28,4,8,.500,1,2,.500,4,4,1.000,3,6,9,3,3,0,1,3,13,15.8,-3
9,297,10,2012-11-17,27-045,BOS,TOR,18,0,18:41,2,5,.400,0,0,,0,0,,0,3,3,4,3,0,3,2,4,4.2,+8
10,298,11,2012-11-18,27-046,BOS,DET,-20,0,19:53,1,2,.500,1,2,.500,0,0,,0,1,1,0,1,0,2,2,3,0.5,-7
11,299,12,2012-11-21,27-049,BOS,SAS,-12,0,16:20,2,3,.667,0,0,,0,0,,0,1,1,0,0,0,4,1,4,-1.4,-14
12,300,13,2012-11-23,27-051,BOS,OKC,8,0,18:43,2,5,.400,0,2,.000,0,0,,0,1,1,3,1,0,1,1,4,3.3,+8
13,301,14,2012-11-25,27-053,BOS,ORL,6,0,24:21,2,4,.500,1,1,1.000,0,0,,1,1,2,1,1,1,0,3,5,5.2,-6
14,302,15,2012-11-28,27-056,BOS,BRK,-12,0,27:22,2,5,.400,0,0,,0,0,,1,3,4,0,1,1,2,1,4,2.2,-15
