,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1991-11-18,22-238,IND,DET,17,0,13:00,0,0,,0,0,,0,0,,1,4,5,0,0,2,0,1,0,2.9,
1,2,2,1991-11-20,22-240,IND,BOS,-15,0,16:00,2,5,.400,0,0,,2,4,.500,3,6,9,0,1,0,1,3,6,5.2,
2,3,3,1991-11-22,22-242,IND,CHH,-2,0,8:00,2,4,.500,0,0,,2,4,.500,3,0,3,0,0,0,1,2,6,3.5,
3,4,4,1991-11-23,22-243,IND,MIA,36,0,22:00,3,8,.375,0,0,,6,10,.600,2,2,4,0,1,1,3,2,12,5.9,
4,5,5,1991-11-27,22-247,IND,DAL,-7,0,19:00,2,4,.500,0,0,,2,4,.500,4,2,6,0,2,3,2,3,6,7.5,
5,6,6,1991-11-29,22-249,IND,HOU,20,0,17:00,9,10,.900,0,0,,1,1,1.000,3,4,7,0,0,0,1,2,19,17.1,
6,7,7,1991-11-30,22-250,IND,MIL,-18,0,16:00,2,4,.500,0,0,,2,4,.500,2,4,6,0,0,0,0,4,6,4.2,
7,8,8,1991-12-03,22-253,IND,DET,9,1,25:00,3,4,.750,0,0,,2,4,.500,3,5,8,1,0,0,0,3,8,8.7,
8,9,9,1991-12-04,22-254,IND,PHO,-6,1,26:00,2,3,.667,0,0,,2,4,.500,2,5,7,0,0,1,1,2,6,5.7,
9,10,10,1991-12-06,22-256,IND,MIL,20,1,27:00,2,5,.400,0,0,,2,2,1.000,5,5,10,2,1,3,0,3,6,11.6,
10,11,11,1991-12-07,22-257,IND,POR,-3,1,22:00,2,4,.500,0,0,,1,2,.500,1,5,6,2,0,1,0,4,5,5.3,
11,12,12,1991-12-10,22-260,IND,SAS,7,1,26:00,0,3,.000,0,0,,3,4,.750,5,6,11,3,2,2,1,3,3,9.1,
12,13,13,1991-12-13,22-263,IND,DAL,16,1,16:00,2,4,.500,0,0,,0,0,,1,2,3,1,1,0,0,2,4,4.2,
13,14,14,1991-12-14,22-264,IND,DEN,21,1,19:00,4,7,.571,0,0,,2,2,1.000,2,6,8,0,0,3,0,4,10,10.4,
14,15,15,1991-12-17,22-267,IND,ATL,-4,1,12:00,3,6,.500,0,0,,0,0,,3,4,7,1,0,0,3,1,6,3.6,
15,16,16,1991-12-18,22-268,IND,MIA,-6,1,28:00,2,5,.400,0,0,,0,0,,2,8,10,0,1,0,4,5,4,0.1,
16,17,17,1991-12-21,22-271,IND,NJN,9,1,25:00,1,4,.250,0,0,,2,2,1.000,3,4,7,1,1,1,1,4,4,4.7,
17,18,18,1991-12-26,22-276,IND,PHI,-3,1,15:00,2,4,.500,0,0,,0,0,,2,1,3,2,0,0,0,2,4,4.3,
18,19,19,1991-12-28,22-278,IND,NYK,-9,1,19:00,2,5,.400,0,0,,1,1,1.000,0,7,7,2,0,2,0,0,5,7.2,
19,20,20,1991-12-30,22-280,IND,CHI,-5,1,15:00,2,5,.400,0,0,,0,1,.000,2,2,4,0,0,0,0,1,4,2.5,
20,21,21,1992-01-03,22-284,IND,LAL,27,1,14:00,1,2,.500,0,0,,0,0,,1,5,6,0,0,0,1,5,2,0.2,
21,22,22,1992-01-04,22-285,IND,GSW,-19,1,17:00,5,7,.714,0,0,,1,2,.500,5,6,11,0,1,1,0,4,11,13.1,
22,23,23,1992-01-06,22-287,IND,UTA,-16,1,18:00,1,2,.500,0,0,,0,0,,1,0,1,0,1,0,0,3,2,1.5,
23,24,24,1992-01-08,22-289,IND,LAC,-2,1,15:00,0,1,.000,0,0,,0,0,,2,5,7,1,0,1,2,1,0,1.2,
24,25,25,1992-01-11,22-292,IND,ATL,23,1,15:00,1,1,1.000,0,0,,2,4,.500,1,4,5,0,0,0,2,5,4,0.8,
25,26,26,1992-01-14,22-295,IND,WSB,-9,1,19:00,4,5,.800,0,0,,3,4,.750,4,1,5,0,0,1,1,2,11,10.7,
26,27,27,1992-01-15,22-296,IND,DET,-14,1,32:00,5,8,.625,0,0,,1,3,.333,5,4,9,2,0,1,2,5,11,9.4,
