,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,150,1,1993-04-30,34-044,PHO,LAL,-4,0,27:00,4,13,.308,1,5,.200,1,1,1.000,0,1,1,2,2,0,1,3,10,4.0,
1,151,2,1993-05-02,34-046,PHO,LAL,-5,0,20:00,1,7,.143,0,2,.000,0,0,,2,2,4,1,0,0,0,0,2,0.2,
2,152,3,1993-05-04,34-048,PHO,LAL,5,0,20:00,5,6,.833,3,4,.750,0,0,,0,1,1,3,1,0,2,2,13,11.4,
3,153,4,1993-05-06,34-050,PHO,LAL,15,0,28:00,4,7,.571,2,3,.667,3,4,.750,0,3,3,2,0,0,1,3,13,9.4,
4,154,5,1993-05-09,34-053,PHO,LAL,8,0,37:00,2,6,.333,1,2,.500,4,4,1.000,2,5,7,3,0,0,2,2,9,7.8,
5,155,6,1993-05-11,34-055,PHO,SAS,9,0,12:00,2,7,.286,0,4,.000,2,2,1.000,0,2,2,2,1,1,1,2,6,3.8,
6,156,7,1993-05-13,34-057,PHO,SAS,6,0,20:00,1,7,.143,1,3,.333,0,1,.000,0,6,6,1,0,0,2,3,3,-2.6,
7,157,8,1993-05-15,34-059,PHO,SAS,-15,0,26:00,0,5,.000,0,4,.000,2,2,1.000,0,0,0,2,0,0,2,2,2,-2.9,
8,158,9,1993-05-16,34-060,PHO,SAS,-14,0,28:00,6,10,.600,3,5,.600,0,0,,1,1,2,0,0,0,0,5,15,9.4,
9,159,10,1993-05-18,34-062,PHO,SAS,12,0,24:00,3,8,.375,2,4,.500,0,0,,1,0,1,2,1,0,1,2,8,4.9,
10,160,11,1993-05-20,34-064,PHO,SAS,2,0,25:00,2,8,.250,1,2,.500,1,2,.500,0,1,1,4,0,0,0,4,6,2.3,
11,161,12,1993-05-24,34-068,PHO,SEA,14,0,24:00,4,13,.308,3,7,.429,0,0,,1,0,1,3,0,1,2,4,11,3.4,
12,162,13,1993-05-26,34-070,PHO,SEA,-4,0,16:00,1,6,.167,1,4,.250,3,3,1.000,1,0,1,3,1,0,0,1,6,5.6,
13,163,14,1993-05-28,34-072,PHO,SEA,7,0,27:00,3,6,.500,1,4,.250,0,0,,1,1,2,4,1,0,0,2,7,8.0,
14,164,15,1993-05-30,34-074,PHO,SEA,-19,0,26:00,2,4,.500,2,3,.667,3,3,1.000,1,2,3,3,1,0,0,4,9,9.8,
15,165,16,1993-06-01,34-076,PHO,SEA,6,0,11:00,0,1,.000,0,1,.000,2,2,1.000,1,0,1,1,0,0,0,1,2,2.3,
16,166,17,1993-06-03,34-078,PHO,SEA,-16,0,31:00,2,10,.200,1,6,.167,2,2,1.000,1,1,2,2,0,0,1,4,7,0.6,
17,167,18,1993-06-05,34-080,PHO,SEA,13,0,27:00,3,6,.500,3,5,.600,4,4,1.000,1,3,4,3,2,0,0,5,13,13.7,
18,168,19,1993-06-09,34-084,PHO,CHI,-8,0,20:00,2,4,.500,0,1,.000,0,1,.000,0,1,1,1,0,0,0,3,4,1.4,
19,169,20,1993-06-11,34-086,PHO,CHI,-3,0,29:00,8,14,.571,3,4,.750,1,1,1.000,3,0,3,4,0,0,2,1,20,15.9,
20,170,21,1993-06-13,34-088,PHO,CHI,8,0,40:00,2,5,.400,2,3,.667,4,4,1.000,1,4,5,5,0,0,1,4,10,10.1,
21,171,22,1993-06-16,34-091,PHO,CHI,-6,0,21:00,1,5,.200,0,0,,0,0,,1,2,3,2,0,0,1,3,2,-0.6,
22,172,23,1993-06-18,34-093,PHO,CHI,10,0,22:00,3,6,.500,1,1,1.000,1,2,.500,2,1,3,1,0,0,1,1,8,5.6,
23,173,24,1993-06-20,34-095,PHO,CHI,-1,0,30:00,3,6,.500,2,3,.667,1,1,1.000,0,3,3,2,2,0,2,0,9,8.3,
