,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,236,1,1988-11-04,26-101,POR,PHO,15,0,10:00,2,3,.667,0,0,,1,2,.500,0,2,2,2,1,0,1,1,5,4.9,
1,237,2,1988-11-05,26-102,POR,SAC,18,0,16:00,2,7,.286,0,1,.000,0,0,,0,1,1,2,2,0,0,1,4,3.2,
2,238,3,1988-11-10,26-107,POR,DEN,-20,0,21:00,2,6,.333,0,1,.000,3,4,.750,1,1,2,2,1,1,2,0,7,5.3,
3,239,4,1988-11-12,26-109,POR,GSW,-7,0,17:00,2,4,.500,1,3,.333,1,2,.500,0,2,2,1,0,0,1,1,6,3.5,
4,240,5,1988-11-13,26-110,POR,DEN,-11,0,11:00,1,6,.167,0,0,,1,2,.500,0,1,1,1,0,0,0,1,3,-0.6,
5,241,6,1988-11-15,26-112,POR,LAC,22,0,14:00,0,1,.000,0,0,,2,2,1.000,0,0,0,4,1,0,2,0,2,3.1,
6,242,7,1988-11-17,26-114,POR,UTA,-24,0,26:00,1,3,.333,0,1,.000,0,0,,1,0,1,1,1,0,0,2,2,1.9,
7,243,8,1988-11-18,26-115,POR,LAL,-1,0,19:00,3,3,1.000,0,0,,0,0,,0,3,3,4,1,0,0,3,6,8.6,
8,244,9,1988-11-20,26-117,POR,NJN,11,0,22:00,0,2,.000,0,0,,1,1,1.000,0,2,2,4,0,0,0,2,1,2.2,
9,245,10,1988-11-22,26-119,POR,SEA,21,0,22:00,3,6,.500,0,0,,5,5,1.000,2,1,3,5,2,0,0,2,11,14.4,
10,246,11,1988-11-25,26-122,POR,HOU,17,0,26:00,3,5,.600,0,0,,2,2,1.000,1,1,2,5,3,1,2,0,8,11.9,
11,247,12,1988-11-27,26-124,POR,GSW,15,0,23:00,2,5,.400,1,2,.500,2,2,1.000,1,1,2,6,1,0,2,0,7,8.5,
12,248,13,1988-11-29,26-126,POR,MIL,-5,0,21:00,0,2,.000,0,1,.000,0,0,,0,2,2,4,0,0,1,2,0,0.2,
13,249,14,1988-11-30,26-127,POR,PHI,-8,0,13:00,0,3,.000,0,0,,0,0,,0,1,1,3,0,0,1,0,0,-0.7,
14,250,15,1988-12-02,26-129,POR,MIA,3,0,13:00,1,2,.500,0,0,,0,0,,1,1,2,2,0,0,2,2,2,0.6,
15,251,16,1988-12-03,26-130,POR,ATL,-18,0,6:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,
16,252,17,1988-12-06,26-133,POR,NJN,4,0,25:00,3,4,.750,0,0,,0,0,,0,0,0,1,0,0,1,1,6,3.7,
17,253,18,1988-12-07,26-134,POR,IND,-9,0,17:00,2,3,.667,1,1,1.000,0,0,,0,0,0,3,0,0,1,1,5,4.4,
18,254,19,1988-12-09,26-136,POR,WSB,3,0,17:00,1,4,.250,0,0,,0,0,,0,0,0,4,0,0,0,1,2,2.0,
19,255,20,1988-12-11,26-138,POR,SAS,5,0,11:00,0,1,.000,0,0,,0,2,.000,0,2,2,1,1,0,1,1,0,-0.6,
20,256,21,1988-12-13,26-140,POR,LAC,21,0,28:00,3,5,.600,0,0,,2,2,1.000,0,0,0,4,4,0,1,0,8,11.5,
21,257,22,1988-12-16,26-143,POR,PHO,-7,0,12:00,3,5,.600,0,0,,0,0,,0,0,0,2,0,0,0,0,6,5.1,
22,258,23,1988-12-17,26-144,POR,PHO,18,0,25:00,3,8,.375,1,2,.500,0,0,,1,1,2,2,1,0,0,1,7,5.6,
23,259,24,1988-12-20,26-147,POR,DEN,3,0,20:00,4,9,.444,1,2,.500,0,0,,0,0,0,3,3,0,0,0,9,9.4,
24,260,25,1988-12-22,26-149,POR,GSW,8,0,18:00,1,2,.500,0,0,,0,0,,0,1,1,2,1,1,1,0,2,3.4,
25,261,26,1988-12-23,26-150,POR,GSW,4,0,34:00,4,10,.400,1,2,.500,2,2,1.000,0,2,2,5,0,0,0,2,11,8.9,
26,262,27,1988-12-27,26-154,POR,SAC,-1,0,18:00,1,3,.333,0,0,,2,3,.667,0,2,2,2,0,0,0,1,4,3.5,
27,263,28,1989-01-03,26-161,POR,MIA,24,0,21:00,3,5,.600,1,2,.500,0,0,,0,2,2,2,4,0,1,1,7,9.3,
28,264,29,1989-01-04,26-162,POR,LAL,-13,0,14:00,2,7,.286,0,1,.000,0,0,,0,1,1,2,1,0,0,1,4,2.2,
29,265,30,1989-01-06,26-164,POR,SAC,5,0,22:00,1,5,.200,1,3,.333,3,4,.750,0,1,1,5,3,0,0,0,6,9.3,
30,266,31,1989-01-07,26-165,POR,SEA,-6,0,16:00,1,3,.333,0,0,,0,0,,0,2,2,4,0,0,1,0,2,2.7,
31,267,32,1989-01-10,26-168,POR,SEA,16,1,35:00,5,8,.625,2,4,.500,0,0,,0,1,1,4,1,0,3,0,12,9.5,
32,268,33,1989-01-12,26-170,POR,HOU,-10,0,14:00,1,2,.500,1,1,1.000,2,2,1.000,0,1,1,1,2,0,1,0,5,6.0,
33,269,34,1989-01-14,26-172,POR,SAS,4,1,38:00,7,12,.583,2,3,.667,2,3,.667,0,4,4,3,5,0,2,1,18,17.9,
34,270,35,1989-01-15,26-173,POR,DAL,-3,0,15:00,2,3,.667,0,0,,0,0,,0,0,0,2,1,0,0,2,4,4.3,
35,271,36,1989-01-17,26-175,POR,UTA,-1,0,22:00,5,8,.625,1,2,.500,1,1,1.000,0,0,0,2,3,0,1,0,12,11.8,
36,272,37,1989-01-22,26-180,POR,NYK,-4,0,17:00,1,1,1.000,0,0,,3,3,1.000,0,2,2,0,2,0,3,5,5,2.3,
37,273,38,1989-01-24,26-182,POR,SEA,-3,0,21:00,5,8,.625,0,0,,2,2,1.000,1,5,6,4,1,0,3,2,12,10.6,
38,274,39,1989-04-06,26-254,POR,LAC,-10,0,19:00,4,5,.800,1,2,.500,2,2,1.000,0,0,0,3,2,0,3,2,11,9.4,
39,275,40,1989-04-07,26-255,POR,BOS,13,0,20:00,1,6,.167,1,6,.167,2,4,.500,2,1,3,2,1,0,0,1,5,4.1,
40,276,41,1989-04-09,26-257,POR,DEN,6,0,28:00,3,9,.333,0,3,.000,0,2,.000,0,1,1,1,2,0,3,2,6,-0.7,
41,277,42,1989-04-11,26-259,POR,LAC,24,0,19:00,3,9,.333,0,0,,2,2,1.000,2,2,4,3,0,0,0,1,8,6.6,
42,278,43,1989-04-14,26-262,POR,MIA,11,0,14:00,3,4,.750,0,1,.000,2,2,1.000,0,0,0,1,0,0,3,0,8,4.1,
43,279,44,1989-04-15,26-263,POR,UTA,-4,0,15:00,2,5,.400,0,1,.000,0,1,.000,0,1,1,3,0,0,0,1,4,2.9,
44,280,45,1989-04-18,26-266,POR,SAC,-2,0,19:00,4,10,.400,0,2,.000,0,0,,1,2,3,1,1,0,0,2,8,4.8,
45,281,46,1989-04-20,26-268,POR,SEA,-6,0,19:00,2,6,.333,0,1,.000,3,3,1.000,2,2,4,1,1,0,0,0,7,7.3,
46,282,47,1989-04-21,26-269,POR,LAL,-7,0,30:00,8,11,.727,1,2,.500,2,2,1.000,1,1,2,4,2,0,2,1,19,17.9,
47,283,48,1989-04-23,26-271,POR,SAC,6,0,29:00,4,9,.444,0,0,,0,0,,0,1,1,0,0,0,0,3,8,2.4,
