,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,72,1,1982-04-21,25-100,PHI,ATL,35,,38:00,12,17,.706,0,0,,3,3,1.000,4,5,9,2,,8,0,3,27,,
1,73,2,1982-04-23,25-102,PHI,ATL,3,,42:00,4,6,.667,0,0,,0,0,,,,8,1,,2,,6,8,,
2,74,3,1982-04-25,25-104,PHI,MIL,3,1,17:00,4,9,.444,0,0,,1,2,.500,,,3,0,0,1,2,6,9,,
3,75,4,1982-04-28,25-107,PHI,MIL,12,1,25:00,5,13,.385,0,0,,2,2,1.000,,,7,2,0,1,0,5,12,,
4,76,5,1982-05-01,25-110,PHI,MIL,-1,1,22:00,4,8,.500,0,0,,1,2,.500,,,3,2,0,1,3,5,9,,
5,77,6,1982-05-02,25-111,PHI,MIL,7,1,21:00,3,4,.750,0,0,,3,6,.500,,,2,0,0,0,3,6,9,,
6,78,7,1982-05-05,25-114,PHI,MIL,-12,1,26:00,5,9,.556,0,0,,1,2,.500,,,5,1,0,1,3,5,11,,
7,79,8,1982-05-07,25-116,PHI,MIL,12,1,11:00,1,4,.250,0,0,,1,1,1.000,,,3,0,0,0,1,4,3,,
8,80,9,1982-05-09,25-118,PHI,BOS,-40,,17:00,3,9,.333,0,0,,1,2,.500,,,2,0,,0,,3,7,,
9,81,10,1982-05-12,25-121,PHI,BOS,8,,19:00,5,8,.625,0,0,,1,1,1.000,,,3,0,,1,,4,11,,
10,82,11,1982-05-15,25-124,PHI,BOS,2,,15:00,5,9,.556,0,0,,2,2,1.000,,,2,0,,1,,5,12,,
11,83,12,1982-05-16,25-125,PHI,BOS,25,,30:00,7,10,.700,0,0,,2,2,1.000,,,6,2,,4,,3,16,,
12,84,13,1982-05-19,25-128,PHI,BOS,-29,,23:00,6,9,.667,0,0,,2,2,1.000,,,10,0,,1,,5,14,,
13,85,14,1982-05-21,25-130,PHI,BOS,-13,,20:00,1,4,.250,0,0,,2,3,.667,,,1,0,,2,,3,4,,
14,86,15,1982-05-23,25-132,PHI,BOS,14,,13:00,3,4,.750,0,0,,0,0,,,,4,0,,0,,5,6,,
15,87,16,1982-05-27,25-136,PHI,LAL,-7,0,20:00,7,12,.583,0,0,,2,2,1.000,2,2,4,0,1,2,1,4,16,12.2,
16,88,17,1982-05-30,25-139,PHI,LAL,16,0,8:00,4,6,.667,0,0,,1,2,.500,1,0,1,0,0,2,3,5,9,3.1,
17,89,18,1982-06-01,25-141,PHI,LAL,-21,0,28:00,5,9,.556,0,0,,4,8,.500,3,10,13,0,0,3,5,4,14,8.7,
18,90,19,1982-06-03,25-143,PHI,LAL,-10,0,17:00,2,8,.250,0,0,,0,0,,0,4,4,0,0,1,1,3,4,-1.1,
19,91,20,1982-06-06,25-146,PHI,LAL,33,0,28:00,9,15,.600,0,0,,2,6,.333,2,5,7,1,1,3,0,4,20,16.6,
20,92,21,1982-06-08,25-148,PHI,LAL,-10,0,20:00,4,5,.800,0,0,,2,2,1.000,1,0,1,0,0,1,3,6,10,4.1,
