,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,242,1,2002-10-30,29-099,ATL,NJN,-11,0,23:00,2,4,.500,0,1,.000,2,4,.500,1,0,1,0,2,1,0,2,6,5.8,-3
1,243,2,2002-10-31,29-100,ATL,UTA,7,0,16:00,2,3,.667,0,0,,0,0,,2,2,4,0,1,0,0,3,4,4.5,-15
2,244,3,2002-11-02,29-102,ATL,CHI,6,0,13:00,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-1.1,+5
3,245,4,2002-11-05,29-105,ATL,DEN,16,0,8:00,0,0,,0,0,,0,0,,1,1,2,1,0,0,1,2,0,-0.1,-4
4,246,5,2002-11-06,29-106,ATL,PHO,-5,0,14:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,1,4,1,0,-3.7,-11
5,247,6,2002-11-08,29-108,ATL,UTA,-13,0,15:00,1,3,.333,0,0,,0,0,,2,1,3,0,0,0,0,3,2,0.8,+6
6,248,7,2002-11-10,29-110,ATL,SAC,-8,0,10:00,0,0,,0,0,,0,2,.000,1,0,1,1,0,0,0,0,0,0.6,-3
7,249,8,2002-11-12,29-112,ATL,LAL,12,0,10:00,1,2,.500,0,0,,2,2,1.000,1,1,2,1,0,0,1,1,4,3.3,-10
8,250,9,2002-11-16,29-116,ATL,NOH,7,0,10:00,0,0,,0,0,,0,0,,1,1,2,0,0,1,1,0,0,0.7,-2
9,251,10,2002-11-18,29-118,ATL,TOR,25,0,18:00,1,2,.500,0,0,,1,1,1.000,4,1,5,1,1,0,3,2,3,3.0,+17
10,252,11,2002-11-20,29-120,ATL,MIN,-10,0,9:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-2.5,-11
11,253,12,2002-11-22,29-122,ATL,BOS,-7,0,8:00,0,1,.000,0,0,,0,2,.000,1,0,1,0,0,1,0,5,0,-2.1,-1
12,254,13,2002-11-26,29-126,ATL,SEA,3,0,22:00,2,6,.333,0,0,,1,2,.500,1,2,3,2,0,0,1,2,5,2.1,-1
13,255,14,2002-11-27,29-127,ATL,NOH,-12,0,18:00,5,7,.714,0,0,,2,4,.500,3,2,5,1,1,0,0,1,12,12.3,+4
14,256,15,2002-11-29,29-129,ATL,MIA,6,0,9:00,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,3,2,0.4,0
15,257,16,2002-11-30,29-130,ATL,ORL,-25,0,20:00,1,5,.200,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-1.2,0
16,258,17,2002-12-03,29-133,ATL,NJN,-15,0,10:00,0,1,.000,0,0,,0,0,,1,2,3,0,0,1,2,3,0,-1.9,-6
17,259,18,2002-12-05,29-135,ATL,MIL,18,0,7:00,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,2,0,0,-1.7,0
18,260,19,2002-12-07,29-137,ATL,DET,2,0,9:00,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,4,2,1.1,0
19,261,20,2002-12-11,29-141,ATL,DET,-11,0,11:00,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,0,2,0,-0.2,+13
20,262,21,2002-12-12,29-142,ATL,MIN,-18,0,13:00,3,5,.600,0,0,,0,0,,2,3,5,1,1,0,0,0,6,7.7,+5
21,263,22,2002-12-14,29-144,ATL,PHO,-14,0,11:00,1,3,.333,0,0,,0,0,,0,2,2,1,0,0,1,0,2,0.6,+5
22,264,23,2002-12-17,29-147,ATL,WAS,-10,0,9:00,1,2,.500,0,0,,3,3,1.000,0,1,1,0,0,0,1,0,5,3.3,-5
23,265,24,2002-12-20,29-150,ATL,HOU,-19,0,8:00,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,1,0,1,0.3,+3
24,266,25,2002-12-21,29-151,ATL,PHI,2,0,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,0
25,267,26,2002-12-23,29-153,ATL,IND,-15,0,12:00,1,2,.500,0,0,,1,3,.333,0,1,1,1,1,1,0,3,3,2.7,-6
26,268,27,2002-12-27,29-157,ATL,SAS,2,0,11:00,1,2,.500,0,0,,0,0,,2,0,2,0,0,0,1,4,2,-0.2,+7
27,269,28,2002-12-28,29-158,ATL,WAS,-8,0,16:00,2,4,.500,0,0,,0,1,.000,3,1,4,1,0,0,0,1,4,4.3,-4
28,270,29,2002-12-30,29-160,ATL,MIA,-9,0,12:00,0,2,.000,0,0,,0,0,,2,3,5,0,0,1,1,2,0,-0.2,+8
29,271,30,2003-01-01,29-162,ATL,MIA,-34,0,17:00,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,1,4,2.3,-8
30,272,31,2003-01-04,29-165,ATL,DET,-4,0,13:00,1,2,.500,0,0,,1,2,.500,0,3,3,0,0,1,1,3,3,1.0,-4
31,273,32,2003-01-06,29-167,ATL,NJN,-7,0,14:00,0,0,,0,0,,1,2,.500,0,3,3,1,0,1,0,2,1,2.1,-2
32,274,33,2003-01-08,29-169,ATL,DAL,-18,0,20:00,2,2,1.000,0,0,,0,0,,1,4,5,1,0,0,1,1,4,4.6,+8
33,275,34,2003-01-10,29-171,ATL,HOU,9,0,16:00,1,4,.250,0,0,,3,3,1.000,1,2,3,0,0,0,2,4,5,0.3,+6
